p1	p2	gcov_int	gencov	envcov	envvarp1	envvarp2
152m	a28m	0.0853	2e-04	0.0851	0.8341	0.6308
152m	a29m	-2e-04	0.0137	-0.0139	0.8341	0.9533
152m	a30m	-0.0139	-0.0525	0.0386	0.8341	0.7461
152m	a7m	-0.0062	4e-04	-0.0066	0.8341	0.8943
152m	a8m	0.0116	0.0167	-0.0051	0.8341	0.9856
152m	a9m	0.0091	0.0165	-0.0074	0.8341	0.7561
152m	ADr1um	-0.002	-0.0042	0.0022	0.8341	0.9906
152m	bm1m	0.0064	-0.0212	0.0276	0.8341	0.8737
152m	bm2m	8e-04	0.0189	-0.0181	0.8341	0.8391
152m	bm4m	0.0023	0.0073	-0.005	0.8341	0.8894
152m	bm5m	0.0046	-0.0075	0.0121	0.8341	0.6631
152m	bm6m	-0.0047	0.0168	-0.0215	0.8341	0.6483
152m	bm7m	-0.0029	0.008	-0.0109	0.8341	0.6693
152m	bm8m	-0.0033	-0.0111	0.0078	0.8341	0.8766
152m	ch1m	-0.0034	0.0279	-0.0313	0.8341	0.7605
152m	ch4m	-0.0015	-0.0156	0.0141	0.8341	0.7866
152m	ch5m	0.0038	-0.0308	0.0346	0.8341	0.8595
152m	ch6m	-0.0057	0.0184	-0.0241	0.8341	0.831
152m	l1m	-0.0209	-0.0224	0.0015	0.8341	0.9945
152m	l2m	0.0074	0.0048	0.0026	0.8341	1.0098
152m	l3m	0.0103	0.0069	0.0034	0.8341	1.0446
152m	l4m	0.021	0.0288	-0.0078	0.8341	0.9708
152m	l5m	0.0113	0.0142	-0.0029	0.8341	1.0113
152m	r10m	0.0083	0.0056	0.0027	0.8341	0.9353
152m	r4m	0.001	0.0097	-0.0087	0.8341	0.9782
152m	r5m	0.016	-0.0173	0.0333	0.8341	0.5851
152m	r8m	0.0055	-0.0021	0.0076	0.8341	0.9367
152m	r9m	6e-04	-0.0213	0.0219	0.8341	0.7313
153f	153f	0.9334	0.1175	0.8159	0.8159	0.8159
153f	154f	0.0088	0.1227	-0.1139	0.8159	0.8427
153f	159f	-0.0836	-0.0286	-0.055	0.8159	0.6521
153f	165f	-0.1968	-0.0487	-0.1481	0.8159	0.712
153f	171f	0.2707	0.0374	0.2333	0.8159	0.6631
153f	177f	0.4857	0.084	0.4017	0.8159	0.7782
153f	183f	0.57	0.1002	0.4698	0.8159	0.7752
153f	189f	0.6435	0.1093	0.5342	0.8159	0.8007
153f	4213f	3e-04	-9e-04	0.0012	0.8159	0.8245
153f	4371f	0.0054	-0.0055	0.0109	0.8159	0.948
153f	4374f	0.0043	-0.0214	0.0257	0.8159	0.9117
153f	48f	0.0024	-0.0089	0.0113	0.8159	0.9268
153f	51f	-5e-04	0.0023	-0.0028	0.8159	0.9526
153f	96f	-0.0024	0.0057	-0.0081	0.8159	0.3947
153f	99f	0.0017	0.0043	-0.0026	0.8159	0.6126
153f	a13f	0.0034	0.0128	-0.0094	0.8159	0.9669
153f	a1f	0.0061	0.0017	0.0044	0.8159	0.9553
153f	a21f	0.0093	-0.0012	0.0105	0.8159	0.9291
153f	a22f	0.0116	0.0073	0.0043	0.8159	0.9499
153f	a27f	0.0567	0.0293	0.0274	0.8159	0.6538
153f	a28f	0.0486	0.0495	-0.000900000000000005	0.8159	0.9035
153f	a29f	0.0106	0.0032	0.0074	0.8159	0.9285
153f	a30f	-0.0093	-0.0159	0.0066	0.8159	0.7704
153f	a7f	-7e-04	-0.003	0.0023	0.8159	0.9025
153f	a8f	0.0158	0.0266	-0.0108	0.8159	1.0017
153f	a9f	0.0021	0.0178	-0.0157	0.8159	0.9234
153f	ADr1uf	-0.0034	5e-04	-0.0039	0.8159	1.0044
153f	bm1f	-0.0087	0.0017	-0.0104	0.8159	0.9023
153f	bm2f	-0.0028	0.0023	-0.0051	0.8159	0.7995
153f	bm4f	0.002	-0.0148	0.0168	0.8159	0.8919
153f	bm5f	-0.0055	0.0149	-0.0204	0.8159	0.6379
153f	bm6f	-0.0028	0.0096	-0.0124	0.8159	0.6815
153f	bm7f	-0.0016	0.0047	-0.0063	0.8159	0.6676
153f	bm8f	9.7484e-05	-0.0193	0.019397484	0.8159	0.7496
153f	ch1f	0.003	-0.0238	0.0268	0.8159	0.7147
153f	ch4f	-1e-04	0.0113	-0.0114	0.8159	0.8515
153f	ch5f	0.0027	0.0033	-6e-04	0.8159	0.7707
153f	ch6f	0.0032	-0.0246	0.0278	0.8159	0.8691
153f	l1f	-0.0526	-0.0362	-0.0164	0.8159	1.0094
153f	l2f	0.0213	0.0209	0.000400000000000001	0.8159	1.0064
153f	l3f	0.0176	0.016	0.0016	0.8159	1.0446
153f	l4f	0.064	0.0418	0.0222	0.8159	0.993
153f	l5f	0.0299	0.0282	0.0017	0.8159	1.0148
153f	r10f	0.0111	-0.0027	0.0138	0.8159	0.8414
153f	r4f	-0.0016	0.007	-0.0086	0.8159	0.9251
153f	r5f	0.0024	-0.0145	0.0169	0.8159	0.7584
153f	r8f	-0.0047	0.0043	-0.009	0.8159	0.9445
153f	r9f	-0.0064	0.0188	-0.0252	0.8159	0.7273
154f	154f	0.9576	0.1149	0.8427	0.8427	0.8427
154f	159f	-0.0675	-0.0495	-0.018	0.8427	0.6521
154f	165f	-0.1656	-0.052	-0.1136	0.8427	0.712
154f	171f	0.1912	0.0274	0.1638	0.8427	0.6631
154f	177f	0.362	0.0962	0.2658	0.8427	0.7782
154f	183f	0.4443	0.1022	0.3421	0.8427	0.7752
154f	189f	0.4922	0.1198	0.3724	0.8427	0.8007
154f	4213f	0.0033	-0.0031	0.0064	0.8427	0.8245
154f	4371f	-0.0064	0.0137	-0.0201	0.8427	0.948
154f	4374f	-9e-04	-0.0233	0.0224	0.8427	0.9117
154f	48f	0.0093	-0.0164	0.0257	0.8427	0.9268
154f	51f	-0.0019	0.0057	-0.0076	0.8427	0.9526
154f	96f	-0.0043	-0.0229	0.0186	0.8427	0.3947
154f	99f	-0.0069	0.0026	-0.0095	0.8427	0.6126
154f	a13f	0.0016	0.0165	-0.0149	0.8427	0.9669
154f	a1f	-0.0044	0.0141	-0.0185	0.8427	0.9553
154f	a21f	0.0089	-4e-04	0.0093	0.8427	0.9291
154f	a22f	0.0076	0.0108	-0.0032	0.8427	0.9499
154f	a27f	0.0243	0.021	0.0033	0.8427	0.6538
154f	a28f	0.0369	0.0313	0.0056	0.8427	0.9035
154f	a29f	0.0016	0.0083	-0.0067	0.8427	0.9285
154f	a30f	-0.009	-0.0267	0.0177	0.8427	0.7704
154f	a7f	-0.0025	0.0043	-0.0068	0.8427	0.9025
154f	a8f	0.0058	0.022	-0.0162	0.8427	1.0017
154f	a9f	-0.0026	0.035	-0.0376	0.8427	0.9234
154f	ADr1uf	-0.0085	0.0039	-0.0124	0.8427	1.0044
154f	bm1f	-0.0031	-0.0062	0.0031	0.8427	0.9023
154f	bm2f	-0.0115	0.0396	-0.0511	0.8427	0.7995
154f	bm4f	0.0095	-0.0161	0.0256	0.8427	0.8919
154f	bm5f	1e-04	0.0118	-0.0117	0.8427	0.6379
154f	bm6f	-0.0023	0.0131	-0.0154	0.8427	0.6815
154f	bm7f	-0.0038	0.0192	-0.023	0.8427	0.6676
154f	bm8f	0.0109	-0.0315	0.0424	0.8427	0.7496
154f	ch1f	0.0023	-0.0107	0.013	0.8427	0.7147
154f	ch4f	0.0089	-0.0479	0.0568	0.8427	0.8515
154f	ch5f	5e-04	-0.0183	0.0188	0.8427	0.7707
154f	ch6f	0.0017	-0.0142	0.0159	0.8427	0.8691
154f	l1f	-0.0323	-0.0375	0.0052	0.8427	1.0094
154f	l2f	0.0213	0.0164	0.0049	0.8427	1.0064
154f	l3f	0.0224	0.0108	0.0116	0.8427	1.0446
154f	l4f	0.0367	0.0449	-0.0082	0.8427	0.993
154f	l5f	0.0272	0.0239	0.0033	0.8427	1.0148
154f	r10f	-0.015	0.0323	-0.0473	0.8427	0.8414
154f	r4f	-0.0025	0.0175	-0.02	0.8427	0.9251
154f	r5f	0.003	-0.0048	0.0078	0.8427	0.7584
154f	r8f	-0.006	0.0061	-0.0121	0.8427	0.9445
154f	r9f	-0.0034	0.0192	-0.0226	0.8427	0.7273
157m	157m	0.8747	0.1824	0.6923	0.6923	0.6923
157m	159f	0.0122	0.1539	-0.1417	0.6923	0.6521
157m	163m	0.5062	0.115	0.3912	0.6923	0.6671
157m	169m	0.6569	0.1528	0.5041	0.6923	0.6895
157m	175m	0.2207	0.0586	0.1621	0.6923	0.6965
157m	181m	0.2175	0.0504	0.1671	0.6923	0.7532
157m	187m	-0.1745	-0.0437	-0.1308	0.6923	0.777
157m	4212m	-0.003	-0.0064	0.0034	0.6923	0.8551
157m	4370m	0.0041	-0.0018	0.0059	0.6923	0.9286
157m	4373m	-0.0058	-0.0235	0.0177	0.6923	0.8008
157m	49m	0.0022	-0.025	0.0272	0.6923	0.8291
157m	52m	-8e-04	0.012	-0.0128	0.6923	0.9356
157m	97m	0.0592	0.1838	-0.1246	0.6923	0.5823
157m	a13m	-0.0066	0.0076	-0.0142	0.6923	0.9478
157m	a1m	0.0029	0.0037	-8e-04	0.6923	0.9561
157m	a21m	-0.0107	-0.0118	0.0011	0.6923	0.9845
157m	a22m	0.0099	0.0172	-0.0073	0.6923	0.9608
157m	a27m	0.065	0.0323	0.0327	0.6923	0.6368
157m	a28m	0.1998	0.1144	0.0854	0.6923	0.6308
157m	a29m	-8e-04	0.0197	-0.0205	0.6923	0.9533
157m	a30m	-2e-04	-0.0173	0.0171	0.6923	0.7461
157m	a7m	-0.0037	-0.0045	0.000799999999999999	0.6923	0.8943
157m	a8m	0.0057	0.0315	-0.0258	0.6923	0.9856
157m	a9m	0.0038	0.022	-0.0182	0.6923	0.7561
157m	ADr1um	0.0056	-0.0063	0.0119	0.6923	0.9906
157m	bm1m	-0.004	0.0021	-0.0061	0.6923	0.8737
157m	bm2m	-2e-04	0.0033	-0.0035	0.6923	0.8391
157m	bm4m	-0.0134	0.0338	-0.0472	0.6923	0.8894
157m	bm5m	-0.0081	0.0143	-0.0224	0.6923	0.6631
157m	bm6m	-0.0024	0.0224	-0.0248	0.6923	0.6483
157m	bm7m	-0.0046	0.0275	-0.0321	0.6923	0.6693
157m	bm8m	0.0014	0.0045	-0.0031	0.6923	0.8766
157m	ch1m	-0.001	-0.0081	0.0071	0.6923	0.7605
157m	ch4m	-0.0032	-0.006	0.0028	0.6923	0.7866
157m	ch5m	-0.0016	-0.0098	0.0082	0.6923	0.8595
157m	ch6m	-0.0069	0.0162	-0.0231	0.6923	0.831
157m	l1m	-0.0284	-0.041	0.0126	0.6923	0.9945
157m	l2m	0.0039	-0.0147	0.0186	0.6923	1.0098
157m	l3m	0.0077	-0.0201	0.0278	0.6923	1.0446
157m	l4m	0.0363	0.0187	0.0176	0.6923	0.9708
157m	l5m	0.0218	-0.0072	0.029	0.6923	1.0113
157m	r10m	0.0044	-0.0089	0.0133	0.6923	0.9353
157m	r4m	0.0015	0.0053	-0.0038	0.6923	0.9782
157m	r5m	-0.0011	-0.0195	0.0184	0.6923	0.5851
157m	r8m	0.0073	0.0029	0.0044	0.6923	0.9367
157m	r9m	-0.0101	0.0462	-0.0563	0.6923	0.7313
159f	159f	0.8202	0.1681	0.6521	0.6521	0.6521
159f	165f	0.4361	0.0823	0.3538	0.6521	0.712
159f	171f	0.6192	0.137	0.4822	0.6521	0.6631
159f	177f	0.1618	0.0167	0.1451	0.6521	0.7782
159f	183f	0.1658	0.0309	0.1349	0.6521	0.7752
159f	189f	-0.1165	-0.0349	-0.0816	0.6521	0.8007
159f	4213f	0.0076	-0.0072	0.0148	0.6521	0.8245
159f	4371f	0.0121	-0.0017	0.0138	0.6521	0.948
159f	4374f	-0.0087	0.0032	-0.0119	0.6521	0.9117
159f	48f	-0.0188	-0.0133	-0.0055	0.6521	0.9268
159f	51f	0.0202	-7e-04	0.0209	0.6521	0.9526
159f	96f	0.0388	0.1238	-0.085	0.6521	0.3947
159f	99f	-8e-04	-0.0595	0.0587	0.6521	0.6126
159f	a13f	-8e-04	0.0118	-0.0126	0.6521	0.9669
159f	a1f	0.0059	0.0074	-0.0015	0.6521	0.9553
159f	a21f	-0.0126	0.0016	-0.0142	0.6521	0.9291
159f	a22f	-0.0054	0.0283	-0.0337	0.6521	0.9499
159f	a27f	0.0732	0.0403	0.0329	0.6521	0.6538
159f	a28f	0.1534	0.0478	0.1056	0.6521	0.9035
159f	a29f	-0.0027	0.0319	-0.0346	0.6521	0.9285
159f	a30f	-0.0198	-0.0271	0.0073	0.6521	0.7704
159f	a7f	0.0019	-0.0087	0.0106	0.6521	0.9025
159f	a8f	0.0046	0.0338	-0.0292	0.6521	1.0017
159f	a9f	-0.0012	0.0321	-0.0333	0.6521	0.9234
159f	ADr1uf	0.0047	-0.0041	0.0088	0.6521	1.0044
159f	bm1f	-0.002	0.011	-0.013	0.6521	0.9023
159f	bm2f	0.012	-0.0195	0.0315	0.6521	0.7995
159f	bm4f	-0.0033	0.0079	-0.0112	0.6521	0.8919
159f	bm5f	0.0029	-0.0158	0.0187	0.6521	0.6379
159f	bm6f	-0.0028	-0.0025	-3e-04	0.6521	0.6815
159f	bm7f	-0.0046	8.2936e-05	-0.004682936	0.6521	0.6676
159f	bm8f	-0.0025	0.0013	-0.0038	0.6521	0.7496
159f	ch1f	-0.003	-0.0203	0.0173	0.6521	0.7147
159f	ch4f	0.01	-0.0145	0.0245	0.6521	0.8515
159f	ch5f	-0.0047	-0.0174	0.0127	0.6521	0.7707
159f	ch6f	-0.0049	-0.0233	0.0184	0.6521	0.8691
159f	l1f	-0.0581	-0.0406	-0.0175	0.6521	1.0094
159f	l2f	0.0076	0.005	0.0026	0.6521	1.0064
159f	l3f	3e-04	-0.0047	0.005	0.6521	1.0446
159f	l4f	0.0548	0.026	0.0288	0.6521	0.993
159f	l5f	0.0097	0.0099	-0.000200000000000001	0.6521	1.0148
159f	r10f	0.0033	0.0085	-0.0052	0.6521	0.8414
159f	r4f	0.0025	0.0116	-0.0091	0.6521	0.9251
159f	r5f	-0.0083	-0.0061	-0.0022	0.6521	0.7584
159f	r8f	0.0014	4e-04	0.001	0.6521	0.9445
159f	r9f	0.0024	0.0231	-0.0207	0.6521	0.7273
163m	163m	0.8682	0.2011	0.6671	0.6671	0.6671
163m	165f	0.0333	0.1569	-0.1236	0.6671	0.712
163m	169m	0.1668	0.0494	0.1174	0.6671	0.6895
163m	175m	0.3505	0.1159	0.2346	0.6671	0.6965
163m	181m	-0.2775	-0.0484	-0.2291	0.6671	0.7532
163m	187m	-0.337	-0.0542	-0.2828	0.6671	0.777
163m	4212m	-9e-04	0.0025	-0.0034	0.6671	0.8551
163m	4370m	-0.0118	0.0086	-0.0204	0.6671	0.9286
163m	4373m	0.0167	-0.0056	0.0223	0.6671	0.8008
163m	49m	0.0054	0.0346	-0.0292	0.6671	0.8291
163m	52m	-0.008	0.0027	-0.0107	0.6671	0.9356
163m	97m	0.0847	0.1919	-0.1072	0.6671	0.5823
163m	a13m	2e-04	-0.023	0.0232	0.6671	0.9478
163m	a1m	0.0037	-0.0077	0.0114	0.6671	0.9561
163m	a21m	-0.0135	-0.0247	0.0112	0.6671	0.9845
163m	a22m	0.0057	-0.0108	0.0165	0.6671	0.9608
163m	a27m	-0.0069	-0.0128	0.0059	0.6671	0.6368
163m	a28m	0.0069	0.0016	0.0053	0.6671	0.6308
163m	a29m	-0.0013	-0.0087	0.0074	0.6671	0.9533
163m	a30m	0.0337	0.0382	-0.0045	0.6671	0.7461
163m	a7m	0.0084	-0.0095	0.0179	0.6671	0.8943
163m	a8m	-0.0057	-0.0115	0.0058	0.6671	0.9856
163m	a9m	-0.002	-0.0259	0.0239	0.6671	0.7561
163m	ADr1um	0.0089	-0.0053	0.0142	0.6671	0.9906
163m	bm1m	-0.0039	0.0046	-0.0085	0.6671	0.8737
163m	bm2m	0.0084	-0.0108	0.0192	0.6671	0.8391
163m	bm4m	-0.0052	6e-04	-0.0058	0.6671	0.8894
163m	bm5m	0.0018	-0.0306	0.0324	0.6671	0.6631
163m	bm6m	0.0114	-0.0268	0.0382	0.6671	0.6483
163m	bm7m	0.0072	-0.0182	0.0254	0.6671	0.6693
163m	bm8m	-4e-04	0.0142	-0.0146	0.6671	0.8766
163m	ch1m	-0.0042	0.0239	-0.0281	0.6671	0.7605
163m	ch4m	3e-04	0.0316	-0.0313	0.6671	0.7866
163m	ch5m	-0.0015	0.0264	-0.0279	0.6671	0.8595
163m	ch6m	-0.0095	0.0489	-0.0584	0.6671	0.831
163m	l1m	0.006	0.0046	0.0014	0.6671	0.9945
163m	l2m	-0.0046	-0.0164	0.0118	0.6671	1.0098
163m	l3m	-0.0091	-0.0195	0.0104	0.6671	1.0446
163m	l4m	-0.0097	-0.0178	0.0081	0.6671	0.9708
163m	l5m	-0.0016	-0.0242	0.0226	0.6671	1.0113
163m	r10m	-0.0071	-0.0152	0.0081	0.6671	0.9353
163m	r4m	-0.0011	-0.0105	0.0094	0.6671	0.9782
163m	r5m	-0.0031	-0.0209	0.0178	0.6671	0.5851
163m	r8m	0.0114	-0.0186	0.03	0.6671	0.9367
163m	r9m	-0.0077	0.0114	-0.0191	0.6671	0.7313
165f	165f	0.8633	0.1513	0.712	0.712	0.712
165f	171f	0.1476	0.0312	0.1164	0.712	0.6631
165f	177f	0.2652	0.0451	0.2201	0.712	0.7782
165f	183f	-0.2537	-0.0431	-0.2106	0.712	0.7752
165f	189f	-0.2821	-0.0493	-0.2328	0.712	0.8007
165f	4213f	0.0034	0.0114	-0.008	0.712	0.8245
165f	4371f	-0.0018	-0.0029	0.0011	0.712	0.948
165f	4374f	-0.0026	0.0082	-0.0108	0.712	0.9117
165f	48f	0.0088	0.0118	-0.003	0.712	0.9268
165f	51f	-7e-04	-0.0052	0.0045	0.712	0.9526
165f	96f	0.0714	0.1497	-0.0783	0.712	0.3947
165f	99f	0.0393	0.0797	-0.0404	0.712	0.6126
165f	a13f	-0.0039	-0.0067	0.0028	0.712	0.9669
165f	a1f	0.0051	-0.009	0.0141	0.712	0.9553
165f	a21f	-0.0099	-0.0173	0.0074	0.712	0.9291
165f	a22f	0.0012	-0.0045	0.0057	0.712	0.9499
165f	a27f	-0.0465	-0.0117	-0.0348	0.712	0.6538
165f	a28f	-0.0144	-0.0087	-0.0057	0.712	0.9035
165f	a29f	-0.008	0.0024	-0.0104	0.712	0.9285
165f	a30f	0.0114	0.0279	-0.0165	0.712	0.7704
165f	a7f	0.0043	0.001	0.0033	0.712	0.9025
165f	a8f	-0.014	-0.0091	-0.0049	0.712	1.0017
165f	a9f	-0.0078	-0.0049	-0.0029	0.712	0.9234
165f	ADr1uf	0.0027	-6e-04	0.0033	0.712	1.0044
165f	bm1f	0.0017	0.0054	-0.0037	0.712	0.9023
165f	bm2f	0.0095	-0.0052	0.0147	0.712	0.7995
165f	bm4f	0.0014	-0.0054	0.0068	0.712	0.8919
165f	bm5f	0.008	-0.0247	0.0327	0.712	0.6379
165f	bm6f	0.0056	-0.0141	0.0197	0.712	0.6815
165f	bm7f	0.004	-0.0146	0.0186	0.712	0.6676
165f	bm8f	-9e-04	0.0116	-0.0125	0.712	0.7496
165f	ch1f	0.0012	0.007	-0.0058	0.712	0.7147
165f	ch4f	0.0055	-0.0035	0.009	0.712	0.8515
165f	ch5f	-0.0029	0.0157	-0.0186	0.712	0.7707
165f	ch6f	-0.0012	0.0182	-0.0194	0.712	0.8691
165f	l1f	0.0295	0.0135	0.016	0.712	1.0094
165f	l2f	-0.0148	-0.0158	0.001	0.712	1.0064
165f	l3f	-0.0128	-0.0144	0.0016	0.712	1.0446
165f	l4f	-0.0211	-0.0228	0.0017	0.712	0.993
165f	l5f	-0.0183	-0.0206	0.0023	0.712	1.0148
165f	r10f	0.0041	-0.0079	0.012	0.712	0.8414
165f	r4f	6e-04	-0.0133	0.0139	0.712	0.9251
165f	r5f	-0.013	0.007	-0.02	0.712	0.7584
165f	r8f	0.0034	-0.0031	0.0065	0.712	0.9445
165f	r9f	0.0062	0.0052	0.001	0.712	0.7273
169m	169m	0.8614	0.1719	0.6895	0.6895	0.6895
169m	171f	0.0075	0.1451	-0.1376	0.6895	0.6631
169m	175m	0.4288	0.0715	0.3573	0.6895	0.6965
169m	181m	0.6399	0.1134	0.5265	0.6895	0.7532
169m	187m	0.2977	0.0234	0.2743	0.6895	0.777
169m	4212m	-0.0029	-0.0186	0.0157	0.6895	0.8551
169m	4370m	0.0149	-0.0201	0.035	0.6895	0.9286
169m	4373m	-0.0194	-0.0037	-0.0157	0.6895	0.8008
169m	49m	-0.0063	-0.0413	0.035	0.6895	0.8291
169m	52m	0.0022	0.0128	-0.0106	0.6895	0.9356
169m	97m	0.0295	0.1455	-0.116	0.6895	0.5823
169m	a13m	-0.0026	0.0216	-0.0242	0.6895	0.9478
169m	a1m	0.0089	0.0045	0.0044	0.6895	0.9561
169m	a21m	-0.0042	-7e-04	-0.0035	0.6895	0.9845
169m	a22m	0.0108	0.0232	-0.0124	0.6895	0.9608
169m	a27m	0.0772	0.0454	0.0318	0.6895	0.6368
169m	a28m	0.2486	0.1399	0.1087	0.6895	0.6308
169m	a29m	0.001	0.0307	-0.0297	0.6895	0.9533
169m	a30m	-0.0244	-0.0483	0.0239	0.6895	0.7461
169m	a7m	-0.0071	-0.004	-0.0031	0.6895	0.8943
169m	a8m	0.0105	0.0463	-0.0358	0.6895	0.9856
169m	a9m	0.0057	0.0474	-0.0417	0.6895	0.7561
169m	ADr1um	8e-04	-0.0069	0.0077	0.6895	0.9906
169m	bm1m	-0.0059	1e-04	-0.006	0.6895	0.8737
169m	bm2m	-0.0032	0.0122	-0.0154	0.6895	0.8391
169m	bm4m	-0.006	0.0249	-0.0309	0.6895	0.8894
169m	bm5m	-0.0057	0.0196	-0.0253	0.6895	0.6631
169m	bm6m	-0.0073	0.0346	-0.0419	0.6895	0.6483
169m	bm7m	-0.0085	0.0387	-0.0472	0.6895	0.6693
169m	bm8m	0.0049	-0.0069	0.0118	0.6895	0.8766
169m	ch1m	0.0046	-0.0305	0.0351	0.6895	0.7605
169m	ch4m	0.0032	-0.0363	0.0395	0.6895	0.7866
169m	ch5m	0.0035	-0.0438	0.0473	0.6895	0.8595
169m	ch6m	0.0025	-0.0137	0.0162	0.6895	0.831
169m	l1m	-0.0372	-0.058	0.0208	0.6895	0.9945
169m	l2m	0.0181	-0.0135	0.0316	0.6895	1.0098
169m	l3m	0.0229	-0.0164	0.0393	0.6895	1.0446
169m	l4m	0.0522	0.039	0.0132	0.6895	0.9708
169m	l5m	0.036	0.002	0.034	0.6895	1.0113
169m	r10m	0.006	0.0029	0.0031	0.6895	0.9353
169m	r4m	2e-04	0.0152	-0.015	0.6895	0.9782
169m	r5m	0.0069	-0.0163	0.0232	0.6895	0.5851
169m	r8m	8e-04	0.0121	-0.0113	0.6895	0.9367
169m	r9m	-0.0082	0.0472	-0.0554	0.6895	0.7313
171f	171f	0.8152	0.1521	0.6631	0.6631	0.6631
171f	177f	0.475	0.0528	0.4222	0.6631	0.7782
171f	183f	0.6076	0.0887	0.5189	0.6631	0.7752
171f	189f	0.3698	0.0293	0.3405	0.6631	0.8007
171f	4213f	0.0055	-0.0089	0.0144	0.6631	0.8245
171f	4371f	0.0093	0.003	0.0063	0.6631	0.948
171f	4374f	-0.0066	-0.0102	0.0036	0.6631	0.9117
171f	48f	-0.0165	-0.0215	0.005	0.6631	0.9268
171f	51f	0.014	0.0033	0.0107	0.6631	0.9526
171f	96f	0.0237	0.0915	-0.0678	0.6631	0.3947
171f	99f	-0.0091	-0.0694	0.0603	0.6631	0.6126
171f	a13f	0.0023	0.0204	-0.0181	0.6631	0.9669
171f	a1f	0.0055	0.0145	-0.009	0.6631	0.9553
171f	a21f	-0.0069	0.0065	-0.0134	0.6631	0.9291
171f	a22f	0.0014	0.0327	-0.0313	0.6631	0.9499
171f	a27f	0.1064	0.0595	0.0469	0.6631	0.6538
171f	a28f	0.1887	0.0723	0.1164	0.6631	0.9035
171f	a29f	0.0048	0.0346	-0.0298	0.6631	0.9285
171f	a30f	-0.0244	-0.0434	0.019	0.6631	0.7704
171f	a7f	0.0013	-0.0094	0.0107	0.6631	0.9025
171f	a8f	0.0151	0.0484	-0.0333	0.6631	1.0017
171f	a9f	-0.0022	0.0474	-0.0496	0.6631	0.9234
171f	ADr1uf	0.0012	-0.0033	0.0045	0.6631	1.0044
171f	bm1f	-0.0042	0.0051	-0.0093	0.6631	0.9023
171f	bm2f	0.009	-0.0107	0.0197	0.6631	0.7995
171f	bm4f	6e-04	4e-04	2e-04	0.6631	0.8919
171f	bm5f	-0.0025	-5e-04	-0.002	0.6631	0.6379
171f	bm6f	-0.0048	-4e-04	-0.0044	0.6631	0.6815
171f	bm7f	-0.0071	0.0036	-0.0107	0.6631	0.6676
171f	bm8f	-5e-04	-0.0096	0.0091	0.6631	0.7496
171f	ch1f	-0.003	-0.0296	0.0266	0.6631	0.7147
171f	ch4f	0.0107	-0.0143	0.025	0.6631	0.8515
171f	ch5f	-0.0052	-0.0237	0.0185	0.6631	0.7707
171f	ch6f	-0.005	-0.0295	0.0245	0.6631	0.8691
171f	l1f	-0.0945	-0.0616	-0.0329	0.6631	1.0094
171f	l2f	0.0235	0.0181	0.0054	0.6631	1.0064
171f	l3f	0.013	0.0052	0.0078	0.6631	1.0446
171f	l4f	0.0937	0.0515	0.0422	0.6631	0.993
171f	l5f	0.0324	0.0274	0.005	0.6631	1.0148
171f	r10f	0.0068	0.0125	-0.0057	0.6631	0.8414
171f	r4f	0.0038	0.0158	-0.012	0.6631	0.9251
171f	r5f	-0.0033	-0.0159	0.0126	0.6631	0.7584
171f	r8f	-0.0025	0.0038	-0.0063	0.6631	0.9445
171f	r9f	-0.003	0.034	-0.037	0.6631	0.7273
175m	175m	0.8735	0.177	0.6965	0.6965	0.6965
175m	177f	0.0287	0.1054	-0.0767	0.6965	0.7782
175m	181m	0.446	0.0566	0.3894	0.6965	0.7532
175m	187m	0.5455	0.0796	0.4659	0.6965	0.777
175m	4212m	0.0024	-0.0144	0.0168	0.6965	0.8551
175m	4370m	-0.004	-0.0165	0.0125	0.6965	0.9286
175m	4373m	0.0014	0.0213	-0.0199	0.6965	0.8008
175m	49m	-0.0024	0.0099	-0.0123	0.6965	0.8291
175m	52m	-0.0058	0.0033	-0.0091	0.6965	0.9356
175m	97m	0.0542	0.1545	-0.1003	0.6965	0.5823
175m	a13m	-0.002	3e-04	-0.0023	0.6965	0.9478
175m	a1m	0.0114	-0.0027	0.0141	0.6965	0.9561
175m	a21m	-0.0067	-0.0039	-0.0028	0.6965	0.9845
175m	a22m	0.0107	-0.0067	0.0174	0.6965	0.9608
175m	a27m	0.0363	-0.0135	0.0498	0.6965	0.6368
175m	a28m	0.0932	0.0223	0.0709	0.6965	0.6308
175m	a29m	0.0035	0.0033	2e-04	0.6965	0.9533
175m	a30m	-0.0011	-0.0077	0.0066	0.6965	0.7461
175m	a7m	0.0029	-0.0095	0.0124	0.6965	0.8943
175m	a8m	0.0018	0.0081	-0.0063	0.6965	0.9856
175m	a9m	0.0026	0.0098	-0.0072	0.6965	0.7561
175m	ADr1um	-0.003	-0.0047	0.0017	0.6965	0.9906
175m	bm1m	-0.0034	-0.0062	0.0028	0.6965	0.8737
175m	bm2m	0.0078	-0.0095	0.0173	0.6965	0.8391
175m	bm4m	0.0015	-0.0051	0.0066	0.6965	0.8894
175m	bm5m	1.0437e-05	-0.0215	0.021510437	0.6965	0.6631
175m	bm6m	0.0024	-0.0046	0.007	0.6965	0.6483
175m	bm7m	-3e-04	-6e-04	3e-04	0.6965	0.6693
175m	bm8m	0.0054	-0.0071	0.0125	0.6965	0.8766
