Trait1	Trait2	Intercept	Intercept_SE	GC	GC_SE	PValue	sid_pair	Trait1_name	Trait2_name	sex1	sex2	pair_sids	pair_name	est	est_se	stat	rg1_p	rg1_p_adj
bm2m	bm2f	0.9951	0.0068	0.5459	0.143	1e-04	bm2m:bm2f	Left 5m area (requested) NA	Left 5m area (requested) NA	male	female	bm2m:bm2f	Left 5m area (requested) NA:Left 5m area (requested) NA	0.5459	0.143	3.17552447552448	0.00074782951871413	0.00233696724598166
151m	153f	0.9334	0.0086	0.5894	0.0739	1.4618e-15	151m:153f	Waist-hip ratio (> 50 yrs, adjusted for BMI) (atlas) 26426971	Waist-hip ratio (> 50 yrs, adjusted for BMI) (atlas) 26426971	male	female	151m:153f	Waist-hip ratio (> 50 yrs, adjusted for BMI) (atlas) 26426971:Waist-hip ratio (> 50 yrs, adjusted for BMI) (atlas) 26426971	0.5894	0.0739	5.55615696887686	1.37889445144747e-08	1.37889445144747e-07
a28m	a28f	0.9536	0.0175	0.6466	0.0786	1.8717e-16	a28m:a28f	Fasting insulin (requested) 33402679	Fasting insulin (requested) 33402679	male	female	a28m:a28f	Fasting insulin (requested) 33402679:Fasting insulin (requested) 33402679	0.6466	0.0786	4.49618320610687	3.45920654458382e-06	1.92178141365768e-05
187m	189f	0.9237	0.0114	0.6735	0.0615	6.871e-28	187m:189f	Waist-hip ratio (adjusted for BMI) (atlas) 25673412	Waist-hip ratio (adjusted for BMI) (atlas) 25673412	male	female	187m:189f	Waist-hip ratio (adjusted for BMI) (atlas) 25673412:Waist-hip ratio (adjusted for BMI) (atlas) 25673412	0.6735	0.0615	5.30894308943089	5.51313762549382e-08	4.59428135457818e-07
152m	154f	0.9576	0.0076	0.6956	0.1096	2.2297e-10	152m:154f	Waist-hip ratio (<= 50 yrs, adjusted for BMI) (atlas) 26426971	Waist-hip ratio (<= 50 yrs, adjusted for BMI) (atlas) 26426971	male	female	152m:154f	Waist-hip ratio (<= 50 yrs, adjusted for BMI) (atlas) 26426971:Waist-hip ratio (<= 50 yrs, adjusted for BMI) (atlas) 26426971	0.6956	0.1096	2.77737226277372	0.00274001876887654	0.00685004692219135
bm1m	bm1f	1.0066	0.0067	0.7194	0.2146	8e-04	bm1m:bm1f	Left PoI GM thikness (requested) NA	Left PoI GM thikness (requested) NA	male	female	bm1m:bm1f	Left PoI GM thikness (requested) NA:Left PoI GM thikness (requested) NA	0.7194	0.2146	1.30754892823858	0.0955131745469736	0.154143130078136
bm4m	bm4f	1.0062	0.0069	0.732	0.2332	0.0017	bm4m:bm4f	Left MST area (requested) NA	Left MST area (requested) NA	male	female	bm4m:bm4f	Left MST area (requested) NA:Left MST area (requested) NA	0.732	0.2332	1.14922813036021	0.125230962144425	0.189743882037008
175m	177f	0.8905	0.0091	0.7449	0.0453	7.439e-61	175m:177f	Waist circumference (adjusted for BMI) (atlas) 25673412	Waist circumference (adjusted for BMI) (atlas) 25673412	male	female	175m:177f	Waist circumference (adjusted for BMI) (atlas) 25673412:Waist circumference (adjusted for BMI) (atlas) 25673412	0.7449	0.0453	5.63134657836645	8.94039980776465e-09	1.11754997597058e-07
181m	183f	0.8945	0.0106	0.7466	0.0512	3.4438e-48	181m:183f	Waist-hip ratio  (atlas) 25673412	Waist-hip ratio  (atlas) 25673412	male	female	181m:183f	Waist-hip ratio  (atlas) 25673412:Waist-hip ratio  (atlas) 25673412	0.7466	0.0512	4.94921875	3.72559823632901e-07	2.66114159737787e-06
a27m	a27f	0.9546	0.0258	0.7994	0.0571	1.3754e-44	a27m:a27f	Fasting glucose (requested) 33402679	Fasting glucose (requested) 33402679	male	female	a27m:a27f	Fasting glucose (requested) 33402679:Fasting glucose (requested) 33402679	0.7994	0.0571	3.51313485113835	0.000221426326837091	0.000851639718604196
r8m	r8f	0.999	0.0073	0.8092	0.042	6.8883e-83	r8m:r8f	Risk-taking behaviour (requested) 30181555	Risk-taking behaviour (requested) 30181555	male	female	r8m:r8f	Risk-taking behaviour (requested) 30181555:Risk-taking behaviour (requested) 30181555	0.8092	0.042	4.54285714285714	2.77484312160458e-06	1.73427695100287e-05
97m	96f	0.9576	0.0077	0.8219	0.1338	8.1657e-10	97m:96f	Height SDS (atlas) 23449627	Height SDS (atlas) 23449627	male	female	97m:96f	Height SDS (atlas) 23449627:Height SDS (atlas) 23449627	0.8219	0.1338	1.33109118086697	0.0915795052381879	0.154143130078136
100m	99f	0.9838	0.0067	0.824	0.2031	4.9781e-05	100m:99f	Pubertal growth  (atlas) 23449627	Pubertal growth  (atlas) 23449627	male	female	100m:99f	Pubertal growth  (atlas) 23449627:Pubertal growth  (atlas) 23449627	0.824	0.2031	0.866568193008371	0.193089323666865	0.268179616203979
