geneset	count	crossd
GOBP_CALCIUM_IMPORT_INTO_THE_MITOCHONDRION	1	Behavioural
GOBP_MITOCHONDRIAL_CALCIUM_ION_HOMEOSTASIS	1	Behavioural
GOBP_POSITIVE_REGULATION_OF_MITOCHONDRIAL_CALCIUM_ION_CONCENTRATION	1	Behavioural
GOBP_RESPONSE_TO_GONADOTROPIN_RELEASING_HORMONE	1	Behavioural
GOBP_N_ACETYLNEURAMINATE_CATABOLIC_PROCESS	1	Metabolic
GOBP_MEIOTIC_CELL_CYCLE_CHECKPOINT_SIGNALING	1	Metabolic
GOBP_INHIBITION_OF_NEUROEPITHELIAL_CELL_DIFFERENTIATION	1	Metabolic
GOBP_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY	1	Metabolic
GOBP_RIBONUCLEOPROTEIN_COMPLEX_DISASSEMBLY	1	Metabolic
GOBP_FORMATION_OF_ANATOMICAL_BOUNDARY	1	Metabolic
GOBP_ACTIN_FILAMENT_NETWORK_FORMATION	1	Metabolic
GOBP_LUNG_MORPHOGENESIS	1	Metabolic
GOBP_PRIMITIVE_STREAK_FORMATION	1	Metabolic
GOBP_REGULATION_OF_NODAL_SIGNALING_PATHWAY_INVOLVED_IN_DETERMINATION_OF_LEFT_RIGHT_ASYMMETRY	1	Metabolic
GOBP_NEGATIVE_REGULATION_OF_TROPHOBLAST_CELL_MIGRATION	1	Metabolic
GOBP_POSITIVE_REGULATION_OF_HAIR_FOLLICLE_DEVELOPMENT	1	Metabolic
GOBP_CORNIFIED_ENVELOPE_ASSEMBLY	1	Metabolic
GOBP_REGULATION_OF_DNA_DEMETHYLATION	1	Fertility
GOBP_POSITIVE_REGULATION_OF_DNA_DEMETHYLATION	1	Fertility
GOBP_REGULATION_OF_INTERLEUKIN_1_MEDIATED_SIGNALING_PATHWAY	1	Fertility
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_1_MEDIATED_SIGNALING_PATHWAY	1	Fertility
GOBP_ACTIN_FILAMENT_REORGANIZATION	1	Fertility
GOBP_MAINTENANCE_OF_POSTSYNAPTIC_SPECIALIZATION_STRUCTURE	1	Fertility
GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY	1	Disease
GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY	1	Disease
GOBP_PROTEIN_INSERTION_INTO_ER_MEMBRANE_BY_STOP_TRANSFER_MEMBRANE_ANCHOR_SEQUENCE	1	Disease
GOBP_REGULATION_OF_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	1	Condition
GOBP_MIRNA_CATABOLIC_PROCESS	1	Condition
GOBP_NEGATIVE_REGULATION_OF_REGULATORY_T_CELL_DIFFERENTIATION	1	Condition
GOBP_REGULATION_OF_SMOOTH_MUSCLE_CELL_CHEMOTAXIS	1	Condition
GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_WOUNDING	1	Condition
GOBP_FOREBRAIN_MORPHOGENESIS	1	Trait
GOBP_RESPONSE_TO_L_GLUTAMATE	1	Trait
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MICROTUBULE	1	Trait
GOBP_RRNA_TRANSCRIPTION	1	Condition
GOBP_GDP_MANNOSE_METABOLIC_PROCESS	1	Condition
GOBP_NCRNA_TRANSCRIPTION	1	Condition
GOBP_NEURON_CELL_CELL_ADHESION	1	Condition
GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_VESICLE_FUSION_TO_PRESYNAPTIC_ACTIVE_ZONE_MEMBRANE	1	Condition
GOBP_REGULATION_OF_PROTEIN_COMPLEX_STABILITY	1	Behavioural
GOBP_RECEPTOR_CLUSTERING	1	Behavioural
GOBP_PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS	1	Disease
GOBP_POSITIVE_REGULATION_OF_TOLL_LIKE_RECEPTOR_3_SIGNALING_PATHWAY	1	Disease
GOBP_5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS	1	Disease
GOBP_POSITIVE_REGULATION_OF_INCLUSION_BODY_ASSEMBLY	1	Disease
GOBP_CALCIUM_ION_IMPORT_INTO_SARCOPLASMIC_RETICULUM	1	Disease
GOBP_REGULATION_OF_ASYMMETRIC_CELL_DIVISION	1	Disease
GOBP_GALACTOLIPID_BIOSYNTHETIC_PROCESS	1	Disease
GOBP_DNA_PROTECTION	1	Disease
GOBP_LEUKOTRIENE_SIGNALING_PATHWAY	1	Disease
GOBP_EMBRYONIC_PLACENTA_DEVELOPMENT	1	Disease
GOBP_OTIC_VESICLE_DEVELOPMENT	1	Anatomical
GOBP_OTIC_VESICLE_MORPHOGENESIS	1	Anatomical
GOBP_NEGATIVE_REGULATION_OF_CELL_KILLING	1	Anatomical
GOBP_CYTOKINETIC_PROCESS	1	Anatomical
GOBP_PROTEIN_DEGLUTAMYLATION	1	Anatomical
GOBP_PROTEIN_SIDE_CHAIN_DEGLUTAMYLATION	1	Anatomical
GOBP_MITOTIC_CYTOKINETIC_PROCESS	1	Anatomical
GOBP_PROTEIN_GERANYLGERANYLATION	1	Anatomical
GOBP_POSITIVE_REGULATION_OF_DEACETYLASE_ACTIVITY	1	Anatomical
GOBP_PRENYLATION	1	Anatomical
GOBP_REGULATION_OF_DEACETYLASE_ACTIVITY	1	Anatomical
GOBP_POSITIVE_REGULATION_OF_APOPTOTIC_DNA_FRAGMENTATION	1	Anatomical
GOBP_POSITIVE_REGULATION_OF_DNA_CATABOLIC_PROCESS	1	Anatomical
GOBP_POSITIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION	1	Anatomical
GOBP_SMOOTHENED_SIGNALING_PATHWAY_INVOLVED_IN_DORSAL_VENTRAL_NEURAL_TUBE_PATTERNING	1	Anatomical
GOBP_CRANIOFACIAL_SUTURE_MORPHOGENESIS	1	Anatomical
GOBP_NEGATIVE_REGULATION_OF_MUSCLE_CELL_DIFFERENTIATION	1	Anatomical
GOBP_CERAMIDE_1_PHOSPHATE_TRANSPORT	1	Anatomical
GOBP_NEGATIVE_REGULATION_OF_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_DIFFERENTIATION	1	Anatomical
GOBP_REGULATION_OF_TYPE_B_PANCREATIC_CELL_DEVELOPMENT	1	Anatomical
