sid	id	Trait	uniqTrait	N	Ncontrol	Ncase	sex	source	uniqTrait_	sTrait	PMID	uniqValue	pair	pair_m_f	TYPE	pair_m_f_	pair_m_f_inv
bm3m	GCST90430948	Left LO1 GMV (requested)	Left LO1 GMV	14087	NA	NA	male	requested	Left LO1 GMV	Left LO1 GMV (requested) [male]	NA	Left LO1 GMV (requested) NA	bm3f bm3m	bm3m bm3f	Anatomical	bm3m:bm3f	bm3f:bm3m
bm4f	GCST90429850	Left MST area (requested)	Left MST area	15838	NA	NA	female	requested	Left MST area	Left MST area (requested) [female]	NA	Left MST area (requested) NA	bm4f bm4m	bm4m bm4f	Anatomical	bm4m:bm4f	bm4f:bm4m
bm4m	GCST90430210	Left MST area (requested)	Left MST area	14183	NA	NA	male	requested	Left MST area	Left MST area (requested) [male]	NA	Left MST area (requested) NA	bm4f bm4m	bm4m bm4f	Anatomical	bm4m:bm4f	bm4f:bm4m
bm5f	GCST90432012	Left Caudate (requested)	Left Caudate	15831	NA	NA	female	requested	Left Caudate	Left Caudate (requested) [female]	NA	Left Caudate (requested) NA	bm5f bm5m	bm5m bm5f	Anatomical	bm5m:bm5f	bm5f:bm5m
bm5m	GCST90432035	Left Caudate (requested)	Left Caudate	14071	NA	NA	male	requested	Left Caudate	Left Caudate (requested) [male]	NA	Left Caudate (requested) NA	bm5f bm5m	bm5m bm5f	Anatomical	bm5m:bm5f	bm5f:bm5m
bm6f	GCST90432013	Left Putamen (requested)	Left Putamen	15831	NA	NA	female	requested	Left Putamen	Left Putamen (requested) [female]	NA	Left Putamen (requested) NA	bm6f bm6m	bm6m bm6f	Anatomical	bm6m:bm6f	bm6f:bm6m
bm6m	GCST90432036	Left Putamen (requested)	Left Putamen	14071	NA	NA	male	requested	Left Putamen	Left Putamen (requested) [male]	NA	Left Putamen (requested) NA	bm6f bm6m	bm6m bm6f	Anatomical	bm6m:bm6f	bm6f:bm6m
bm7f	GCST90432022	Right Putamen (requested)	Right Putamen	15831	NA	NA	female	requested	Right Putamen	Right Putamen (requested) [female]	NA	Right Putamen (requested) NA	bm7f bm7m	bm7m bm7f	Anatomical	bm7m:bm7f	bm7f:bm7m
bm7m	GCST90432045	Right Putamen (requested)	Right Putamen	14071	NA	NA	male	requested	Right Putamen	Right Putamen (requested) [male]	NA	Right Putamen (requested) NA	bm7f bm7m	bm7m bm7f	Anatomical	bm7m:bm7f	bm7f:bm7m
bm8f	GCST90432029	CC Central (requested)	CC Central	15831	NA	NA	female	requested	CC Central	CC Central (requested) [female]	NA	CC Central (requested) NA	bm8f bm8m	bm8m bm8f	Anatomical	bm8m:bm8f	bm8f:bm8m
bm8m	GCST90432052	CC Central (requested)	CC Central	14071	NA	NA	male	requested	CC Central	CC Central (requested) [male]	NA	CC Central (requested) NA	bm8f bm8m	bm8m bm8f	Anatomical	bm8m:bm8f	bm8f:bm8m
c1f	c1	Hematologic Malignancies (requested)	Hematologic Malignancies	37800	36780	1020	female	requested	Hematologic Malignancies	Hematologic Malignancies (requested) [female]	36635305	Hematologic Malignancies (requested) 36635305	c1f c1m	c1m c1f	Disease	c1m:c1f	c1f:c1m
c1m	c2	Hematologic Malignancies (requested)	Hematologic Malignancies	32276	30710	1566	male	requested	Hematologic Malignancies	Hematologic Malignancies (requested) [male]	36635305	Hematologic Malignancies (requested) 36635305	c1f c1m	c1m c1f	Disease	c1m:c1f	c1f:c1m
c2f	c2	Lung Cancer (requested)	Lung Cancer	38009	36780	1229	female	requested	Lung Cancer	Lung Cancer (requested) [female]	36635305	Lung Cancer (requested) 36635305	c2f c2m	c2m c2f	Disease	c2m:c2f	c2f:c2m
c2m	c2	Lung Cancer (requested)	Lung Cancer	32463	30710	1753	male	requested	Lung Cancer	Lung Cancer (requested) [male]	36635305	Lung Cancer (requested) 36635305	c2f c2m	c2m c2f	Disease	c2m:c2f	c2f:c2m
c3f	c3	Colorectal Cancer (requested)	Colorectal Cancer	37719	36780	939	female	requested	Colorectal Cancer	Colorectal Cancer (requested) [female]	36635305	Colorectal Cancer (requested) 36635305	c3f c3m	c3m c3f	Disease	c3m:c3f	c3f:c3m
c3m	c3	Colorectal Cancer (requested)	Colorectal Cancer	31836	30710	1126	male	requested	Colorectal Cancer	Colorectal Cancer (requested) [male]	36635305	Colorectal Cancer (requested) 36635305	c3f c3m	c3m c3f	Disease	c3m:c3f	c3f:c3m
ef_1707-0.0	1707-0.0	Handedness (chirality/laterality) (elena)	Handedness (chirality/laterality)	242204	221128	21076	female	elena	Handedness (chirality/laterality)	Handedness (chirality/laterality) (elena) [female]	NA	Handedness (chirality/laterality) (elena) NA	ef_1707-0.0 em_1707-0.0	em_1707-0.0 ef_1707-0.0	Trait	em_1707-0.0:ef_1707-0.0	ef_1707-0.0:em_1707-0.0
ef_cancer_c_Block_C15-C26	cancer_c_Block_C15-C26	C15-C26 Malignant neoplasms of digestive organs (elena)	C15-C26 Malignant neoplasms of digestive organs	245494	242986	2508	female	elena	C15-C26 Malignant neoplasms of digestive organs	C15-C26 Malignant neoplasms of digestive organs (elena) [female]	NA	C15-C26 Malignant neoplasms of digestive organs (elena) NA	ef_cancer_c_Block_C15-C26 em_cancer_c_Block_C15-C26	em_cancer_c_Block_C15-C26 ef_cancer_c_Block_C15-C26	Disease	em_cancer_c_Block_C15-C26:ef_cancer_c_Block_C15-C26	ef_cancer_c_Block_C15-C26:em_cancer_c_Block_C15-C26
ef_cancer_c_Block_C43-C44	cancer_c_Block_C43-C44	C43-C44 Melanoma and other malignant neoplasms of skin (elena)	C43-C44 Melanoma and other malignant neoplasms of skin	245494	236779	8715	female	elena	C43-C44 Melanoma and other malignant neoplasms of skin	C43-C44 Melanoma and other malignant neoplasms of skin (elena) [female]	NA	C43-C44 Melanoma and other malignant neoplasms of skin (elena) NA	ef_cancer_c_Block_C43-C44 em_cancer_c_Block_C43-C44	em_cancer_c_Block_C43-C44 ef_cancer_c_Block_C43-C44	Disease	em_cancer_c_Block_C43-C44:ef_cancer_c_Block_C43-C44	ef_cancer_c_Block_C43-C44:em_cancer_c_Block_C43-C44
ef_cancer_c_Block_C81-C96	cancer_c_Block_C81-C96	C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue (elena)	C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue	245494	244191	1303	female	elena	C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue	C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue (elena) [female]	NA	C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue (elena) NA	ef_cancer_c_Block_C81-C96 em_cancer_c_Block_C81-C96	em_cancer_c_Block_C81-C96 ef_cancer_c_Block_C81-C96	Disease	em_cancer_c_Block_C81-C96:ef_cancer_c_Block_C81-C96	ef_cancer_c_Block_C81-C96:em_cancer_c_Block_C81-C96
ef_cancer_c_C18	cancer_c_C18	C18 Malignant neoplasm of colon (elena)	C18 Malignant neoplasm of colon	245494	244309	1185	female	elena	C18 Malignant neoplasm of colon	C18 Malignant neoplasm of colon (elena) [female]	NA	C18 Malignant neoplasm of colon (elena) NA	ef_cancer_c_C18 em_cancer_c_C18	em_cancer_c_C18 ef_cancer_c_C18	Disease	em_cancer_c_C18:ef_cancer_c_C18	ef_cancer_c_C18:em_cancer_c_C18
ef_cancer_c_C43	cancer_c_C43	C43 Malignant melanoma of skin (elena)	C43 Malignant melanoma of skin	245494	244091	1403	female	elena	C43 Malignant melanoma of skin	C43 Malignant melanoma of skin (elena) [female]	NA	C43 Malignant melanoma of skin (elena) NA	ef_cancer_c_C43 em_cancer_c_C43	em_cancer_c_C43 ef_cancer_c_C43	Disease	em_cancer_c_C43:ef_cancer_c_C43	ef_cancer_c_C43:em_cancer_c_C43
ef_cancer_c_C44	cancer_c_C44	C44 Other malignant neoplasms of skin (elena)	C44 Other malignant neoplasms of skin	245494	238182	7312	female	elena	C44 Other malignant neoplasms of skin	C44 Other malignant neoplasms of skin (elena) [female]	NA	C44 Other malignant neoplasms of skin (elena) NA	ef_cancer_c_C44 em_cancer_c_C44	em_cancer_c_C44 ef_cancer_c_C44	Disease	em_cancer_c_C44:ef_cancer_c_C44	ef_cancer_c_C44:em_cancer_c_C44
ef_clinical_c_Block_E70-E90	clinical_c_Block_E70-E90	E70-E90 Metabolic disorders (elena)	E70-E90 Metabolic disorders	245494	225551	19943	female	elena	E70-E90 Metabolic disorders	E70-E90 Metabolic disorders (elena) [female]	NA	E70-E90 Metabolic disorders (elena) NA	ef_clinical_c_Block_E70-E90 em_clinical_c_Block_E70-E90	em_clinical_c_Block_E70-E90 ef_clinical_c_Block_E70-E90	Disease	em_clinical_c_Block_E70-E90:ef_clinical_c_Block_E70-E90	ef_clinical_c_Block_E70-E90:em_clinical_c_Block_E70-E90
ef_clinical_c_Block_F10-F19	clinical_c_Block_F10-F19	F10-F19 Mental and behavioural disorders due to psychoactive substance use (elena)	F10-F19 Mental and behavioural disorders due to psychoactive substance use	245494	238848	6646	female	elena	F10-F19 Mental and behavioural disorders due to psychoactive substance use	F10-F19 Mental and behavioural disorders due to psychoactive substance use (elena) [female]	NA	F10-F19 Mental and behavioural disorders due to psychoactive substance use (elena) NA	ef_clinical_c_Block_F10-F19 em_clinical_c_Block_F10-F19	em_clinical_c_Block_F10-F19 ef_clinical_c_Block_F10-F19	Disease	em_clinical_c_Block_F10-F19:ef_clinical_c_Block_F10-F19	ef_clinical_c_Block_F10-F19:em_clinical_c_Block_F10-F19
ef_clinical_c_Block_G50-G59	clinical_c_Block_G50-G59	G50-G59 Nerve, nerve root and plexus disorders (elena)	G50-G59 Nerve, nerve root and plexus disorders	245494	233042	12452	female	elena	G50-G59 Nerve, nerve root and plexus disorders	G50-G59 Nerve, nerve root and plexus disorders (elena) [female]	NA	G50-G59 Nerve, nerve root and plexus disorders (elena) NA	ef_clinical_c_Block_G50-G59 em_clinical_c_Block_G50-G59	em_clinical_c_Block_G50-G59 ef_clinical_c_Block_G50-G59	Disease	em_clinical_c_Block_G50-G59:ef_clinical_c_Block_G50-G59	ef_clinical_c_Block_G50-G59:em_clinical_c_Block_G50-G59
ef_clinical_c_Block_H30-H36	clinical_c_Block_H30-H36	H30-H36 Disorders of choroid and retina (elena)	H30-H36 Disorders of choroid and retina	245494	241708	3786	female	elena	H30-H36 Disorders of choroid and retina	H30-H36 Disorders of choroid and retina (elena) [female]	NA	H30-H36 Disorders of choroid and retina (elena) NA	ef_clinical_c_Block_H30-H36 em_clinical_c_Block_H30-H36	em_clinical_c_Block_H30-H36 ef_clinical_c_Block_H30-H36	Disease	em_clinical_c_Block_H30-H36:ef_clinical_c_Block_H30-H36	ef_clinical_c_Block_H30-H36:em_clinical_c_Block_H30-H36
ef_clinical_c_Block_I10-I15	clinical_c_Block_I10-I15	I10-I15 Hypertensive diseases (elena)	I10-I15 Hypertensive diseases	245494	206375	39119	female	elena	I10-I15 Hypertensive diseases	I10-I15 Hypertensive diseases (elena) [female]	NA	I10-I15 Hypertensive diseases (elena) NA	ef_clinical_c_Block_I10-I15 em_clinical_c_Block_I10-I15	em_clinical_c_Block_I10-I15 ef_clinical_c_Block_I10-I15	Disease	em_clinical_c_Block_I10-I15:ef_clinical_c_Block_I10-I15	ef_clinical_c_Block_I10-I15:em_clinical_c_Block_I10-I15
ef_clinical_c_Block_I20-I25	clinical_c_Block_I20-I25	I20-I25 Ischaemic heart diseases (elena)	I20-I25 Ischaemic heart diseases	245494	234799	10695	female	elena	I20-I25 Ischaemic heart diseases	I20-I25 Ischaemic heart diseases (elena) [female]	NA	I20-I25 Ischaemic heart diseases (elena) NA	ef_clinical_c_Block_I20-I25 em_clinical_c_Block_I20-I25	em_clinical_c_Block_I20-I25 ef_clinical_c_Block_I20-I25	Disease	em_clinical_c_Block_I20-I25:ef_clinical_c_Block_I20-I25	ef_clinical_c_Block_I20-I25:em_clinical_c_Block_I20-I25
ef_clinical_c_Block_I26-I28	clinical_c_Block_I26-I28	I26-I28 Pulmonary heart disease and diseases of pulmonary circulation (elena)	I26-I28 Pulmonary heart disease and diseases of pulmonary circulation	245494	243332	2162	female	elena	I26-I28 Pulmonary heart disease and diseases of pulmonary circulation	I26-I28 Pulmonary heart disease and diseases of pulmonary circulation (elena) [female]	NA	I26-I28 Pulmonary heart disease and diseases of pulmonary circulation (elena) NA	ef_clinical_c_Block_I26-I28 em_clinical_c_Block_I26-I28	em_clinical_c_Block_I26-I28 ef_clinical_c_Block_I26-I28	Disease	em_clinical_c_Block_I26-I28:ef_clinical_c_Block_I26-I28	ef_clinical_c_Block_I26-I28:em_clinical_c_Block_I26-I28
ef_clinical_c_Block_I70-I79	clinical_c_Block_I70-I79	I70-I79 Diseases of arteries, arterioles and capillaries (elena)	I70-I79 Diseases of arteries, arterioles and capillaries	245494	242353	3141	female	elena	I70-I79 Diseases of arteries, arterioles and capillaries	I70-I79 Diseases of arteries, arterioles and capillaries (elena) [female]	NA	I70-I79 Diseases of arteries, arterioles and capillaries (elena) NA	ef_clinical_c_Block_I70-I79 em_clinical_c_Block_I70-I79	em_clinical_c_Block_I70-I79 ef_clinical_c_Block_I70-I79	Disease	em_clinical_c_Block_I70-I79:ef_clinical_c_Block_I70-I79	ef_clinical_c_Block_I70-I79:em_clinical_c_Block_I70-I79
ef_clinical_c_Block_J09-J18	clinical_c_Block_J09-J18	J09-J18 Influenza and pneumonia (elena)	J09-J18 Influenza and pneumonia	245494	240793	4701	female	elena	J09-J18 Influenza and pneumonia	J09-J18 Influenza and pneumonia (elena) [female]	NA	J09-J18 Influenza and pneumonia (elena) NA	ef_clinical_c_Block_J09-J18 em_clinical_c_Block_J09-J18	em_clinical_c_Block_J09-J18 ef_clinical_c_Block_J09-J18	Disease	em_clinical_c_Block_J09-J18:ef_clinical_c_Block_J09-J18	ef_clinical_c_Block_J09-J18:em_clinical_c_Block_J09-J18
ef_clinical_c_Block_K20-K31	clinical_c_Block_K20-K31	K20-K31 Diseases of oesophagus, stomach and duodenum (elena)	K20-K31 Diseases of oesophagus, stomach and duodenum	245494	208905	36589	female	elena	K20-K31 Diseases of oesophagus, stomach and duodenum	K20-K31 Diseases of oesophagus, stomach and duodenum (elena) [female]	NA	K20-K31 Diseases of oesophagus, stomach and duodenum (elena) NA	ef_clinical_c_Block_K20-K31 em_clinical_c_Block_K20-K31	em_clinical_c_Block_K20-K31 ef_clinical_c_Block_K20-K31	Disease	em_clinical_c_Block_K20-K31:ef_clinical_c_Block_K20-K31	ef_clinical_c_Block_K20-K31:em_clinical_c_Block_K20-K31
ef_clinical_c_Block_K35-K38	clinical_c_Block_K35-K38	K35-K38 Diseases of appendix (elena)	K35-K38 Diseases of appendix	245494	243445	2049	female	elena	K35-K38 Diseases of appendix	K35-K38 Diseases of appendix (elena) [female]	NA	K35-K38 Diseases of appendix (elena) NA	ef_clinical_c_Block_K35-K38 em_clinical_c_Block_K35-K38	em_clinical_c_Block_K35-K38 ef_clinical_c_Block_K35-K38	Disease	em_clinical_c_Block_K35-K38:ef_clinical_c_Block_K35-K38	ef_clinical_c_Block_K35-K38:em_clinical_c_Block_K35-K38
ef_clinical_c_Block_K40-K46	clinical_c_Block_K40-K46	K40-K46 Hernia (elena)	K40-K46 Hernia	245494	225030	20464	female	elena	K40-K46 Hernia	K40-K46 Hernia (elena) [female]	NA	K40-K46 Hernia (elena) NA	ef_clinical_c_Block_K40-K46 em_clinical_c_Block_K40-K46	em_clinical_c_Block_K40-K46 ef_clinical_c_Block_K40-K46	Disease	em_clinical_c_Block_K40-K46:ef_clinical_c_Block_K40-K46	ef_clinical_c_Block_K40-K46:em_clinical_c_Block_K40-K46
ef_clinical_c_Block_K55-K64	clinical_c_Block_K55-K64	K55-K64 Other diseases of intestines (elena)	K55-K64 Other diseases of intestines	245494	206836	38658	female	elena	K55-K64 Other diseases of intestines	K55-K64 Other diseases of intestines (elena) [female]	NA	K55-K64 Other diseases of intestines (elena) NA	ef_clinical_c_Block_K55-K64 em_clinical_c_Block_K55-K64	em_clinical_c_Block_K55-K64 ef_clinical_c_Block_K55-K64	Disease	em_clinical_c_Block_K55-K64:ef_clinical_c_Block_K55-K64	ef_clinical_c_Block_K55-K64:em_clinical_c_Block_K55-K64
ef_clinical_c_Block_L20-L30	clinical_c_Block_L20-L30	L20-L30 Dermatitis and eczema (elena)	L20-L30 Dermatitis and eczema	245494	243607	1887	female	elena	L20-L30 Dermatitis and eczema	L20-L30 Dermatitis and eczema (elena) [female]	NA	L20-L30 Dermatitis and eczema (elena) NA	ef_clinical_c_Block_L20-L30 em_clinical_c_Block_L20-L30	em_clinical_c_Block_L20-L30 ef_clinical_c_Block_L20-L30	Disease	em_clinical_c_Block_L20-L30:ef_clinical_c_Block_L20-L30	ef_clinical_c_Block_L20-L30:em_clinical_c_Block_L20-L30
ef_clinical_c_Block_M15-M19	clinical_c_Block_M15-M19	M15-M19 Arthrosis (elena)	M15-M19 Arthrosis	245494	218012	27482	female	elena	M15-M19 Arthrosis	M15-M19 Arthrosis (elena) [female]	NA	M15-M19 Arthrosis (elena) NA	ef_clinical_c_Block_M15-M19 em_clinical_c_Block_M15-M19	em_clinical_c_Block_M15-M19 ef_clinical_c_Block_M15-M19	Disease	em_clinical_c_Block_M15-M19:ef_clinical_c_Block_M15-M19	ef_clinical_c_Block_M15-M19:em_clinical_c_Block_M15-M19
ef_clinical_c_Block_M45-M49	clinical_c_Block_M45-M49	M45-M49 Spondylopathies (elena)	M45-M49 Spondylopathies	245494	238206	7288	female	elena	M45-M49 Spondylopathies	M45-M49 Spondylopathies (elena) [female]	NA	M45-M49 Spondylopathies (elena) NA	ef_clinical_c_Block_M45-M49 em_clinical_c_Block_M45-M49	em_clinical_c_Block_M45-M49 ef_clinical_c_Block_M45-M49	Disease	em_clinical_c_Block_M45-M49:ef_clinical_c_Block_M45-M49	ef_clinical_c_Block_M45-M49:em_clinical_c_Block_M45-M49
ef_clinical_c_Block_N17-N19	clinical_c_Block_N17-N19	N17-N19 Renal failure (elena)	N17-N19 Renal failure	245494	241711	3783	female	elena	N17-N19 Renal failure	N17-N19 Renal failure (elena) [female]	NA	N17-N19 Renal failure (elena) NA	ef_clinical_c_Block_N17-N19 em_clinical_c_Block_N17-N19	em_clinical_c_Block_N17-N19 ef_clinical_c_Block_N17-N19	Disease	em_clinical_c_Block_N17-N19:ef_clinical_c_Block_N17-N19	ef_clinical_c_Block_N17-N19:em_clinical_c_Block_N17-N19
ef_clinical_c_Block_N20-N23	clinical_c_Block_N20-N23	N20-N23 Urolithiasis (elena)	N20-N23 Urolithiasis	245494	243374	2120	female	elena	N20-N23 Urolithiasis	N20-N23 Urolithiasis (elena) [female]	NA	N20-N23 Urolithiasis (elena) NA	ef_clinical_c_Block_N20-N23 em_clinical_c_Block_N20-N23	em_clinical_c_Block_N20-N23 ef_clinical_c_Block_N20-N23	Disease	em_clinical_c_Block_N20-N23:ef_clinical_c_Block_N20-N23	ef_clinical_c_Block_N20-N23:em_clinical_c_Block_N20-N23
ef_clinical_c_D50	clinical_c_D50	D50 Iron deficiency anaemia (elena)	D50 Iron deficiency anaemia	245494	240296	5198	female	elena	D50 Iron deficiency anaemia	D50 Iron deficiency anaemia (elena) [female]	NA	D50 Iron deficiency anaemia (elena) NA	ef_clinical_c_D50 em_clinical_c_D50	em_clinical_c_D50 ef_clinical_c_D50	Disease	em_clinical_c_D50:ef_clinical_c_D50	ef_clinical_c_D50:em_clinical_c_D50
ef_clinical_c_E03	clinical_c_E03	E03 Other hypothyroidism (elena)	E03 Other hypothyroidism	245494	232750	12744	female	elena	E03 Other hypothyroidism	E03 Other hypothyroidism (elena) [female]	NA	E03 Other hypothyroidism (elena) NA	ef_clinical_c_E03 em_clinical_c_E03	em_clinical_c_E03 ef_clinical_c_E03	Disease	em_clinical_c_E03:ef_clinical_c_E03	ef_clinical_c_E03:em_clinical_c_E03
ef_clinical_c_E10	clinical_c_E10	E10 Insulin-dependent diabetes mellitus (elena)	E10 Insulin-dependent diabetes mellitus	245494	244237	1257	female	elena	E10 Insulin-dependent diabetes mellitus	E10 Insulin-dependent diabetes mellitus (elena) [female]	NA	E10 Insulin-dependent diabetes mellitus (elena) NA	ef_clinical_c_E10 em_clinical_c_E10	em_clinical_c_E10 ef_clinical_c_E10	Disease	em_clinical_c_E10:ef_clinical_c_E10	ef_clinical_c_E10:em_clinical_c_E10
ef_clinical_c_E11	clinical_c_E11	E11 Non-insulin-dependent diabetes mellitus (elena)	E11 Non-insulin-dependent diabetes mellitus	245494	237986	7508	female	elena	E11 Non-insulin-dependent diabetes mellitus	E11 Non-insulin-dependent diabetes mellitus (elena) [female]	NA	E11 Non-insulin-dependent diabetes mellitus (elena) NA	ef_clinical_c_E11 em_clinical_c_E11	em_clinical_c_E11 ef_clinical_c_E11	Disease	em_clinical_c_E11:ef_clinical_c_E11	ef_clinical_c_E11:em_clinical_c_E11
ef_clinical_c_E66	clinical_c_E66	E66 Obesity (elena)	E66 Obesity	245494	238995	6499	female	elena	E66 Obesity	E66 Obesity (elena) [female]	NA	E66 Obesity (elena) NA	ef_clinical_c_E66 em_clinical_c_E66	em_clinical_c_E66 ef_clinical_c_E66	Disease	em_clinical_c_E66:ef_clinical_c_E66	ef_clinical_c_E66:em_clinical_c_E66
ef_clinical_c_E78	clinical_c_E78	E78 Disorders of lipoprotein metabolism and other lipidaemias (elena)	E78 Disorders of lipoprotein metabolism and other lipidaemias	245494	230172	15322	female	elena	E78 Disorders of lipoprotein metabolism and other lipidaemias	E78 Disorders of lipoprotein metabolism and other lipidaemias (elena) [female]	NA	E78 Disorders of lipoprotein metabolism and other lipidaemias (elena) NA	ef_clinical_c_E78 em_clinical_c_E78	em_clinical_c_E78 ef_clinical_c_E78	Disease	em_clinical_c_E78:ef_clinical_c_E78	ef_clinical_c_E78:em_clinical_c_E78
ef_clinical_c_E83	clinical_c_E83	E83 Disorders of mineral metabolism (elena)	E83 Disorders of mineral metabolism	245494	244461	1033	female	elena	E83 Disorders of mineral metabolism	E83 Disorders of mineral metabolism (elena) [female]	NA	E83 Disorders of mineral metabolism (elena) NA	ef_clinical_c_E83 em_clinical_c_E83	em_clinical_c_E83 ef_clinical_c_E83	Disease	em_clinical_c_E83:ef_clinical_c_E83	ef_clinical_c_E83:em_clinical_c_E83
ef_clinical_c_F10	clinical_c_F10	F10 Mental and behavioural disorders due to use of alcohol (elena)	F10 Mental and behavioural disorders due to use of alcohol	245494	244052	1442	female	elena	F10 Mental and behavioural disorders due to use of alcohol	F10 Mental and behavioural disorders due to use of alcohol (elena) [female]	NA	F10 Mental and behavioural disorders due to use of alcohol (elena) NA	ef_clinical_c_F10 em_clinical_c_F10	em_clinical_c_F10 ef_clinical_c_F10	Disease	em_clinical_c_F10:ef_clinical_c_F10	ef_clinical_c_F10:em_clinical_c_F10
ef_clinical_c_F17	clinical_c_F17	F17 Mental and behavioural disorders due to use of tobacco (elena)	F17 Mental and behavioural disorders due to use of tobacco	245494	239987	5507	female	elena	F17 Mental and behavioural disorders due to use of tobacco	F17 Mental and behavioural disorders due to use of tobacco (elena) [female]	NA	F17 Mental and behavioural disorders due to use of tobacco (elena) NA	ef_clinical_c_F17 em_clinical_c_F17	em_clinical_c_F17 ef_clinical_c_F17	Disease	em_clinical_c_F17:ef_clinical_c_F17	ef_clinical_c_F17:em_clinical_c_F17
ef_clinical_c_F41	clinical_c_F41	F41 Other anxiety disorders (elena)	F41 Other anxiety disorders	245494	241419	4075	female	elena	F41 Other anxiety disorders	F41 Other anxiety disorders (elena) [female]	NA	F41 Other anxiety disorders (elena) NA	ef_clinical_c_F41 em_clinical_c_F41	em_clinical_c_F41 ef_clinical_c_F41	Disease	em_clinical_c_F41:ef_clinical_c_F41	ef_clinical_c_F41:em_clinical_c_F41
ef_clinical_c_G47	clinical_c_G47	G47 Sleep disorders (elena)	G47 Sleep disorders	245494	243811	1683	female	elena	G47 Sleep disorders	G47 Sleep disorders (elena) [female]	NA	G47 Sleep disorders (elena) NA	ef_clinical_c_G47 em_clinical_c_G47	em_clinical_c_G47 ef_clinical_c_G47	Disease	em_clinical_c_G47:ef_clinical_c_G47	ef_clinical_c_G47:em_clinical_c_G47
ef_clinical_c_G55	clinical_c_G55	G55 Nerve root and plexus compressions in diseases classified elsewhere (elena)	G55 Nerve root and plexus compressions in diseases classified elsewhere	245494	243119	2375	female	elena	G55 Nerve root and plexus compressions in diseases classified elsewhere	G55 Nerve root and plexus compressions in diseases classified elsewhere (elena) [female]	NA	G55 Nerve root and plexus compressions in diseases classified elsewhere (elena) NA	ef_clinical_c_G55 em_clinical_c_G55	em_clinical_c_G55 ef_clinical_c_G55	Disease	em_clinical_c_G55:ef_clinical_c_G55	ef_clinical_c_G55:em_clinical_c_G55
ef_clinical_c_G56	clinical_c_G56	G56 Mo-uropathies of upper limb (elena)	G56 Mo-uropathies of upper limb	245494	237651	7843	female	elena	G56 Mo-uropathies of upper limb	G56 Mo-uropathies of upper limb (elena) [female]	NA	G56 Mo-uropathies of upper limb (elena) NA	ef_clinical_c_G56 em_clinical_c_G56	em_clinical_c_G56 ef_clinical_c_G56	Disease	em_clinical_c_G56:ef_clinical_c_G56	ef_clinical_c_G56:em_clinical_c_G56
ef_clinical_c_H25	clinical_c_H25	H25 Senile cataract (elena)	H25 Senile cataract	245494	240346	5148	female	elena	H25 Senile cataract	H25 Senile cataract (elena) [female]	NA	H25 Senile cataract (elena) NA	ef_clinical_c_H25 em_clinical_c_H25	em_clinical_c_H25 ef_clinical_c_H25	Disease	em_clinical_c_H25:ef_clinical_c_H25	ef_clinical_c_H25:em_clinical_c_H25
ef_clinical_c_H26	clinical_c_H26	H26 Other cataract (elena)	H26 Other cataract	245494	236830	8664	female	elena	H26 Other cataract	H26 Other cataract (elena) [female]	NA	H26 Other cataract (elena) NA	ef_clinical_c_H26 em_clinical_c_H26	em_clinical_c_H26 ef_clinical_c_H26	Disease	em_clinical_c_H26:ef_clinical_c_H26	ef_clinical_c_H26:em_clinical_c_H26
ef_clinical_c_H33	clinical_c_H33	H33 Retinal detachments and breaks (elena)	H33 Retinal detachments and breaks	245494	244018	1476	female	elena	H33 Retinal detachments and breaks	H33 Retinal detachments and breaks (elena) [female]	NA	H33 Retinal detachments and breaks (elena) NA	ef_clinical_c_H33 em_clinical_c_H33	em_clinical_c_H33 ef_clinical_c_H33	Disease	em_clinical_c_H33:ef_clinical_c_H33	ef_clinical_c_H33:em_clinical_c_H33
ef_clinical_c_H40	clinical_c_H40	H40 Glaucoma (elena)	H40 Glaucoma	245494	243071	2423	female	elena	H40 Glaucoma	H40 Glaucoma (elena) [female]	NA	H40 Glaucoma (elena) NA	ef_clinical_c_H40 em_clinical_c_H40	em_clinical_c_H40 ef_clinical_c_H40	Disease	em_clinical_c_H40:ef_clinical_c_H40	ef_clinical_c_H40:em_clinical_c_H40
ef_clinical_c_I10	clinical_c_I10	I10 Essential (primary) hypertension (elena)	I10 Essential (primary) hypertension	245494	206492	39002	female	elena	I10 Essential (primary) hypertension	I10 Essential (primary) hypertension (elena) [female]	NA	I10 Essential (primary) hypertension (elena) NA	ef_clinical_c_I10 em_clinical_c_I10	em_clinical_c_I10 ef_clinical_c_I10	Disease	em_clinical_c_I10:ef_clinical_c_I10	ef_clinical_c_I10:em_clinical_c_I10
