sid	uniqValue	sex	H2	H2_SE	H2_P	H2L	H2L_SE	H2L_P	SPREV	PPREV
a21m	Grip strength measurement/ Muscle weakness (requested) 33510174	male	0.0335	0.0044	1.33244942377849e-14	0.0901889827203689	0.0118457171334216	2.66489884755697e-14	0.115707736152988	0.115707736
a22f	Snoring (requested) 32060260	female	0.0702	0.0033	1.01560489158347e-100	0.103454172409733	0.00486323032695325	2.03120978316698e-100	0.283000375550731	0.15
a22m	Snoring (requested) 32060260	male	0.0558	0.0035	1.59704906497389e-57	0.0843643637627381	0.00529167156217891	3.19409812994787e-57	0.477999273573335	0.35
a27f	Fasting glucose (requested) 33402679	female	0.4299	0.0963	4.01890277995325e-06	0.4299	0.0963	4.01890277995325e-06	NA	0
a27m	Fasting glucose (requested) 33402679	male	0.441	0.0989	4.11619459133739e-06	0.441	0.0989	4.11619459133739e-06	NA	0
a28f	Fasting insulin (requested) 33402679	female	0.1001	0.0181	1.5976277372353e-08	0.1001	0.0181	1.5976277372353e-08	NA	0
a28m	Fasting insulin (requested) 33402679	male	0.2605	0.0276	1.89246983020376e-21	0.2605	0.0276	1.89246983020376e-21	NA	0
a29f	Multisite chronic pain (requested) 33830993	female	0.0863	0.0038	1.76297234984325e-114	0.0863	0.0038	1.76297234984325e-114	NA	0
a29m	Multisite chronic pain (requested) 33830993	male	0.0675	0.0043	7.84444181262273e-56	0.0675	0.0043	7.84444181262273e-56	NA	0
a30f	Educational attainment (requested) 27225129	female	0.1782	0.0074	1.97304250541162e-128	0.1782	0.0074	1.97304250541162e-128	NA	0
a30m	Educational attainment (requested) 27225129	male	0.2006	0.0089	8.54504708590599e-113	0.2006	0.0089	8.54504708590599e-113	NA	0
a7f	Parkinson's disease (requested) 33901317	female	0.0541	0.0075	2.72992702455952e-13	0.0802445239464919	0.0111244718964638	5.45985404911904e-13	0.0805910211035504	0.003464633779903
a7m	Parkinson's disease (requested) 33901317	male	0.0652	0.0063	2.10984586652745e-25	0.065442593244515	0.00632344075828902	4.21969173305485e-25	0.126801714063109	0.0036657766750986
a8f	Type 2 diabetes (requested) 30297969	female	0.046	0.0025	6.56823849338697e-76	0.177457645526832	0.00964443725689306	1.31364769867739e-75	0.0647151418315249	0.0684944225543167
a8m	Type 2 diabetes (requested) 30297969	male	0.057	0.0035	6.23325304138694e-60	0.157096126649591	0.00964625339076436	1.24665060827733e-59	0.0983193652449526	0.0792122498821322
a9f	ADHD (requested) 29325848	female	0.1351	0.0282	8.30670447671602e-07	0.0905021345089076	0.0188908970625551	1.6613408953432e-06	0.233353782266056	0.0053025994049385
a9m	ADHD (requested) 29325848	male	0.2501	0.0209	2.66111548796787e-33	0.152168408398219	0.0127161924651051	5.32223097593586e-33	0.440907108591365	0.0141371362643968
bm1f	Left PoI GM thikness (requested) NA	female	0.1034	0.031	0.000425755466277857	0.1034	0.031	0.000425755466277857	NA	0
bm1m	Left PoI GM thikness (requested) NA	male	0.1336	0.0348	6.1747979395871e-05	0.1336	0.0348	6.1747979395871e-05	NA	0
bm2f	Left 5m area (requested) NA	female	0.1948	0.0336	3.36315154353172e-09	0.1948	0.0336	3.36315154353172e-09	NA	0
bm2m	Left 5m area (requested) NA	male	0.1608	0.0374	8.56053623786559e-06	0.1608	0.0374	8.56053623786559e-06	NA	0
bm4f	Left MST area (requested) NA	female	0.1145	0.0313	0.000127022683862557	0.1145	0.0313	0.000127022683862557	NA	0
bm4m	Left MST area (requested) NA	male	0.1054	0.03	0.000221260969424316	0.1054	0.03	0.000221260969424316	NA	0
bm5f	Left Caudate (requested) NA	female	0.3675	0.0365	3.80677838950639e-24	0.3675	0.0365	3.80677838950639e-24	NA	0
bm5m	Left Caudate (requested) NA	male	0.337	0.0363	8.18108145855411e-21	0.337	0.0363	8.18108145855411e-21	NA	0
bm6f	Left Putamen (requested) NA	female	0.3154	0.0419	2.58711382646908e-14	0.3154	0.0419	2.58711382646908e-14	NA	0
bm6m	Left Putamen (requested) NA	male	0.3431	0.0395	1.87587062537983e-18	0.3431	0.0395	1.87587062537983e-18	NA	0
bm7f	Right Putamen (requested) NA	female	0.3306	0.0429	6.47621722500678e-15	0.3306	0.0429	6.47621722500678e-15	NA	0
bm7m	Right Putamen (requested) NA	male	0.3308	0.0393	1.92625503201611e-17	0.3308	0.0393	1.92625503201611e-17	NA	0
bm8f	CC Central (requested) NA	female	0.2537	0.0307	7.05276711234495e-17	0.2537	0.0307	7.05276711234495e-17	NA	0
bm8m	CC Central (requested) NA	male	0.134	0.0301	4.25713274369773e-06	0.134	0.0301	4.25713274369773e-06	NA	0
ch1f	Nonword reading (requested) 35998220	female	0.2832	0.0563	2.44990136526869e-07	0.2832	0.0563	2.44990136526869e-07	NA	0
ch1m	Nonword reading (requested) 35998220	male	0.2421	0.0595	2.36170402743398e-05	0.2421	0.0595	2.36170402743398e-05	NA	0
ch4f	Performance IQ (requested) 35998220	female	0.1451	0.0472	0.00105550731528185	0.1451	0.0472	0.00105550731528185	NA	0
ch4m	Performance IQ (requested) 35998220	male	0.2093	0.048	6.49075070566312e-06	0.2093	0.048	6.49075070566312e-06	NA	0
ch5f	Spelling (requested) 35998220	female	0.2237	0.0531	1.26108825475641e-05	0.2237	0.0531	1.26108825475641e-05	NA	0
ch5m	Spelling (requested) 35998220	male	0.1461	0.0555	0.00423879418307772	0.1461	0.0555	0.00423879418307772	NA	0
ch6f	Word reading (requested) 35998220	female	0.1335	0.0333	3.04870453068011e-05	0.1335	0.0333	3.04870453068011e-05	NA	0
ch6m	Word reading (requested) 35998220	male	0.1595	0.0334	8.96533199947562e-07	0.1595	0.0334	8.96533199947562e-07	NA	0
l1f	HDL (requested) 36575460	female	0.1542	0.0156	2.42721163855198e-23	0.1542	0.0156	2.42721163855198e-23	NA	0
l1m	HDL (requested) 36575460	male	0.1366	0.0148	1.35657809712308e-20	0.1366	0.0148	1.35657809712308e-20	NA	0
l2f	LDL (requested) 36575460	female	0.1121	0.0134	2.9886722870155e-17	0.1121	0.0134	2.9886722870155e-17	NA	0
l2m	LDL (requested) 36575460	male	0.09	0.0112	4.65176548895986e-16	0.09	0.0112	4.65176548895986e-16	NA	0
l3f	TC (requested) 36575460	female	0.1198	0.0133	1.05385469130956e-19	0.1198	0.0133	1.05385469130956e-19	NA	0
l3m	TC (requested) 36575460	male	0.1013	0.0109	7.45935054220326e-21	0.1013	0.0109	7.45935054220326e-21	NA	0
l4f	logTG (requested) 36575460	female	0.1276	0.0124	3.89574529457503e-25	0.1276	0.0124	3.89574529457503e-25	NA	0
l4m	logTG (requested) 36575460	male	0.1116	0.0115	1.44459019017755e-22	0.1116	0.0115	1.44459019017755e-22	NA	0
l5f	nonHDL (requested) 36575460	female	0.1242	0.0148	2.39190354438925e-17	0.1242	0.0148	2.39190354438925e-17	NA	0
l5m	nonHDL (requested) 36575460	male	0.1092	0.0149	1.16060167525108e-13	0.1092	0.0149	1.16060167525108e-13	NA	0
r10f	Major Depression (requested) 31206164	female	0.1267	0.0172	8.77281675766601e-14	0.104369243075427	0.0141685160291819	1.7545633515332e-13	0.529699310871068	0.0447432619422661
r10m	Major Depression (requested) 31206164	male	0.0637	0.0188	0.000351639212908696	0.0483126254474761	0.0142586712466649	0.000703278425817394	0.351602110854344	0.024459076410534
r4f	PTSD (requested) 31594949	female	0.0739	0.0068	8.21928094283134e-28	0.0739	0.0068	8.21928094283134e-28	NA	0
r4m	PTSD (requested) 31594949	male	0.0401	0.006	1.16783734303695e-11	0.0401	0.006	1.16783734303695e-11	NA	0
r5f	Schizophrenia (requested) 35396580	female	0.2987	0.0166	1.08600054923171e-72	0.145532525270224	0.0080878470689177	2.17200109846335e-72	0.324899840842983	0.0029991052080074
r5m	Schizophrenia (requested) 35396580	male	0.4147	0.016	2.0470602182306e-148	0.179019613916151	0.0069069539972472	4.09412043646138e-148	0.484674974738969	0.0031405208556098
r8f	Risk-taking behaviour (requested) 30181555	female	0.0547	0.0036	1.92456498618326e-52	0.116202041233026	0.00764766633343496	3.8491299723665e-52	0.183476071674159	0.183476072
r8m	Risk-taking behaviour (requested) 30181555	male	0.0671	0.0045	1.39534832226255e-50	0.112408380212109	0.00753856499187018	2.79069664452507e-50	0.337270961306242	0.337270961
r9f	Carotid intima-media thickness (requested) 31801372	female	0.2809	0.0429	2.9198246305662e-11	0.2809	0.0429	2.9198246305662e-11	NA	0
r9m	Carotid intima-media thickness (requested) 31801372	male	0.2636	0.045	2.34550885306354e-09	0.2636	0.045	2.34550885306354e-09	NA	0
