sid	id	Trait	uniqTrait	N	Ncontrol	Ncase	sex	source	uniqTrait_	sTrait	PMID	uniqValue	pair	pair_m_f	TYPE	trait_name_clean	type	PPREV	SPREV	Intercept	Intercept_SE	Ratio	Ratio_SE	H2	H2_SE	H2_Z	H2_P	H2L	H2L_VAR	H2L_SE	H2L_P	H2_power_diff0.1	H2_power_diff0.05	H2_power_diff0.02	H2_power_diff0.01	neff	neff_power_univ_cat	neff_power_biv_cat	neff_power_part_cat
a21m	a21	Grip strength measurement/ Muscle weakness (requested)	Grip strength measurement/ Muscle weakness	121055	107048	14007	male	requested	Grip strength measurement/ Muscle weakness	Grip strength measurement/ Muscle weakness (requested) [male]	33510174	Grip strength measurement/ Muscle weakness (requested) 33510174	a21f a21m	a21m a21f	Trait	Grip strength measurement/ Muscle weakness	QT	0.115707736	0.115707736152988	1.0178	0.0069	0.1811	0.0697	0.0335	0.0044	7.61363636363636	1.33244942377849e-14	0.0901889827203689	0.000140321014405038	0.0118457171334216	2.66489884755697e-14	1	1	0.995137973273644	0.622781291164465	12386.2817397051	SNPh2 0.1	none	none
a22f	a22	Snoring (requested)	Snoring	218346	156554	61792	female	requested	Snoring	Snoring (requested) [female]	32060260	Snoring (requested) 32060260	a22f a22m	a22m a22f	Condition	Snoring	QT	0.15	0.283000375550731	1.021	0.0076	0.0669	0.0242	0.0702	0.0033	21.2727272727273	1.01560489158347e-100	0.103454172409733	2.36510092129979e-05	0.00486323032695325	2.03120978316698e-100	1	1	0.999979399730486	0.857766938900142	44304.8407939692	SNPh2 0.05	SNPh2 0.1	SNPh2 0.2
a22m	a22	Snoring (requested)	Snoring	189971	99165	90806	male	requested	Snoring	Snoring (requested) [male]	32060260	Snoring (requested) 32060260	a22f a22m	a22m a22f	Condition	Snoring	QT	0.35	0.477999273573335	1.0162	0.0079	0.0722	0.0353	0.0558	0.0035	15.9428571428571	1.59704906497389e-57	0.0843643637627381	2.8001787921973e-05	0.00529167156217891	3.19409812994787e-57	1	1	0.999913094251896	0.81518898976	47400.7979638997	SNPh2 0.05	SNPh2 0.1	SNPh2 0.2
a27f	a27	Fasting glucose (requested)	Fasting glucose	73089	NA	NA	female	requested	Fasting glucose	Fasting glucose (requested) [female]	33402679	Fasting glucose (requested) 33402679	a27f a27m	a27m a27f	Metabolic	Fasting glucose	BIN	0	NA	0.9397	0.0209	NA		0.4299	0.0963	4.46417445482866	4.01890277995325e-06	0.4299	NA	0.0963	4.01890277995325e-06	0.179740731631661	0.0814115496946235	0.0549555932415898	0.0512361479331981	73089	SNPh2 0.05	SNPh2 0.1	SNPh2 0.1
a27m	a27	Fasting glucose (requested)	Fasting glucose	67506	NA	NA	male	requested	Fasting glucose	Fasting glucose (requested) [male]	33402679	Fasting glucose (requested) 33402679	a27f a27m	a27m a27f	Metabolic	Fasting glucose	BIN	0	NA	0.9179	0.0194	NA		0.441	0.0989	4.45904954499494	4.11619459133739e-06	0.441	NA	0.0989	4.11619459133739e-06	0.172834322150156	0.0797579588202178	0.0546977470814041	0.0511719620104775	67506	SNPh2 0.05	SNPh2 0.1	SNPh2 0.2
a28f	a28	Fasting insulin (requested)	Fasting insulin	50404	NA	NA	female	requested	Fasting insulin	Fasting insulin (requested) [female]	33402679	Fasting insulin (requested) 33402679	a28f a28m	a28m a28f	Metabolic	Fasting insulin	BIN	0	NA	1.0008	0.0094	0.011	0.1277	0.1001	0.0181	5.53038674033149	1.5976277372353e-08	0.1001	NA	0.0181	1.5976277372353e-08	0.99981800106756	0.788859717298278	0.197366478166581	0.0856376800683605	50404	SNPh2 0.05	SNPh2 0.1	SNPh2 0.2
a28m	a28	Fasting insulin (requested)	Fasting insulin	47806	NA	NA	male	requested	Fasting insulin	Fasting insulin (requested) [male]	33402679	Fasting insulin (requested) 33402679	a28f a28m	a28m a28f	Metabolic	Fasting insulin	BIN	0	NA	0.8892	0.0161	NA		0.2605	0.0276	9.43840579710145	1.89246983020376e-21	0.2605	NA	0.0276	1.89246983020376e-21	0.951866251352437	0.441106589084565	0.111985358816234	0.0651698426102982	47806	SNPh2 0.05	SNPh2 0.1	SNPh2 0.2
a29f	a29	Multisite chronic pain (requested)	Multisite chronic pain	206093	NA	NA	female	requested	Multisite chronic pain	Multisite chronic pain (requested) [female]	33830993	Multisite chronic pain (requested) 33830993	a29f a29m	a29m a29f	Condition	Multisite chronic pain	BIN	0	NA	1.0146	0.0078	0.0402	0.0214	0.0863	0.0038	22.7105263157895	1.76297234984325e-114	0.0863	NA	0.0038	1.76297234984325e-114	1	1	0.999522048686831	0.74908777483227	206093	SNPh2 0.05	SNPh2 0.05	SNPh2 0.05
a29m	a29	Multisite chronic pain (requested)	Multisite chronic pain	178556	NA	NA	male	requested	Multisite chronic pain	Multisite chronic pain (requested) [male]	33830993	Multisite chronic pain (requested) 33830993	a29f a29m	a29m a29f	Condition	Multisite chronic pain	BIN	0	NA	1.0208	0.0085	0.0802	0.0327	0.0675	0.0043	15.6976744186047	7.84444181262273e-56	0.0675	NA	0.0043	7.84444181262273e-56	1	1	0.9964402123288	0.642683823871555	178556	SNPh2 0.05	SNPh2 0.05	SNPh2 0.05
a30f	a30	Educational attainment (requested)	Educational attainment	122427	NA	NA	female	requested	Educational attainment	Educational attainment (requested) [female]	27225129	Educational attainment (requested) 27225129	a30f a30m	a30m a30f	Behavioural	Educational attainment	BIN	0	NA	0.9551	0.0082	NA		0.1782	0.0074	24.0810810810811	1.97304250541162e-128	0.1782	NA	0.0074	1.97304250541162e-128	1	0.999999193868785	0.771181618828722	0.271854906912283	122427	SNPh2 0.05	SNPh2 0.05	SNPh2 0.1
a30m	a30	Educational attainment (requested)	Educational attainment	95140	NA	NA	male	requested	Educational attainment	Educational attainment (requested) [male]	27225129	Educational attainment (requested) 27225129	a30f a30m	a30m a30f	Behavioural	Educational attainment	BIN	0	NA	0.9494	0.0071	NA		0.2006	0.0089	22.5393258426966	8.54504708590599e-113	0.2006	NA	0.0089	8.54504708590599e-113	1	0.99987291119075	0.613043683552238	0.202496520917327	95140	SNPh2 0.05	SNPh2 0.05	SNPh2 0.1
a7f	a7	Parkinson's disease (requested)	Parkinson's disease	98609	90662	7947	female	requested	Parkinson's disease	Parkinson's disease (requested) [female]	33901317	Parkinson's disease (requested) 33901317	a7f a7m	a7m a7f	Disease	Parkinson's disease	QT	0.003464633779903	0.0805910211035504	0.9561	0.0074	NA		0.0541	0.0075	7.21333333333333	2.72992702455952e-13	0.0802445239464919	0.000123753874975212	0.0111244718964638	5.45985404911904e-13	1	0.999998741221653	0.760126227094784	0.265945784320818	7306.54315529009	SNPh2 0.2	none	none
a7m	a7	Parkinson's disease (requested)	Parkinson's disease	102680	89660	13020	male	requested	Parkinson's disease	Parkinson's disease (requested) [male]	33901317	Parkinson's disease (requested) 33901317	a7f a7m	a7m a7f	Disease	Parkinson's disease	QT	0.0036657766750986	0.126801714063109	0.9601	0.0073	NA		0.0652	0.0063	10.3492063492063	2.10984586652745e-25	0.065442593244515	3.99859030235909e-05	0.00632344075828902	4.21969173305485e-25	1	0.999999998860395	0.887748273980513	0.354894489132348	11369.0416828983	SNPh2 0.2	none	none
a8f	a8	Type 2 diabetes (requested)	Type 2 diabetes	464389	434336	30053	female	requested	Type 2 diabetes	Type 2 diabetes (requested) [female]	30297969	Type 2 diabetes (requested) 30297969	a8f a8m	a8m a8f	Disease	Type 2 diabetes	QT	0.0684944225543167	0.0647151418315249	1.047	0.0102	0.1018	0.0221	0.046	0.0025	18.4	6.56823849338697e-76	0.177457645526832	9.30151700021469e-05	0.00964443725689306	1.31364769867739e-75	1	1	0.999999999229601	0.979326631902576	28108.1158425372	SNPh2 0.1	SNPh2 0.2	SNPh2 0.2
a8m	a8	Type 2 diabetes (requested)	Type 2 diabetes	425613	383767	41846	male	requested	Type 2 diabetes	Type 2 diabetes (requested) [male]	30297969	Type 2 diabetes (requested) 30297969	a8f a8m	a8m a8f	Disease	Type 2 diabetes	QT	0.0792122498821322	0.0983193652449526	1.0366	0.0113	0.0723	0.0224	0.057	0.0035	16.2857142857143	6.23325304138694e-60	0.157096126649591	9.3050204478833e-05	0.00964625339076436	1.24665060827733e-59	1	1	0.999913094251896	0.81518898976	37731.7278419597	SNPh2 0.05	SNPh2 0.1	SNPh2 0.2
a9f	a9	ADHD (requested)	ADHD	21191	16246	4945	female	requested	ADHD	ADHD (requested) [female]	29325848	ADHD (requested) 29325848	a9f a9m	a9m a9f	Disease	ADHD	QT	0.0053025994049385	0.233353782266056	1.0585	0.0087	0.4886	0.0724	0.1351	0.0282	4.79078014184397	8.30670447671602e-07	0.0905021345089076	0.000356865991828053	0.0188908970625551	1.6613408953432e-06	0.943645708677388	0.425958499335027	0.109315713822863	0.064526085621238	3791.06554669435	none	none	none
a9m	a9	ADHD (requested)	ADHD	32102	17948	14154	male	requested	ADHD	ADHD (requested) [male]	29325848	ADHD (requested) 29325848	a9f a9m	a9m a9f	Disease	ADHD	QT	0.0141371362643968	0.440907108591365	1.0064	0.0082	0.0365	0.0464	0.2501	0.0209	11.9665071770335	2.66111548796787e-33	0.152168408398219	0.000161701550809595	0.0127161924651051	5.32223097593586e-33	0.997633939543149	0.667274296155709	0.159691748968199	0.0766128956540188	7913.40078499782	SNPh2 0.2	none	none
bm1f	GCST90431455	Left PoI GM thikness (requested)	Left PoI GM thikness	16057	NA	NA	female	requested	Left PoI GM thikness	Left PoI GM thikness (requested) [female]	NA	Left PoI GM thikness (requested) NA	bm1f bm1m	bm1m bm1f	Anatomical	Left PoI GM thikness	BIN	0	NA	1.0066	0.0068	0.1625	0.1665	0.1034	0.031	3.33548387096774	0.000425755466277857	0.1034	NA	0.031	0.000425755466277857	0.897215363735763	0.364449383566932	0.0988801445417345	0.0620038014486737	16057	SNPh2 0.1	SNPh2 0.2	none
bm1m	GCST90431815	Left PoI GM thikness (requested)	Left PoI GM thikness	14341	NA	NA	male	requested	Left PoI GM thikness	Left PoI GM thikness (requested) [male]	NA	Left PoI GM thikness (requested) NA	bm1f bm1m	bm1m bm1f	Anatomical	Left PoI GM thikness	BIN	0	NA	1.0083	0.0064	0.1659	0.1279	0.1336	0.0348	3.83908045977011	6.1747979395871e-05	0.1336	NA	0.0348	6.1747979395871e-05	0.819536936107629	0.300764634232904	0.0886153719451587	0.0595120607261633	14341	SNPh2 0.1	none	none
bm2f	GCST90429884	Left 5m area (requested)	Left 5m area	15838	NA	NA	female	requested	Left 5m area	Left 5m area (requested) [female]	NA	Left 5m area (requested) NA	bm2f bm2m	bm2m bm2f	Anatomical	Left 5m area	BIN	0	NA	0.9952	0.0068	NA		0.1948	0.0336	5.79761904761905	3.36315154353172e-09	0.1948	NA	0.0336	3.36315154353172e-09	0.845239626464315	0.318792553802278	0.0914759180003687	0.0602076500164076	15838	SNPh2 0.1	SNPh2 0.2	none
bm2m	GCST90430244	Left 5m area (requested)	Left 5m area	14183	NA	NA	male	requested	Left 5m area	Left 5m area (requested) [male]	NA	Left 5m area (requested) NA	bm2f bm2m	bm2m bm2f	Anatomical	Left 5m area	BIN	0	NA	1.0003	0.0076	0.0052	0.1476	0.1608	0.0374	4.29946524064171	8.56053623786559e-06	0.1608	NA	0.0374	8.56053623786559e-06	0.762336510088086	0.267109567769355	0.0833517981937971	0.0582294674937122	14183	SNPh2 0.1	none	none
bm4f	GCST90429850	Left MST area (requested)	Left MST area	15838	NA	NA	female	requested	Left MST area	Left MST area (requested) [female]	NA	Left MST area (requested) NA	bm4f bm4m	bm4m bm4f	Anatomical	Left MST area	BIN	0	NA	1.0063	0.0069	0.1486	0.1631	0.1145	0.0313	3.65814696485623	0.000127022683862557	0.1145	NA	0.0313	0.000127022683862557	0.891570767885759	0.358669045575797	0.0979285417783429	0.0617732851544171	15838	SNPh2 0.1	SNPh2 0.2	none
bm4m	GCST90430210	Left MST area (requested)	Left MST area	14183	NA	NA	male	requested	Left MST area	Left MST area (requested) [male]	NA	Left MST area (requested) NA	bm4f bm4m	bm4m bm4f	Anatomical	Left MST area	BIN	0	NA	0.9944	0.0062	NA		0.1054	0.03	3.51333333333333	0.000221260969424316	0.1054	NA	0.03	0.000221260969424316	0.915181283301827	0.384791023571346	0.1022658679908	0.0628232294792722	14183	SNPh2 0.1	none	none
bm5f	GCST90432012	Left Caudate (requested)	Left Caudate	15831	NA	NA	female	requested	Left Caudate	Left Caudate (requested) [female]	NA	Left Caudate (requested) NA	bm5f bm5m	bm5m bm5f	Anatomical	Left Caudate	BIN	0	NA	1.0049	0.0076	0.0408	0.0639	0.3675	0.0365	10.0684931506849	3.80677838950639e-24	0.3675	NA	0.0365	3.80677838950639e-24	0.782235826714792	0.277995978797625	0.0850446096396341	0.0586423525462016	15831	SNPh2 0.1	SNPh2 0.2	none
bm5m	GCST90432035	Left Caudate (requested)	Left Caudate	14071	NA	NA	male	requested	Left Caudate	Left Caudate (requested) [male]	NA	Left Caudate (requested) NA	bm5f bm5m	bm5m bm5f	Anatomical	Left Caudate	BIN	0	NA	1.003	0.0071	0.0279	0.0659	0.337	0.0363	9.28374655647383	8.18108145855411e-21	0.337	NA	0.0363	8.18108145855411e-21	0.786652851050009	0.280519822251869	0.0854383238070775	0.0587383271177152	14071	SNPh2 0.1	none	none
bm6f	GCST90432013	Left Putamen (requested)	Left Putamen	15831	NA	NA	female	requested	Left Putamen	Left Putamen (requested) [female]	NA	Left Putamen (requested) NA	bm6f bm6m	bm6m bm6f	Anatomical	Left Putamen	BIN	0	NA	1.0124	0.008	0.1092	0.0705	0.3154	0.0419	7.52744630071599	2.58711382646908e-14	0.3154	NA	0.0419	2.58711382646908e-14	0.6651973744058	0.222453072244043	0.0764843222719011	0.0565503654628252	15831	SNPh2 0.1	SNPh2 0.2	none
bm6m	GCST90432036	Left Putamen (requested)	Left Putamen	14071	NA	NA	male	requested	Left Putamen	Left Putamen (requested) [male]	NA	Left Putamen (requested) NA	bm6f bm6m	bm6m bm6f	Anatomical	Left Putamen	BIN	0	NA	1.0016	0.0073	0.0145	0.0655	0.3431	0.0395	8.68607594936709	1.87587062537983e-18	0.3431	NA	0.0395	1.87587062537983e-18	0.716234678202861	0.244424966251994	0.0798497605615208	0.0573740618754592	14071	SNPh2 0.1	none	none
bm7f	GCST90432022	Right Putamen (requested)	Right Putamen	15831	NA	NA	female	requested	Right Putamen	Right Putamen (requested) [female]	NA	Right Putamen (requested) NA	bm7f bm7m	bm7m bm7f	Anatomical	Right Putamen	BIN	0	NA	1.0116	0.0077	0.0986	0.065	0.3306	0.0429	7.70629370629371	6.47621722500678e-15	0.3306	NA	0.0429	6.47621722500678e-15	0.644704409526461	0.214350643498995	0.0752483969640154	0.0562474442158778	15831	SNPh2 0.1	SNPh2 0.2	none
bm7m	GCST90432045	Right Putamen (requested)	Right Putamen	14071	NA	NA	male	requested	Right Putamen	Right Putamen (requested) [male]	NA	Right Putamen (requested) NA	bm7f bm7m	bm7m bm7f	Anatomical	Right Putamen	BIN	0	NA	1.0071	0.0068	0.0627	0.0597	0.3308	0.0393	8.41730279898219	1.92625503201611e-17	0.3308	NA	0.0393	1.92625503201611e-17	0.720583296212197	0.246435207331549	0.080158862322846	0.0574496321488497	14071	SNPh2 0.1	none	none
bm8f	GCST90432029	CC Central (requested)	CC Central	15831	NA	NA	female	requested	CC Central	CC Central (requested) [female]	NA	CC Central (requested) NA	bm8f bm8m	bm8m bm8f	Anatomical	CC Central	BIN	0	NA	1.0016	0.0068	0.0198	0.0825	0.2537	0.0307	8.26384364820847	7.05276711234495e-17	0.2537	NA	0.0307	7.05276711234495e-17	0.902747277167989	0.370375349546151	0.0998604197203922	0.0622411677045443	15831	SNPh2 0.1	SNPh2 0.2	none
bm8m	GCST90432052	CC Central (requested)	CC Central	14071	NA	NA	male	requested	CC Central	CC Central (requested) [male]	NA	CC Central (requested) NA	bm8f bm8m	bm8m bm8f	Anatomical	CC Central	BIN	0	NA	1.0104	0.0061	0.1963	0.1155	0.134	0.0301	4.45182724252492	4.25713274369773e-06	0.134	NA	0.0301	4.25713274369773e-06	0.913447685259978	0.382679875012863	0.101911692496973	0.0627375622537678	14071	SNPh2 0.1	none	none
ch1f	ch1	Nonword reading (requested)	Nonword reading	8264	NA	NA	female		Nonword reading	Nonword reading (requested) [female]	35998220	Nonword reading (requested) 35998220	ch1m ch1f	ch1m ch1f	Behavioural	Nonword reading	BIN	0	NA	0.9982	0.0067	NA		0.2832	0.0563	5.03019538188277	2.44990136526869e-07	0.2832	NA	0.0563	2.44990136526869e-07	0.42719231232402	0.144089752428815	0.0645781486190562	0.0536218340614067	8264	SNPh2 0.2	none	none
ch1m	ch1	Nonword reading (requested)	Nonword reading	8383	NA	NA	male		Nonword reading	Nonword reading (requested) [male]	35998220	Nonword reading (requested) 35998220	ch1f ch1m	ch1m ch1f	Behavioural	Nonword reading	BIN	0	NA	0.9997	0.0066	NA		0.2421	0.0595	4.06890756302521	2.36170402743398e-05	0.2421	NA	0.0595	2.36170402743398e-05	0.390146464273533	0.133988946983857	0.0630412246082569	0.0532420006711447	8383	SNPh2 0.2	none	none
ch4f	ch4	Performance IQ (requested)	Performance IQ	9301	NA	NA	female		Performance IQ	Performance IQ (requested) [female]	35998220	Performance IQ (requested) 35998220	ch4f ch4m	ch4m ch4f	Behavioural	Performance IQ	BIN	0	NA	0.9972	0.0064	NA		0.1451	0.0472	3.07415254237288	0.00105550731528185	0.1451	NA	0.0472	0.00105550731528185	0.563062187770438	0.185156217128221	0.070810308295522	0.055157697724051	9301	SNPh2 0.2	none	none
ch4m	ch4	Performance IQ (requested)	Performance IQ	9317	NA	NA	male		Performance IQ	Performance IQ (requested) [male]	35998220	Performance IQ (requested) 35998220	ch4f ch4m	ch4m ch4f	Behavioural	Performance IQ	BIN	0	NA	0.9968	0.006	NA		0.2093	0.048	4.36041666666667	6.49075070566312e-06	0.2093	NA	0.048	6.49075070566312e-06	0.549119038484949	0.180574304430821	0.0701151134495378	0.0549867054475313	9317	SNPh2 0.2	none	none
ch5f	ch5	Spelling (requested)	Spelling	8454	NA	NA	female		Spelling	Spelling (requested) [female]	35998220	Spelling (requested) 35998220	ch5f ch5m	ch5m ch5f	Behavioural	Spelling	BIN	0	NA	0.994	0.0063	NA		0.2237	0.0531	4.21280602636535	1.26108825475641e-05	0.2237	NA	0.0531	1.26108825475641e-05	0.469481951765325	0.156113566465066	0.0664044005156548	0.0540726077697116	8454	SNPh2 0.2	none	none
ch5m	ch5	Spelling (requested)	Spelling	8727	NA	NA	male		Spelling	Spelling (requested) [male]	35998220	Spelling (requested) 35998220	ch5f ch5m	ch5m ch5f	Behavioural	Spelling	BIN	0	NA	1.0056	0.0063	0.181	0.2048	0.1461	0.0555	2.63243243243243	0.00423879418307772	0.1461	NA	0.0555	0.00423879418307772	0.437248860212601	0.146897960846186	0.0650049410355566	0.0537272334881705	8727	SNPh2 0.2	none	none
ch6f	ch6	Word reading (requested)	Word reading	13202	NA	NA	female		Word reading	Word reading (requested) [female]	35998220	Word reading (requested) 35998220	ch6f ch6m	ch6m ch6f	Behavioural	Word reading	BIN	0	NA	1.0029	0.0063	0.078	0.1704	0.1335	0.0333	4.00900900900901	3.04870453068011e-05	0.1335	NA	0.0333	3.04870453068011e-05	0.851535236154403	0.323578726622137	0.0922408458707162	0.0603934910899925	13202	SNPh2 0.1	none	none
ch6m	ch6	Word reading (requested)	Word reading	14277	NA	NA	male		Word reading	Word reading (requested) [male]	35998220	Word reading (requested) 35998220	ch6f ch6m	ch6m ch6f	Behavioural	Word reading	BIN	0	NA	0.9892	0.0061	NA		0.1595	0.0334	4.77544910179641	8.96533199947562e-07	0.1595	NA	0.0334	8.96533199947562e-07	0.849443499530318	0.32197038034279	0.091983530230036	0.0603309831901691	14277	SNPh2 0.1	none	none
l1f	l1	HDL (requested)	HDL	617211	NA	NA	female	requested	HDL	HDL (requested) [female]	36575460	HDL (requested) 36575460	l1f l1m	l1m l1f	Metabolic	HDL	BIN	0	NA	1.0956	0.022	0.0559	0.0128	0.1542	0.0156	9.88461538461539	2.42721163855198e-23	0.1542	NA	0.0156	2.42721163855198e-23	0.999995712327843	0.893464424374346	0.249506961078848	0.0982426262458025	617211	SNPh2 0.05	SNPh2 0.05	SNPh2 0.05
l1m	l1	HDL (requested)	HDL	723018	NA	NA	male	requested	HDL	HDL (requested) [male]	36575460	HDL (requested) 36575460	l1f l1m	l1m l1f	Metabolic	HDL	BIN	0	NA	1.0729	0.0231	0.0406	0.0128	0.1366	0.0148	9.22972972972973	1.35657809712308e-20	0.1366	NA	0.0148	1.35657809712308e-20	0.999999193868785	0.921965139055386	0.271854906912283	0.103719490940952	723018	SNPh2 0.05	SNPh2 0.05	SNPh2 0.05
l2f	l2	LDL (requested)	LDL	617211	NA	NA	female	requested	LDL	LDL (requested) [female]	36575460	LDL (requested) 36575460	l2f l2m	l2m l2f	Metabolic	LDL	BIN	0	NA	1.0738	0.0198	0.0575	0.0154	0.1121	0.0134	8.36567164179104	2.9886722870155e-17	0.1121	NA	0.0134	2.9886722870155e-17	0.999999981301468	0.961751181990817	0.320375029549085	0.11583461229637	617211	SNPh2 0.05	SNPh2 0.05	SNPh2 0.05
l2m	l2	LDL (requested)	LDL	723018	NA	NA	male	requested	LDL	LDL (requested) [male]	36575460	LDL (requested) 36575460	l2f l2m	l2m l2f	Metabolic	LDL	BIN	0	NA	1.0625	0.0197	0.0506	0.016	0.09	0.0112	8.03571428571428	4.65176548895986e-16	0.09	NA	0.0112	4.65176548895986e-16	0.9999999999984	0.99386567932634	0.430924567969065	0.1451284466282	723018	SNPh2 0.05	SNPh2 0.05	SNPh2 0.05
l3f	l3	TC (requested)	TC	617211	NA	NA	female	requested	TC	TC (requested) [female]	36575460	TC (requested) 36575460	l3f l3m	l3m l3f	Metabolic	TC	BIN	0	NA	1.1039	0.0201	0.0669	0.0129	0.1198	0.0133	9.00751879699248	1.05385469130956e-19	0.1198	NA	0.0133	1.05385469130956e-19	0.999999986420781	0.964025018115407	0.324387810982053	0.116852928751371	617211	SNPh2 0.05	SNPh2 0.05	SNPh2 0.05
l3m	l3	TC (requested)	TC	723018	NA	NA	male	requested	TC	TC (requested) [male]	36575460	TC (requested) 36575460	l3f l3m	l3m l3f	Metabolic	TC	BIN	0	NA	1.093	0.0201	0.0606	0.0131	0.1013	0.0109	9.29357798165138	7.45935054220326e-21	0.1013	NA	0.0109	7.45935054220326e-21	0.999999999999729	0.995695362691571	0.45029543203311	0.150587230727611	723018	SNPh2 0.05	SNPh2 0.05	SNPh2 0.05
l4f	l4	logTG (requested)	logTG	617211	NA	NA	female	requested	logTG	logTG (requested) [female]	36575460	logTG (requested) 36575460	l4f l4m	l4m l4f	Metabolic	logTG	BIN	0	NA	1.0849	0.0204	0.0543	0.013	0.1276	0.0124	10.2903225806452	3.89574529457503e-25	0.1276	NA	0.0124	3.89574529457503e-25	0.999999999484553	0.980880988943873	0.364449383566932	0.127183883984042	617211	SNPh2 0.05	SNPh2 0.05	SNPh2 0.05
l4m	l4	logTG (requested)	logTG	723018	NA	NA	male	requested	logTG	logTG (requested) [male]	36575460	logTG (requested) 36575460	l4f l4m	l4m l4f	Metabolic	logTG	BIN	0	NA	1.0512	0.0222	0.0319	0.0138	0.1116	0.0115	9.70434782608696	1.44459019017755e-22	0.1116	NA	0.0115	1.44459019017755e-22	0.999999999991842	0.991526650572126	0.412719204791799	0.14009958963016	723018	SNPh2 0.05	SNPh2 0.05	SNPh2 0.05
l5f	l5	nonHDL (requested)	nonHDL	617211	NA	NA	female	requested	nonHDL	nonHDL (requested) [female]	36575460	nonHDL (requested) 36575460	l5f l5m	l5m l5f	Metabolic	nonHDL	BIN	0	NA	1.0859	0.0192	0.0688	0.0154	0.1242	0.0148	8.39189189189189	2.39190354438925e-17	0.1242	NA	0.0148	2.39190354438925e-17	0.999999193868785	0.921965139055386	0.271854906912283	0.103719490940952	617211	SNPh2 0.05	SNPh2 0.05	SNPh2 0.05
l5m	l5	nonHDL (requested)	nonHDL	723018	NA	NA	male	requested	nonHDL	nonHDL (requested) [male]	36575460	nonHDL (requested) 36575460	l5f l5m	l5m l5f	Metabolic	nonHDL	BIN	0	NA	1.0685	0.0157	0.0738	0.0169	0.1092	0.0149	7.32885906040269	1.16060167525108e-13	0.1092	NA	0.0149	1.16060167525108e-13	0.999998990161563	0.918603758471354	0.268872024843419	0.102985194025493	723018	SNPh2 0.05	SNPh2 0.05	SNPh2 0.05
r10f	r10	Major Depression (requested)	Major Depression	41937	19723	22214	female	requested	Major Depression	Major Depression (requested) [female]	31206164	Major Depression (requested) 31206164	r10f r10m	r10m r10f	Disease	Major Depression	QT	0.0447432619422661	0.529699310871068	0.9688	0.0091	NA		0.1267	0.0172	7.36627906976744	8.77281675766601e-14	0.104369243075427	0.000200746846469184	0.0141685160291819	1.7545633515332e-13	0.999941895710384	0.828184428149215	0.21357103408227	0.0895350146502547	10447.2595083101	SNPh2 0.2	none	none
r10m	r10	Major Depression (requested)	Major Depression	28993	18799	10194	male	requested	Major Depression	Major Depression (requested) [male]	31206164	Major Depression (requested) 31206164	r10f r10m	r10m r10f	Disease	Major Depression	QT	0.024459076410534	0.351602110854344	1.0006	0.0084	0.0161	0.2121	0.0637	0.0188	3.38829787234043	0.000351639212908696	0.0483126254474761	0.000203309705720467	0.0142586712466649	0.000703278425817394	0.99960913635293	0.757916626124697	0.186338680045201	0.0829923326517387	6609.76808195082	SNPh2 0.2	none	none
r4f	r4	PTSD (requested)	PTSD	79846	NA	NA	female	requested	PTSD	PTSD (requested) [female]	31594949	PTSD (requested) 31594949	r4f r4m	r4m r4f	Disease	PTSD	BIN	0	NA	0.9992	0.0061	NA		0.0739	0.0068	10.8676470588235	8.21928094283134e-28	0.0739	NA	0.0068	8.21928094283134e-28	1	0.999999965350124	0.836756492351148	0.312589027836027	79846	SNPh2 0.05	SNPh2 0.1	SNPh2 0.1
r4m	r4	PTSD (requested)	PTSD	87532	NA	NA	male	requested	PTSD	PTSD (requested) [male]	31594949	PTSD (requested) 31594949	r4f r4m	r4m r4f	Disease	PTSD	BIN	0	NA	1.0186	0.0065	0.213	0.0741	0.0401	0.006	6.68333333333333	1.16783734303695e-11	0.0401	NA	0.006	1.16783734303695e-11	1	0.99999999990754	0.915181283301826	0.384791023571345	87532	SNPh2 0.05	SNPh2 0.1	SNPh2 0.1
r5f	r5	Schizophrenia (requested)	Schizophrenia	54663	36903	17760	female	requested	Schizophrenia	Schizophrenia (requested) [female]	35396580	Schizophrenia (requested) 35396580	r5f r5m	r5m r5f	Disease	Schizophrenia	QT	0.0029991052080074	0.324899840842983	1.06	0.0099	0.1522	0.0251	0.2987	0.0166	17.9939759036145	1.08600054923171e-72	0.145532525270224	6.54132702102006e-05	0.0080878470689177	2.17200109846335e-72	0.999975894272675	0.853619872957479	0.225857072868463	0.0925005396337068	11989.7788266286	SNPh2 0.2	none	none
r5m	r5	Schizophrenia (requested)	Schizophrenia	68287	35190	33097	male	requested	Schizophrenia	Schizophrenia (requested) [male]	35396580	Schizophrenia (requested) 35396580	r5f r5m	r5m r5f	Disease	Schizophrenia	QT	0.0031405208556098	0.484674974738969	1.0143	0.0108	0.0241	0.0182	0.4147	0.016	25.91875	2.0470602182306e-148	0.179019613916151	4.77060135200891e-05	0.0069069539972472	4.09412043646138e-148	0.999991067792745	0.877997976501035	0.2395269932185	0.0958135256344411	17055.7123610643	SNPh2 0.1	SNPh2 0.2	none
