sid	id	Trait	uniqTrait	N	Ncontrol	Ncase	sex	source	uniqTrait_	sTrait	PMID	uniqValue	pair	pair_m_f	TYPE	trait_name_clean	type	PPREV	SPREV	Intercept	Intercept_SE	Ratio	Ratio_SE	H2	H2_SE	H2_Z	H2_P	H2L	H2L_VAR	H2L_SE	H2L_P	H2_power_diff0.1	H2_power_diff0.05	H2_power_diff0.02	H2_power_diff0.01	neff	neff_power_univ_cat	neff_power_biv_cat	neff_power_part_cat
154f	154	Waist-hip ratio (<= 50 yrs, adjusted for BMI) (atlas)	Waist-hip ratio	41386	NA	NA	female	atlas	Waist-hip ratio	Waist-hip ratio (<= 50 yrs, adjusted for BMI) (atlas) [female]	26426971	Waist-hip ratio (<= 50 yrs, adjusted for BMI) (atlas) 26426971	152m 154f	152m 154f	Antropometric	Waist-hip ratio (<= 50 yrs, adjBMI)	BIN	0	NA	0.9596	0.0072	NA		0.1123	0.0149	7.53691275167785	2.40614030567881e-14	0.1123	NA	0.0149	2.40614030567881e-14	0.999998990161563	0.918603758471354	0.268872024843419	0.102985194025493	41386	SNPh2 0.05	SNPh2 0.1	SNPh2 0.2
157m	157	Hip circumference  (atlas)	Hip circumference	94790	NA	NA	male	atlas	Hip circumference	Hip circumference  (atlas) [male]	25673412	Hip circumference  (atlas) 25673412	157m 159f	157m 159f	Antropometric	Hip circumference	BIN	0	NA	0.8851	0.0078	NA		0.1773	0.0132	13.4318181818182	1.96813428839862e-41	0.1773	NA	0.0132	1.96813428839862e-41	0.999999990216894	0.966218835019012	0.328482957898253	0.117895037008802	94790	SNPh2 0.05	SNPh2 0.05	SNPh2 0.1
159f	159	Hip circumference  (atlas)	Hip circumference	118528	NA	NA	female	atlas	Hip circumference	Hip circumference  (atlas) [female]	25673412	Hip circumference  (atlas) 25673412	157m 159f	157m 159f	Antropometric	Hip circumference	BIN	0	NA	0.8272	0.0072	NA		0.1674	0.0088	19.0227272727273	5.52895310183658e-81	0.1674	NA	0.0088	5.52895310183658e-81	1	0.999901117394382	0.622781291164465	0.206063007770077	118528	SNPh2 0.05	SNPh2 0.05	SNPh2 0.1
163m	163	Hip circumference (adjusted for BMI) (atlas)	Hip circumference	93965	NA	NA	male	atlas	Hip circumference	Hip circumference (adjusted for BMI) (atlas) [male]	25673412	Hip circumference (adjusted for BMI) (atlas) 25673412	163m 165f	163m 165f	Antropometric	Hip circumference (adjBMI)	BIN	0	NA	0.8779	0.0087	NA		0.1944	0.0147	13.2244897959184	3.16828729213983e-40	0.1944	NA	0.0147	3.16828729213983e-40	0.999999359751076	0.925263700476668	0.27489576795305	0.104469175985197	93965	SNPh2 0.05	SNPh2 0.05	SNPh2 0.1
165f	165	Hip circumference (adjusted for BMI) (atlas)	Hip circumference	117340	NA	NA	female	atlas	Hip circumference	Hip circumference (adjusted for BMI) (atlas) [female]	25673412	Hip circumference (adjusted for BMI) (atlas) 25673412	163m 165f	163m 165f	Antropometric	Hip circumference (adjBMI)	BIN	0	NA	0.8715	0.0074	NA		0.148	0.01	14.8	7.32413111982728e-50	0.148	NA	0.01	7.32413111982728e-50	1	0.998817250703504	0.516005273976175	0.170075045753087	117340	SNPh2 0.05	SNPh2 0.05	SNPh2 0.1
169m	169	Waist circumference  (atlas)	Waist circumference	104406	NA	NA	male	atlas	Waist circumference	Waist circumference  (atlas) [male]	25673412	Waist circumference  (atlas) 25673412	169m 171f	169m 171f	Antropometric	Waist circumference	BIN	0	NA	0.8722	0.0069	NA		0.1675	0.0126	13.2936507936508	1.2598872173499e-40	0.1675	NA	0.0126	1.2598872173499e-40	0.999999998860395	0.977693758708624	0.354894489132348	0.124690975875049	104406	SNPh2 0.05	SNPh2 0.05	SNPh2 0.1
171f	171	Waist circumference  (atlas)	Waist circumference	127998	NA	NA	female	atlas	Waist circumference	Waist circumference  (atlas) [female]	25673412	Waist circumference  (atlas) 25673412	169m 171f	169m 171f	Antropometric	Waist circumference	BIN	0	NA	0.8208	0.0066	NA		0.1529	0.008	19.1125	9.93584887276029e-82	0.1529	NA	0.008	9.93584887276029e-82	1	0.999991067792745	0.7054180011138	0.2395269932185	127998	SNPh2 0.05	SNPh2 0.05	SNPh2 0.1
175m	175	Waist circumference (adjusted for BMI) (atlas)	Waist circumference	104079	NA	NA	male	atlas	Waist circumference	Waist circumference (adjusted for BMI) (atlas) [male]	25673412	Waist circumference (adjusted for BMI) (atlas) 25673412	175m 177f	175m 177f	Antropometric	Waist circumference (adjBMI)	BIN	0	NA	0.881	0.0076	NA		0.1709	0.0111	15.3963963963964	8.65240280777599e-54	0.1709	NA	0.0111	8.65240280777599e-54	0.999999999999099	0.994528919269266	0.437248860212601	0.146897960846186	104079	SNPh2 0.05	SNPh2 0.05	SNPh2 0.1
177f	177	Waist circumference (adjusted for BMI) (atlas)	Waist circumference	127470	NA	NA	female	atlas	Waist circumference	Waist circumference (adjusted for BMI) (atlas) [female]	25673412	Waist circumference (adjusted for BMI) (atlas) 25673412	175m 177f	175m 177f	Antropometric	Waist circumference (adjBMI)	BIN	0	NA	0.8972	0.0073	NA		0.1097	0.0084	13.0595238095238	2.80387274018091e-39	0.1097	NA	0.0084	2.80387274018091e-39	1	0.999967298381298	0.66312531696949	0.221617017094554	127470	SNPh2 0.05	SNPh2 0.05	SNPh2 0.1
181m	181	Waist-hip ratio  (atlas)	Waist-hip ratio	94434	NA	NA	male	atlas	Waist-hip ratio	Waist-hip ratio  (atlas) [male]	25673412	Waist-hip ratio  (atlas) 25673412	181m 183f	181m 183f	Antropometric	Waist-hip ratio	BIN	0	NA	0.8962	0.0072	NA		0.1351	0.0103	13.1165048543689	1.32435900534729e-39	0.1351	NA	0.0103	1.32435900534729e-39	0.999999999999995	0.998100610486032	0.492780862539233	0.162999752782949	94434	SNPh2 0.05	SNPh2 0.05	SNPh2 0.1
183f	183	Waist-hip ratio  (atlas)	Waist-hip ratio	118004	NA	NA	female	atlas	Waist-hip ratio	Waist-hip ratio  (atlas) [female]	25673412	Waist-hip ratio  (atlas) 25673412	181m 183f	181m 183f	Antropometric	Waist-hip ratio	BIN	0	NA	0.8946	0.0073	NA		0.1115	0.0089	12.5280898876404	2.62048780002844e-36	0.1115	NA	0.0089	2.62048780002844e-36	1	0.99987291119075	0.613043683552238	0.202496520917327	118004	SNPh2 0.05	SNPh2 0.05	SNPh2 0.1
