Trait	Intercept	Intercept_SE	GC	GC_SE	PValue
152m	a9m	1.0075	0.0091	0.094	0.0783	0.2302
152m	ADr1um	0.985	0.0246	-0.2187	0.2183	0.3166
152m	bm1m	1.0078	0.0071	-0.1641	0.1346	0.2228
152m	bm2m	0.9967	0.0085	0.1291	0.142	0.3634
152m	bm4m	0.9952	0.0077	0.0643	0.148	0.6638
152m	bm5m	1.0055	0.0075	-0.0367	0.0925	0.692
152m	bm6m	0.9952	0.0087	0.0781	0.0905	0.3879
152m	bm7m	1.0032	0.008	0.0385	0.0973	0.6927
152m	bm8m	1.0106	0.0072	-0.0856	0.1295	0.5085
152m	ch1m	1.	0.0074	0.1563	0.1465	0.286
152m	ch4m	0.9973	0.0072	-0.0946	0.1469	0.5194
152m	ch5m	1.0012	0.0068	-0.2084	0.1766	0.238
152m	ch6m	0.9866	0.0071	0.126	0.1327	0.3424
152m	l1m	1.0891	0.039	-0.2138	0.0452	2.2790e-06
152m	l2m	1.0569	0.031	0.0576	0.0597	0.3354
152m	l3m	1.1042	0.0355	0.0798	0.0489	0.1028
152m	l4m	1.0698	0.0376	0.289	0.0476	1.2434e-09
152m	l5m	1.0693	0.0272	0.1554	0.054	0.004
152m	r10m	0.9965	0.0083	0.0603	0.1589	0.7045
152m	r4m	1.0137	0.0074	0.1289	0.0972	0.1849
152m	r5m	1.0043	0.0123	-0.076	0.0501	0.1292
152m	r8m	1.0055	0.008	-0.0225	0.0708	0.7504
152m	r9m	0.9968	0.0067	-0.1209	0.1337	0.3658
153f	153f	0.9334	0.0086	1.0	1.4276e-05	0.0
153f	154f	0.9577	0.0074	1.0633	0.0809	1.9655e-39
153f	159f	0.8223	0.0082	-0.2042	0.0458	8.1211e-06
153f	165f	0.864	0.0089	-0.3681	0.0467	3.1644e-15
153f	171f	0.8161	0.0081	0.2798	0.0374	7.5120e-14
153f	177f	0.8909	0.0086	0.7287	0.0312	1.2522e-120
153f	183f	0.8916	0.0093	0.8825	0.0198	0.0
153f	189f	0.9143	0.0098	1.0136	0.0164	0.0
153f	4213f	0.9994	0.0106	-0.0064	0.103	0.9506
153f	4371f	1.0273	0.0096	-0.0604	0.1038	0.5608
153f	4374f	1.018	0.0078	-0.194	0.0899	0.031
153f	48f	0.9751	0.0087	-0.1258	0.0498	0.0115
153f	51f	0.9822	0.0072	0.047	0.0699	0.5015
153f	96f	0.957	0.0077	0.022	0.0686	0.749
153f	99f	0.9849	0.0066	0.0211	0.0899	0.8147
153f	a13f	0.9871	0.0096	0.234	0.0582	5.7590e-05
153f	a1f	1.0144	0.0089	0.0216	0.0498	0.665
153f	a21f	0.9789	0.0089	-0.014	0.0607	0.8177
153f	a22f	1.0193	0.0089	0.0802	0.0431	0.0631
153f	a27f	1.0266	0.0352	0.0731	0.0571	0.2009
153f	a28f	1.0176	0.0095	0.4965	0.1184	2.7624e-05
153f	a29f	1.0219	0.0098	0.0319	0.0424	0.4517
153f	a30f	0.9536	0.0099	-0.1095	0.0397	0.0059
153f	a7f	0.953	0.0086	-0.0379	0.0642	0.5547
153f	a8f	1.0449	0.0133	0.3726	0.0452	1.6261e-16
153f	a9f	1.0529	0.0086	0.1339	0.0856	0.1178
153f	ADr1uf	1.001	0.0238	0.0348	0.1774	0.8446
153f	bm1f	1.0055	0.0076	0.0154	0.111	0.8895
153f	bm2f	0.9915	0.0074	0.0151	0.0801	0.8502
153f	bm4f	1.0057	0.0078	-0.1281	0.0987	0.1943
153f	bm5f	1.0025	0.009	0.0718	0.0651	0.2702
153f	bm6f	1.0021	0.0096	0.0478	0.061	0.4341
153f	bm7f	1.	0.0094	0.0227	0.0589	0.7004
153f	bm8f	0.9967	0.0079	-0.1101	0.0765	0.1502
153f	ch1f	0.9964	0.0069	-0.1293	0.0894	0.148
153f	ch4f	0.9996	0.0067	0.0898	0.1279	0.4823
153f	ch5f	0.9943	0.0072	0.0204	0.1059	0.8473
153f	ch6f	1.0005	0.0072	-0.1905	0.1071	0.0754
153f	l1f	1.1141	0.0367	-0.3518	0.0334	7.0078e-26
153f	l2f	1.0874	0.0311	0.2464	0.0417	3.5049e-09
153f	l3f	1.1312	0.0368	0.1872	0.0404	3.5689e-06
153f	l4f	1.0949	0.0344	0.4315	0.0348	2.8689e-35
153f	l5f	1.1038	0.0317	0.3176	0.0398	1.5481e-15
153f	r10f	0.9654	0.0085	-0.0221	0.0775	0.7751
153f	r4f	0.9954	0.007	0.0738	0.0566	0.1925
153f	r5f	1.051	0.01	-0.0759	0.0479	0.1134
153f	r8f	0.9992	0.0084	0.053	0.0533	0.3203
153f	r9f	1.0106	0.0076	0.1054	0.0819	0.198
154f	154f	0.9576	0.0076	1.0	3.8690e-06	0.0
154f	159f	0.8218	0.0083	-0.3578	0.0581	7.5043e-10
154f	165f	0.864	0.0089	-0.4011	0.0587	8.1714e-12
154f	171f	0.8163	0.0082	0.2078	0.0547	0.0001
154f	177f	0.8906	0.0086	0.8398	0.0486	8.7015e-67
154f	183f	0.8913	0.0093	0.915	0.0459	1.8493e-88
154f	189f	0.9143	0.0098	1.1388	0.0441	3.2765e-147
154f	4213f	0.9994	0.0105	-0.0223	0.13	0.864
154f	4371f	1.0273	0.0096	0.1516	0.1194	0.2042
154f	4374f	1.0179	0.0078	-0.2138	0.1048	0.0413
154f	48f	0.9751	0.0087	-0.2339	0.0631	0.0002
154f	51f	0.9822	0.0072	0.1168	0.0902	0.1952
154f	96f	0.957	0.0077	-0.0893	0.089	0.316
154f	99f	0.9849	0.0065	0.0131	0.1315	0.921
154f	a13f	0.987	0.0097	0.2944	0.0732	5.7197e-05
154f	a1f	1.0144	0.0089	0.1807	0.0629	0.0041
154f	a21f	0.9791	0.0089	-0.0049	0.065	0.9403
154f	a22f	1.0194	0.0089	0.1203	0.0567	0.0339
154f	a27f	1.0262	0.0352	0.0542	0.0785	0.4903
154f	a28f	1.0171	0.0095	0.3255	0.1507	0.0308
154f	a29f	1.0218	0.0097	0.0846	0.0509	0.0965
154f	a30f	0.9536	0.0099	-0.1864	0.0497	0.0002
154f	a7f	0.953	0.0086	0.055	0.0905	0.5433
154f	a8f	1.0447	0.0132	0.3111	0.0564	3.4220e-08
154f	a9f	1.053	0.0086	0.274	0.1208	0.0234
154f	ADr1uf	1.0009	0.0238	0.2783	0.2711	0.3046
154f	bm1f	1.0055	0.0076	-0.056	0.1589	0.7243
154f	bm2f	0.9915	0.0074	0.2565	0.0929	0.0058
154f	bm4f	1.0058	0.0078	-0.1394	0.1251	0.2651
154f	bm5f	1.0026	0.0091	0.0569	0.075	0.448
154f	bm6f	1.0021	0.0096	0.0654	0.0827	0.4291
154f	bm7f	1.	0.0093	0.0931	0.0799	0.244
154f	bm8f	0.9968	0.0079	-0.1797	0.0873	0.0396
154f	ch1f	0.9963	0.0069	-0.0581	0.1129	0.6064
154f	ch4f	0.9997	0.0067	-0.3844	0.1812	0.0339
154f	ch5f	0.9943	0.0072	-0.113	0.1256	0.3685
154f	ch6f	1.0006	0.0072	-0.1113	0.1349	0.4092
154f	l1f	1.1136	0.0366	-0.3671	0.0456	8.2278e-16
154f	l2f	1.0879	0.0311	0.1965	0.0496	7.4908e-05
154f	l3f	1.1317	0.0368	0.1275	0.0456	0.0052
154f	l4f	1.0943	0.0344	0.4695	0.0507	2.1000e-20
154f	l5f	1.1034	0.0317	0.2724	0.0514	1.1682e-07
154f	r10f	0.9653	0.0085	0.2605	0.0944	0.0058
154f	r4f	0.9954	0.0071	0.1854	0.0781	0.0176
154f	r5f	1.0511	0.01	-0.0253	0.0576	0.6601
154f	r8f	0.9991	0.0085	0.0769	0.0658	0.2429
154f	r9f	1.0107	0.0077	0.1078	0.1026	0.2936
157m	157m	0.8747	0.0084	0.9999	4.9836e-05	0.0
157m	159f	0.8227	0.0088	0.8869	0.0324	2.2401e-165
157m	163m	0.8684	0.0091	0.5998	0.0315	9.4203e-81
157m	169m	0.8629	0.0082	0.8654	0.0132	0.0
157m	175m	0.8777	0.009	0.3289	0.0434	3.3071e-14
157m	181m	0.8924	0.0075	0.3185	0.0482	3.9941e-11
157m	187m	0.9044	0.0079	-0.2853	0.051	2.2765e-08
157m	4212m	1.0014	0.011	-0.0389	0.0713	0.5855
157m	4370m	1.0237	0.0117	-0.0132	0.0945	0.8891
157m	4373m	1.	0.0086	-0.1288	0.0631	0.0412
157m	49m	0.9433	0.0081	-0.174	0.0505	0.0006
157m	52m	0.9736	0.0075	0.1533	0.0688	0.0259
157m	97m	0.9776	0.0086	0.6941	0.0905	1.6870e-14
157m	a13m	1.0091	0.0149	0.0803	0.0468	0.0861
157m	a1m	0.9966	0.0092	0.0401	0.0502	0.4245
157m	a21m	1.0158	0.0088	-0.1504	0.0679	0.0267
157m	a22m	1.0164	0.0089	0.1698	0.0446	0.0001
157m	a27m	1.0231	0.0302	0.0765	0.063	0.2245
157m	a28m	1.013	0.0234	0.331	0.1089	0.0024
157m	a29m	1.0233	0.0098	0.179	0.0398	6.9296e-06
157m	a30m	0.9619	0.0106	-0.0915	0.0352	0.0092
157m	a7m	0.9649	0.0092	-0.0439	0.056	0.4334
157m	a8m	1.0489	0.0188	0.3311	0.0409	5.5076e-16
157m	a9m	1.0104	0.0096	0.1033	0.0536	0.0539
157m	ADr1um	0.9808	0.0194	-0.2409	0.1341	0.0723
157m	bm1m	1.0104	0.0078	0.014	0.0901	0.8765
157m	bm2m	0.9939	0.0095	0.0182	0.0704	0.7957
157m	bm4m	0.9922	0.0079	0.2406	0.0968	0.0129
157m	bm5m	1.0061	0.0082	0.0588	0.0606	0.3314
157m	bm6m	0.9974	0.0089	0.0879	0.0549	0.1094
157m	bm7m	1.0061	0.0086	0.1116	0.0573	0.0515
157m	bm8m	1.0114	0.0077	0.029	0.0844	0.7313
157m	ch1m	0.9978	0.0083	-0.0377	0.092	0.6817
157m	ch4m	1.	0.0075	-0.0316	0.0893	0.7232
157m	ch5m	1.002	0.0072	-0.0572	0.1176	0.627
157m	ch6m	0.9864	0.0079	0.0936	0.0866	0.2801
157m	l1m	1.1201	0.0449	-0.3382	0.0323	1.1204e-25
157m	l2m	1.0661	0.0352	-0.1518	0.0356	2.0295e-05
157m	l3m	1.1209	0.0419	-0.2025	0.0347	5.3962e-09
157m	l4m	1.0918	0.0427	0.1636	0.0362	6.1881e-06
157m	l5m	1.0783	0.0306	-0.0676	0.0397	0.0887
157m	r10m	0.9918	0.0087	-0.0724	0.093	0.4362
157m	r4m	1.0165	0.0081	0.0605	0.0722	0.4023
157m	r5m	1.0084	0.0135	-0.0705	0.0347	0.0421
157m	r8m	1.0083	0.0089	0.0263	0.043	0.541
157m	r9m	0.9982	0.0073	0.2222	0.0793	0.0051
159f	159f	0.8202	0.0077	1.0	1.2574e-06	0.0
159f	165f	0.8625	0.0079	0.5176	0.0249	5.3335e-96
159f	171f	0.8153	0.0069	0.86	0.0154	0.0
159f	177f	0.8902	0.0081	0.1208	0.0355	0.0007
159f	183f	0.8895	0.0082	0.2259	0.0494	4.7643e-06
159f	189f	0.9091	0.0087	-0.2624	0.0379	4.4957e-12
159f	4213f	0.9997	0.0096	-0.043	0.0754	0.5689
159f	4371f	1.025	0.0089	-0.0147	0.0714	0.8368
159f	4374f	1.0165	0.0077	0.0241	0.0598	0.6867
159f	48f	0.9731	0.0079	-0.1564	0.0349	7.5485e-06
159f	51f	0.9767	0.0066	-0.0121	0.043	0.7786
159f	96f	0.9586	0.0076	0.4018	0.0589	8.6355e-12
159f	99f	0.9841	0.0066	-0.2397	0.0708	0.0007
159f	a13f	0.9901	0.0089	0.1823	0.0426	1.8523e-05
159f	a1f	1.0102	0.0085	0.0779	0.0327	0.0173
159f	a21f	0.9829	0.0081	0.0158	0.0393	0.6884
159f	a22f	1.0228	0.008	0.2611	0.0319	2.9765e-16
159f	a27f	1.0253	0.0351	0.0961	0.0553	0.0821
159f	a28f	1.0171	0.0096	0.395	0.0856	3.9707e-06
159f	a29f	1.0212	0.0089	0.269	0.0278	3.9930e-22
159f	a30f	0.9515	0.0092	-0.1552	0.0281	3.3908e-08
159f	a7f	0.9538	0.0082	-0.094	0.0504	0.062
159f	a8f	1.0505	0.013	0.3986	0.0398	1.1572e-23
159f	a9f	1.0566	0.0086	0.2059	0.069	0.0028
159f	ADr1uf	1.007	0.0308	-0.3037	0.2934	0.3007
159f	bm1f	1.0076	0.0069	0.0849	0.082	0.3004
159f	bm2f	0.9926	0.0075	-0.1055	0.0552	0.0557
159f	bm4f	1.0059	0.0074	0.0575	0.0781	0.4619
159f	bm5f	1.0023	0.0079	-0.0632	0.0471	0.1799
159f	bm6f	1.004	0.0091	-0.0106	0.0531	0.8413
159f	bm7f	1.0033	0.009	0.0003	0.0506	0.9947
159f	bm8f	0.9991	0.0075	0.0063	0.0564	0.9116
159f	ch1f	0.9993	0.0068	-0.0947	0.0622	0.1277
159f	ch4f	0.999	0.0066	-0.0949	0.0832	0.2537
159f	ch5f	0.9938	0.007	-0.0883	0.0707	0.2119
159f	ch6f	1.0021	0.0072	-0.1538	0.0772	0.0462
159f	l1f	1.1096	0.0349	-0.3209	0.0327	1.0902e-22
159f	l2f	1.0796	0.029	0.0489	0.0274	0.0741
159f	l3f	1.1203	0.0338	-0.0453	0.0241	0.0606
159f	l4f	1.0865	0.0313	0.2152	0.034	2.3096e-10
159f	l5f	1.0945	0.0295	0.0907	0.0318	0.0044
159f	r10f	0.9645	0.0083	0.0555	0.0525	0.2902
159f	r4f	0.9972	0.0069	0.103	0.0424	0.0151
159f	r5f	1.0529	0.0098	-0.0266	0.0323	0.4105
159f	r8f	0.9976	0.0076	0.004	0.0375	0.914
159f	r9f	1.0096	0.0072	0.1069	0.0584	0.067
163m	163m	0.8682	0.0094	0.9998	6.9619e-05	0.0
163m	165f	0.8716	0.0097	0.9175	0.0326	1.9095e-174
163m	169m	0.8617	0.0094	0.2658	0.0416	1.6622e-10
163m	175m	0.8763	0.0091	0.6185	0.03	2.1471e-94
163m	181m	0.8919	0.0078	-0.2906	0.0427	1.0152e-11
163m	187m	0.9049	0.0076	-0.3398	0.0449	3.6277e-14
163m	4212m	1.0012	0.0105	0.0145	0.0794	0.8553
163m	4370m	1.0249	0.0125	0.0611	0.0879	0.4872
163m	4373m	0.9997	0.0085	-0.0292	0.0561	0.6024
163m	49m	0.9434	0.0088	0.2288	0.0519	1.0405e-05
163m	52m	0.9739	0.0076	0.0334	0.0603	0.5797
163m	97m	0.9774	0.0089	0.6921	0.0818	2.6098e-17
163m	a13m	1.0094	0.0147	-0.2352	0.0398	3.2838e-09
163m	a1m	0.9968	0.0094	-0.0807	0.0453	0.0752
163m	a21m	1.0165	0.0089	-0.3015	0.0666	6.0671e-06
163m	a22m	1.018	0.0093	-0.1021	0.0455	0.025
163m	a27m	1.0231	0.0306	-0.0331	0.0607	0.586
163m	a28m	1.0126	0.0244	0.0049	0.0807	0.9511
163m	a29m	1.0206	0.0105	-0.0747	0.0425	0.0787
163m	a30m	0.9635	0.0107	0.1933	0.0322	2.0249e-09
163m	a7m	0.9654	0.0099	-0.0884	0.054	0.1015
163m	a8m	1.0537	0.0188	-0.1149	0.037	0.0019
163m	a9m	1.0106	0.01	-0.1148	0.0551	0.0371
163m	ADr1um	0.9811	0.0205	-0.1931	0.1334	0.1478
163m	bm1m	1.0114	0.0075	0.0297	0.0884	0.7372
163m	bm2m	0.9947	0.009	-0.0576	0.0753	0.4446
163m	bm4m	0.9922	0.008	0.0038	0.0849	0.9648
163m	bm5m	1.0077	0.0088	-0.1203	0.0587	0.0403
163m	bm6m	0.9977	0.0099	-0.1004	0.0569	0.0775
163m	bm7m	1.0052	0.0094	-0.07	0.0611	0.2523
163m	bm8m	1.0127	0.0082	0.0885	0.0868	0.3077
163m	ch1m	0.9984	0.0079	0.1059	0.0883	0.2302
163m	ch4m	1.0017	0.0075	0.1619	0.0943	0.0861
163m	ch5m	1.0035	0.0073	0.1498	0.1052	0.1545
163m	ch6m	0.9856	0.0082	0.2675	0.0921	0.0037
163m	l1m	1.1266	0.0453	0.0364	0.0307	0.2364
163m	l2m	1.0686	0.0356	-0.1622	0.0307	1.3235e-07
163m	l3m	1.1239	0.0426	-0.1865	0.031	1.8690e-09
163m	l4m	1.0973	0.0455	-0.1474	0.0321	4.4314e-06
163m	l5m	1.0809	0.0325	-0.2178	0.0339	1.4143e-10
163m	r10m	0.9908	0.0087	-0.1153	0.0904	0.2022
163m	r4m	1.0174	0.0079	-0.1144	0.0708	0.1062
163m	r5m	1.0096	0.0134	-0.0717	0.0318	0.0242
163m	r8m	1.0081	0.0087	-0.16	0.0388	3.7021e-05
163m	r9m	0.9989	0.0074	0.0525	0.0789	0.5059
165f	165f	0.8633	0.008	1.0	7.6289e-07	0.0
165f	171f	0.8157	0.0069	0.2055	0.0304	1.3249e-11
165f	177f	0.8915	0.008	0.3465	0.0465	9.4325e-14
165f	183f	0.8897	0.0079	-0.3306	0.0382	4.6682e-18
165f	189f	0.909	0.0086	-0.3898	0.0399	1.6535e-22
165f	4213f	1.0001	0.0097	0.0717	0.0741	0.3335
165f	4371f	1.0246	0.0089	-0.0274	0.0687	0.6895
165f	4374f	1.017	0.0077	0.0648	0.0651	0.3199
165f	48f	0.9724	0.0078	0.1451	0.0374	0.0001
165f	51f	0.9767	0.0065	-0.0917	0.0525	0.0809
165f	96f	0.9583	0.0075	0.5142	0.0651	2.7374e-15
165f	99f	0.9834	0.0067	0.337	0.0766	1.0822e-05
165f	a13f	0.989	0.0087	-0.1095	0.0462	0.0178
165f	a1f	1.0101	0.0084	-0.0995	0.0359	0.0056
165f	a21f	0.9844	0.0078	-0.1797	0.0412	1.2835e-05
165f	a22f	1.0239	0.0081	-0.0442	0.0316	0.1616
165f	a27f	1.0257	0.0355	-0.0306	0.0476	0.5206
165f	a28f	1.0179	0.0095	-0.0772	0.0831	0.3528
165f	a29f	1.0204	0.009	0.0214	0.0332	0.5185
165f	a30f	0.9525	0.009	0.1692	0.0292	6.8682e-09
165f	a7f	0.9536	0.0082	0.0109	0.0545	0.8415
165f	a8f	1.051	0.013	-0.1132	0.0323	0.0005
165f	a9f	1.0565	0.0087	-0.0332	0.0661	0.6155
165f	ADr1uf	1.008	0.0309	-0.0511	0.1848	0.7821
165f	bm1f	1.0078	0.0071	0.0445	0.0852	0.6016
165f	bm2f	0.9927	0.0074	-0.0294	0.0549	0.5918
165f	bm4f	1.0065	0.0074	-0.0416	0.0751	0.5794
165f	bm5f	1.002	0.0079	-0.104	0.0497	0.0365
165f	bm6f	1.0034	0.0092	-0.0622	0.0523	0.2344
165f	bm7f	1.0027	0.0091	-0.0627	0.0509	0.2181
165f	bm8f	0.9991	0.0076	0.0588	0.0576	0.3073
165f	ch1f	0.9993	0.0068	0.0347	0.0651	0.5943
165f	ch4f	0.9981	0.0065	-0.024	0.0885	0.7859
165f	ch5f	0.9942	0.0068	0.0849	0.0737	0.2492
165f	ch6f	1.0017	0.0071	0.127	0.0772	0.1
165f	l1f	1.1109	0.0347	0.1126	0.0273	3.7676e-05
165f	l2f	1.0805	0.0293	-0.1619	0.028	7.2584e-09
165f	l3f	1.1206	0.0343	-0.1473	0.0256	8.1767e-09
165f	l4f	1.0893	0.0314	-0.201	0.0283	1.2778e-12
165f	l5f	1.0953	0.0298	-0.2006	0.0276	3.3074e-13
165f	r10f	0.9646	0.0083	-0.0549	0.0515	0.2868
165f	r4f	0.9968	0.0068	-0.1244	0.0481	0.0096
165f	r5f	1.053	0.0098	0.0328	0.0328	0.3183
165f	r8f	0.9979	0.0075	-0.0337	0.038	0.3745
165f	r9f	1.0095	0.0073	0.0252	0.0602	0.6757
169m	169m	0.8614	0.0077	1.0	2.0185e-05	0.0
169m	171f	0.8144	0.008	0.9052	0.0304	5.7436e-195
169m	175m	0.8735	0.0079	0.4084	0.036	7.5154e-30
169m	181m	0.8918	0.0075	0.7383	0.0255	8.7761e-184
169m	187m	0.9042	0.0075	0.1583	0.0517	0.0022
169m	4212m	1.0032	0.0102	-0.1167	0.0741	0.1152
169m	4370m	1.0238	0.0108	-0.1517	0.0841	0.0712
169m	4373m	0.9979	0.0083	-0.0206	0.059	0.7265
169m	49m	0.9456	0.0077	-0.2997	0.0478	3.7582e-10
169m	52m	0.9758	0.0072	0.1706	0.0669	0.0108
169m	97m	0.9786	0.008	0.5717	0.0918	4.6519e-10
169m	a13m	1.0084	0.0141	0.23	0.0435	1.2655e-07
169m	a1m	0.9967	0.0093	0.0507	0.0491	0.3021
169m	a21m	1.018	0.0086	-0.0092	0.0641	0.8855
169m	a22m	1.0144	0.0087	0.235	0.0399	3.8139e-09
169m	a27m	1.0231	0.0302	0.1124	0.0587	0.0555
169m	a28m	1.0129	0.0234	0.4195	0.1248	0.0008
169m	a29m	1.0222	0.0094	0.2859	0.0384	9.6362e-14
169m	a30m	0.9581	0.0092	-0.2626	0.0333	3.0153e-15
169m	a7m	0.9636	0.0088	-0.0397	0.0532	0.4547
169m	a8m	1.0435	0.0177	0.4995	0.0419	8.8031e-33
169m	a9m	1.0061	0.009	0.2262	0.0472	1.6458e-06
169m	ADr1um	0.9891	0.0269	-0.3367	0.19	0.0765
169m	bm1m	1.0096	0.0072	0.0009	0.0838	0.9919
169m	bm2m	0.9958	0.009	0.0707	0.071	0.319
169m	bm4m	0.9937	0.0075	0.1844	0.0826	0.0256
169m	bm5m	1.0061	0.008	0.0827	0.0625	0.1855
169m	bm6m	0.996	0.0084	0.1394	0.0592	0.0185
169m	bm7m	1.0038	0.0077	0.1602	0.0634	0.0115
169m	bm8m	1.0102	0.0067	-0.0458	0.08	0.5671
169m	ch1m	0.9982	0.0074	-0.1467	0.084	0.0808
169m	ch4m	0.9996	0.0066	-0.1977	0.0831	0.0174
169m	ch5m	1.0018	0.0069	-0.2614	0.1117	0.0193
169m	ch6m	0.9859	0.007	-0.0815	0.0763	0.2858
169m	l1m	1.0939	0.0394	-0.4869	0.0303	5.6833e-58
169m	l2m	1.057	0.0313	-0.1423	0.0311	4.8482e-06
169m	l3m	1.107	0.0364	-0.1672	0.0309	6.3301e-08
169m	l4m	1.0733	0.0385	0.3483	0.0334	1.9009e-25
169m	l5m	1.0698	0.0278	0.0197	0.036	0.5852
169m	r10m	0.9966	0.0083	0.0261	0.0902	0.7724
169m	r4m	1.0133	0.0074	0.1765	0.0636	0.0055
169m	r5m	1.0022	0.0124	-0.0603	0.0318	0.058
169m	r8m	1.0059	0.0081	0.1125	0.0452	0.0128
169m	r9m	0.9968	0.0067	0.2308	0.0776	0.0029
171f	171f	0.8152	0.0069	1.0	4.0858e-06	0.0
171f	177f	0.8903	0.0082	0.4029	0.0278	1.7851e-47
171f	183f	0.8891	0.0081	0.6803	0.0228	6.9209e-196
171f	189f	0.9081	0.0087	0.2303	0.0344	2.0210e-11
171f	4213f	0.9997	0.0098	-0.0557	0.0776	0.4731
171f	4371f	1.0247	0.009	0.028	0.0759	0.7121
171f	4374f	1.0164	0.0077	-0.0799	0.0538	0.1371
171f	48f	0.9727	0.008	-0.2643	0.0346	2.2672e-14
171f	51f	0.9777	0.0067	0.058	0.0461	0.2091
171f	96f	0.9585	0.0075	0.3115	0.0524	2.8119e-09
171f	99f	0.9837	0.0067	-0.2916	0.0764	0.0001
171f	a13f	0.991	0.009	0.3288	0.0397	1.2563e-16
171f	a1f	1.0111	0.0084	0.1606	0.0342	2.7034e-06
171f	a21f	0.9825	0.0081	0.067	0.0389	0.085
171f	a22f	1.0234	0.008	0.3178	0.0322	6.4766e-23
171f	a27f	1.027	0.035	0.1574	0.0601	0.0088
171f	a28f	1.0175	0.0097	0.6365	0.0768	1.1053e-16
171f	a29f	1.0207	0.009	0.3061	0.0295	3.5094e-25
171f	a30f	0.9511	0.0092	-0.2614	0.0265	6.6347e-23
171f	a7f	0.9545	0.0082	-0.1058	0.054	0.0499
171f	a8f	1.0513	0.0131	0.601	0.0298	1.4624e-90
171f	a9f	1.0564	0.0086	0.3204	0.0648	7.7652e-07
171f	ADr1uf	1.008	0.0312	-0.2684	0.2944	0.3619
171f	bm1f	1.0069	0.0069	0.0409	0.0769	0.5946
171f	bm2f	0.9927	0.0076	-0.0611	0.0541	0.2592
171f	bm4f	1.0059	0.0074	0.003	0.0792	0.9693
171f	bm5f	1.0014	0.0078	-0.0019	0.045	0.9658
171f	bm6f	1.0021	0.0091	-0.0017	0.0495	0.9719
171f	bm7f	1.0016	0.0091	0.0152	0.0477	0.75
171f	bm8f	0.9987	0.0075	-0.0481	0.0542	0.3745
171f	ch1f	0.9992	0.0068	-0.1442	0.0626	0.0212
171f	ch4f	0.9977	0.0066	-0.0961	0.087	0.2696
171f	ch5f	0.9928	0.007	-0.1249	0.072	0.0828
171f	ch6f	1.0016	0.0073	-0.2023	0.0776	0.0091
171f	l1f	1.1065	0.0344	-0.5062	0.0257	2.8133e-86
171f	l2f	1.0802	0.029	0.1842	0.028	4.7136e-11
171f	l3f	1.1222	0.034	0.0526	0.0268	0.0496
171f	l4f	1.0851	0.0307	0.4453	0.028	8.2235e-57
171f	l5f	1.0942	0.0294	0.2637	0.0295	3.4955e-19
171f	r10f	0.9642	0.0083	0.0873	0.0526	0.0969
171f	r4f	0.9962	0.0068	0.1461	0.0445	0.001
171f	r5f	1.0524	0.01	-0.0731	0.0302	0.0155
171f	r8f	0.9982	0.0075	0.0417	0.0365	0.2538
171f	r9f	1.0096	0.0073	0.1647	0.0554	0.0029
175m	175m	0.8735	0.0078	1.0	1.2621e-05	0.0
175m	177f	0.8905	0.0091	0.7449	0.0453	7.4390e-61
175m	181m	0.8914	0.0075	0.3631	0.0392	1.8460e-20
175m	187m	0.9042	0.0075	0.5318	0.0365	4.1016e-48
175m	4212m	1.0029	0.0101	-0.0892	0.068	0.1899
175m	4370m	1.0244	0.011	-0.1236	0.1002	0.2174
175m	4373m	0.999	0.0083	0.1175	0.061	0.0541
175m	49m	0.9453	0.0079	0.0703	0.0555	0.2051
175m	52m	0.975	0.007	0.0428	0.063	0.4967
175m	97m	0.978	0.0081	0.5973	0.084	1.1730e-12
175m	a13m	1.0085	0.0141	0.0028	0.0367	0.9396
175m	a1m	0.997	0.0092	-0.0302	0.0492	0.5401
175m	a21m	1.0174	0.0085	-0.0506	0.0602	0.4008
175m	a22m	1.0165	0.0086	-0.0673	0.0437	0.1228
175m	a27m	1.0226	0.0305	-0.0352	0.0606	0.5615
175m	a28m	1.0126	0.0242	0.0687	0.0981	0.4839
175m	a29m	1.0222	0.0094	0.0301	0.0435	0.4887
175m	a30m	0.9601	0.0094	-0.0414	0.0313	0.1856
175m	a7m	0.9634	0.009	-0.0935	0.0502	0.0624
175m	a8m	1.0432	0.0176	0.0856	0.0425	0.0439
175m	a9m	1.0068	0.009	0.0464	0.0457	0.3096
175m	ADr1um	0.9799	0.0177	-0.1819	0.1161	0.1171
175m	bm1m	1.0096	0.0073	-0.042	0.0824	0.61
175m	bm2m	0.9965	0.0089	-0.0549	0.0845	0.5156
175m	bm4m	0.9942	0.0076	-0.0377	0.0917	0.6811
175m	bm5m	1.0072	0.0079	-0.0903	0.0644	0.1608
175m	bm6m	0.996	0.0085	-0.0184	0.0582	0.7523
175m	bm7m	1.0036	0.0076	-0.0026	0.0621	0.9668
175m	bm8m	1.0091	0.0069	-0.0459	0.0801	0.5661
175m	ch1m	0.9993	0.0074	-0.0279	0.0892	0.7547
175m	ch4m	1.0001	0.0068	-0.0468	0.0887	0.598
175m	ch5m	1.0018	0.0069	-0.0788	0.099	0.4262
175m	ch6m	0.986	0.0072	0.0143	0.083	0.8627
175m	l1m	1.0962	0.04	-0.1274	0.031	3.9161e-05
175m	l2m	1.0586	0.032	-0.0913	0.0331	0.0058
175m	l3m	1.1097	0.0374	-0.0837	0.0298	0.005
