Trait	Intercept	Intercept_SE	GC	GC_SE	PValue
126m	l5m	1.0627	0.0233	-0.1516	0.0289	1.5297e-07
126m	r10m	0.9979	0.0082	-0.0377	0.0832	0.6507
126m	r4m	1.0131	0.007	-0.0024	0.0568	0.9662
126m	r5m	0.9999	0.0114	0.0095	0.0269	0.7234
126m	r8m	1.0026	0.0078	-0.0462	0.0412	0.2625
126m	r9m	0.997	0.0065	0.0452	0.0755	0.5495
127f	127f	0.8272	0.0103	1.0	7.4045e-06	0.0
127f	137f	0.8253	0.0073	0.4191	0.0308	3.3541e-42
127f	145f	0.732	0.008	-0.0794	0.0271	0.0034
127f	153f	0.9337	0.0087	0.0958	0.0402	0.0173
127f	154f	0.9576	0.0077	0.0513	0.0589	0.3839
127f	159f	0.8178	0.0078	0.3001	0.0291	5.5397e-25
127f	165f	0.8613	0.0084	0.751	0.0224	1.7576e-245
127f	171f	0.8132	0.0076	0.1976	0.0298	3.1231e-11
127f	177f	0.89	0.0081	0.6069	0.0345	1.8680e-69
127f	183f	0.8871	0.0085	-0.0138	0.0358	0.6997
127f	189f	0.9093	0.0088	0.0364	0.0379	0.3365
127f	4213f	0.9996	0.0102	0.1452	0.081	0.0732
127f	4371f	1.0252	0.0094	-0.0497	0.0666	0.4551
127f	4374f	1.0197	0.0076	0.0862	0.0695	0.2151
127f	48f	0.9735	0.0083	0.1029	0.0337	0.0022
127f	51f	0.9797	0.007	-0.0543	0.0421	0.1974
127f	96f	0.9572	0.0074	0.6384	0.0641	2.1702e-23
127f	99f	0.9846	0.0067	0.4139	0.08	2.2757e-07
127f	a13f	0.9901	0.0092	-0.1024	0.0398	0.0101
127f	a1f	1.0089	0.0088	-0.0749	0.0315	0.0172
127f	a21f	0.9815	0.0085	-0.3598	0.04	2.2928e-19
127f	a22f	1.0207	0.0086	-0.0701	0.0308	0.0228
127f	a27f	1.0367	0.0367	-0.0147	0.057	0.7969
127f	a28f	1.0171	0.0097	-0.0972	0.0729	0.1823
127f	a29f	1.0184	0.009	0.0149	0.0313	0.6342
127f	a30f	0.952	0.0093	0.1554	0.0257	1.3799e-09
127f	a7f	0.9529	0.0082	0.0002	0.049	0.9966
127f	a8f	1.0515	0.0132	-0.0526	0.0319	0.0991
127f	a9f	1.0563	0.0087	-0.0507	0.0557	0.3623
127f	ADr1uf	0.9975	0.0215	0.0801	0.1107	0.4693
127f	bm1f	1.0064	0.0073	0.0745	0.0796	0.3495
127f	bm2f	0.9924	0.0073	-0.0215	0.0601	0.7209
127f	bm4f	1.0055	0.0072	0.008	0.0711	0.9106
127f	bm5f	1.0014	0.0088	-0.0555	0.0426	0.1925
127f	bm6f	1.0013	0.009	-0.0982	0.0462	0.0335
127f	bm7f	1.0002	0.0089	-0.0996	0.0448	0.0262
127f	bm8f	0.9971	0.0076	-0.0357	0.0544	0.5123
127f	ch1f	0.9975	0.0067	-0.0049	0.0657	0.941
127f	ch4f	0.9984	0.0067	0.1049	0.0798	0.1885
127f	ch5f	0.9943	0.007	0.1043	0.0713	0.1438
127f	ch6f	1.0024	0.0069	0.0604	0.0731	0.4085
127f	l1f	1.0992	0.0334	0.0371	0.0257	0.1492
127f	l2f	1.0783	0.0291	-0.1172	0.0266	1.0232e-05
127f	l3f	1.1169	0.0335	-0.1189	0.0272	1.2285e-05
127f	l4f	1.082	0.0314	-0.1024	0.0263	0.0001
127f	l5f	1.0921	0.0292	-0.1445	0.028	2.4083e-07
127f	r10f	0.9658	0.0083	-0.1128	0.0551	0.0407
127f	r4f	0.9957	0.007	-0.0725	0.0434	0.0949
127f	r5f	1.0526	0.0096	0.0019	0.0321	0.9517
127f	r8f	0.9974	0.008	0.0422	0.0323	0.1905
127f	r9f	1.0091	0.0071	0.1473	0.0598	0.0138
136m	136m	0.8628	0.0072	1.0	3.3047e-07	0.0
136m	137f	0.8258	0.0073	0.924	0.0335	4.8678e-167
136m	144m	0.7943	0.0077	0.7813	0.0186	0.0
136m	151m	0.9725	0.0071	-0.0993	0.0607	0.1016
136m	152m	0.965	0.0073	-0.0899	0.0722	0.2132
136m	157m	0.8731	0.0087	0.9321	0.0229	0.0
136m	163m	0.8667	0.0096	0.5127	0.0412	1.5703e-35
136m	169m	0.8603	0.0078	0.8872	0.0221	0.0
136m	175m	0.8736	0.0081	0.3461	0.0402	7.3590e-18
136m	181m	0.8903	0.0076	0.407	0.0501	4.6467e-16
136m	187m	0.9031	0.0076	-0.1619	0.0542	0.0028
136m	4212m	1.0043	0.01	-0.0245	0.0738	0.7403
136m	4370m	1.0243	0.0101	-0.0628	0.0819	0.4435
136m	4373m	0.9976	0.0079	-0.0171	0.0556	0.7577
136m	49m	0.9446	0.0075	-0.1241	0.0407	0.0023
136m	52m	0.9718	0.0069	0.1009	0.0636	0.1127
136m	97m	0.9779	0.0076	0.7631	0.0868	1.5166e-18
136m	a13m	0.9988	0.0125	0.0873	0.0439	0.0466
136m	a1m	0.9959	0.0088	0.0152	0.0492	0.7569
136m	a21m	1.0195	0.0076	-0.2306	0.0602	0.0001
136m	a22m	1.0135	0.0082	0.1709	0.0378	5.9812e-06
136m	a27m	1.0231	0.031	0.1619	0.0574	0.0048
136m	a28m	0.9762	0.021	0.4404	0.0831	1.1507e-07
136m	a29m	1.0182	0.0093	0.2095	0.0398	1.4646e-07
136m	a30m	0.9541	0.0085	-0.1056	0.0361	0.0034
136m	a7m	0.9598	0.0084	0.0215	0.0558	0.7001
136m	a8m	1.0373	0.0155	0.3839	0.0355	3.5108e-27
136m	a9m	1.0072	0.0086	0.1259	0.0488	0.0099
136m	ADr1um	0.9827	0.0216	-0.3742	0.169	0.0268
136m	bm1m	1.0057	0.0069	0.0668	0.0686	0.33
136m	bm2m	0.9944	0.0081	0.047	0.0726	0.5172
136m	bm4m	0.9941	0.0073	0.1347	0.0942	0.153
136m	bm5m	1.0062	0.0075	0.0713	0.0584	0.2223
136m	bm6m	0.9965	0.0082	0.0388	0.0528	0.4629
136m	bm7m	1.0029	0.0077	0.058	0.0564	0.3034
136m	bm8m	1.0099	0.0068	0.0202	0.0854	0.8131
136m	ch1m	0.9975	0.0074	-0.0038	0.0795	0.9621
136m	ch4m	0.9971	0.0068	-0.0589	0.0829	0.4776
136m	ch5m	1.003	0.0065	-0.1675	0.1077	0.1199
136m	ch6m	0.9879	0.0068	0.0336	0.0763	0.6602
136m	l1m	1.0728	0.0339	-0.3895	0.0283	5.7761e-43
136m	l2m	1.0549	0.029	-0.1565	0.0312	5.2244e-07
136m	l3m	1.0927	0.0311	-0.201	0.0314	1.4478e-10
136m	l4m	1.0466	0.0324	0.2038	0.0337	1.5380e-09
136m	l5m	1.0643	0.0233	-0.0452	0.034	0.1832
136m	r10m	0.9977	0.0081	0.0085	0.0975	0.9302
136m	r4m	1.0122	0.007	0.0906	0.0664	0.1726
136m	r5m	1.0002	0.0114	-0.0515	0.0309	0.0948
136m	r8m	1.0023	0.0076	0.0583	0.0468	0.2135
136m	r9m	0.9965	0.0066	0.19	0.0783	0.0152
137f	137f	0.8246	0.0072	1.0	1.5286e-06	0.0
137f	145f	0.7319	0.0079	0.8867	0.0134	0.0
137f	153f	0.9336	0.0086	-0.0307	0.0465	0.5088
137f	154f	0.9575	0.0077	-0.1334	0.0629	0.0339
137f	159f	0.8178	0.0077	0.9351	0.0177	0.0
137f	165f	0.8611	0.0083	0.4086	0.0318	6.7687e-38
137f	171f	0.8132	0.0077	0.9011	0.0192	0.0
137f	177f	0.8894	0.0081	0.2247	0.037	1.2232e-09
137f	183f	0.8874	0.0085	0.3711	0.0438	2.3699e-17
137f	189f	0.909	0.0088	-0.0959	0.0399	0.0163
137f	4213f	1.	0.0102	-0.0027	0.0753	0.9714
137f	4371f	1.0255	0.0094	0.0289	0.0763	0.705
137f	4374f	1.0188	0.0076	0.0292	0.0674	0.6645
137f	48f	0.9733	0.0082	-0.2005	0.0362	2.9427e-08
137f	51f	0.981	0.0069	0.0264	0.0491	0.5909
137f	96f	0.9568	0.0075	0.4633	0.0496	1.0130e-20
137f	99f	0.9849	0.0066	-0.2251	0.0855	0.0085
137f	a13f	0.9891	0.0091	0.2059	0.0455	5.9073e-06
137f	a1f	1.0099	0.0088	0.1302	0.0384	0.0007
137f	a21f	0.9812	0.0086	-0.0803	0.0448	0.073
137f	a22f	1.0206	0.0085	0.3014	0.0339	5.9527e-19
137f	a27f	1.0389	0.0368	0.1552	0.0619	0.0122
137f	a28f	1.0172	0.0097	0.4469	0.0799	2.2093e-08
137f	a29f	1.0182	0.0089	0.295	0.0316	1.0267e-20
137f	a30f	0.9524	0.0093	-0.1988	0.0296	1.9106e-11
137f	a7f	0.9535	0.0082	-0.0569	0.0583	0.3293
137f	a8f	1.0515	0.013	0.503	0.0377	1.1773e-40
137f	a9f	1.0553	0.0087	0.2386	0.0709	0.0008
137f	ADr1uf	0.998	0.0215	-0.2599	0.1668	0.1191
137f	bm1f	1.0058	0.0073	0.0445	0.081	0.5825
137f	bm2f	0.9931	0.0073	-0.1299	0.0633	0.0403
137f	bm4f	1.0049	0.0072	0.0944	0.0816	0.2472
137f	bm5f	1.0011	0.0088	-0.0669	0.0503	0.1839
137f	bm6f	1.0021	0.009	-0.0548	0.0516	0.2885
137f	bm7f	1.0015	0.0089	-0.0483	0.0497	0.3311
137f	bm8f	0.9972	0.0076	0.1039	0.0563	0.0648
137f	ch1f	0.9975	0.0068	-0.1255	0.0697	0.072
137f	ch4f	0.9979	0.0067	-0.1201	0.0982	0.2211
137f	ch5f	0.995	0.0071	-0.1689	0.081	0.037
137f	ch6f	1.0032	0.0069	-0.2046	0.08	0.0105
137f	l1f	1.0989	0.0335	-0.3602	0.0317	7.1156e-30
137f	l2f	1.077	0.0291	0.0886	0.0319	0.0055
137f	l3f	1.1156	0.0332	-0.0114	0.0298	0.7017
137f	l4f	1.0832	0.0313	0.2852	0.0354	7.4733e-16
137f	l5f	1.0929	0.0292	0.1391	0.0339	4.0980e-05
137f	r10f	0.9661	0.0083	0.0683	0.0593	0.2498
137f	r4f	0.9969	0.007	0.0779	0.0471	0.0981
137f	r5f	1.0536	0.0098	-0.0545	0.0345	0.1148
137f	r8f	0.9974	0.008	0.0595	0.0394	0.1307
137f	r9f	1.009	0.0071	0.205	0.0724	0.0047
144m	144m	0.796	0.0077	1.0	4.3093e-06	0.0
144m	145f	0.7342	0.0079	0.8883	0.0192	0.0
144m	151m	0.9722	0.0068	-0.0023	0.0431	0.9573
144m	152m	0.9646	0.0077	-0.0175	0.0513	0.7332
144m	157m	0.8766	0.0082	0.7943	0.0204	0.0
144m	163m	0.8681	0.0094	-0.0296	0.0359	0.4099
144m	169m	0.8632	0.0075	0.9146	0.0138	0.0
144m	175m	0.8737	0.0079	-0.0577	0.0394	0.1428
144m	181m	0.8922	0.0074	0.6636	0.028	2.1696e-124
144m	187m	0.9043	0.0075	-0.0462	0.0442	0.2957
144m	4212m	1.0025	0.01	-0.036	0.0572	0.5298
144m	4370m	1.0245	0.01	-0.0494	0.0634	0.4353
144m	4373m	0.9973	0.0072	-0.0723	0.0481	0.1331
144m	49m	0.9438	0.0068	-0.3037	0.0407	8.3699e-14
144m	52m	0.9743	0.0065	0.1518	0.053	0.0042
144m	97m	0.9763	0.0078	0.2276	0.0643	0.0004
144m	a13m	1.0018	0.0117	0.2086	0.0388	7.7048e-08
144m	a1m	0.9961	0.0081	0.0391	0.043	0.3638
144m	a21m	1.0205	0.0073	0.0117	0.0535	0.8265
144m	a22m	1.0181	0.0076	0.3222	0.0339	1.8278e-21
144m	a27m	1.0231	0.0303	0.1074	0.0536	0.0453
144m	a28m	1.0128	0.0242	0.3939	0.0942	2.8826e-05
144m	a29m	1.0206	0.0092	0.2984	0.0318	5.6743e-21
144m	a30m	0.9522	0.0088	-0.2556	0.0282	1.2485e-19
144m	a7m	0.96	0.0085	0.0356	0.0417	0.3931
144m	a8m	1.04	0.0157	0.4581	0.0319	1.2456e-46
144m	a9m	1.008	0.0087	0.239	0.0415	8.5883e-09
144m	ADr1um	0.986	0.0239	-0.2492	0.1276	0.0508
144m	bm1m	1.0072	0.0068	-0.0198	0.0642	0.7581
