pair_name	sex	pleio_total	pleio_type_ANTAGONIST	pleio_type_AGONIST	pleio_agonist_dir_POSITIVE	pleio_agonist_dir_NEGATIVE	convincing_CONVINCING	convincing_type_CONVINCING_SAME	convincing_type_CONVINCING_DISTINCT
Hip circumference (adjBMI):Multisite chronic pain	female	6	2	4	2	2	1	1	NA
Hip circumference (adjBMI):Multisite chronic pain	male	5	3	2	NA	2	1	1	NA
Hip circumference (adjBMI):Nonword reading	female	1	NA	1	NA	1	NA	NA	NA
Hip circumference (adjBMI):Nonword reading	male	2	2	NA	NA	NA	NA	NA	NA
Hip circumference (adjBMI):Number of children ever born	female	1	1	NA	NA	NA	NA	NA	NA
Hip circumference (adjBMI):Number of children ever born	male	2	2	NA	NA	NA	NA	NA	NA
Hip circumference (adjBMI):PTSD	female	1	1	NA	NA	NA	NA	NA	NA
Hip circumference (adjBMI):PTSD	male	4	2	2	1	1	NA	NA	NA
Hip circumference (adjBMI):Parkinson's disease	female	3	3	NA	NA	NA	NA	NA	NA
Hip circumference (adjBMI):Parkinson's disease	male	6	1	5	3	2	1	1	NA
Hip circumference (adjBMI):Performance IQ	female	2	1	1	1	NA	NA	NA	NA
Hip circumference (adjBMI):Pubertal growth	female	10	NA	10	6	4	NA	NA	NA
Hip circumference (adjBMI):Pubertal growth	male	3	NA	3	2	1	NA	NA	NA
Hip circumference (adjBMI):Right Putamen	female	3	3	NA	NA	NA	NA	NA	NA
Hip circumference (adjBMI):Right Putamen	male	3	2	1	1	NA	1	1	NA
Hip circumference (adjBMI):Risk-taking behaviour	female	1	NA	1	NA	1	NA	NA	NA
Hip circumference (adjBMI):Risk-taking behaviour	male	5	2	3	2	1	NA	NA	NA
Hip circumference (adjBMI):Schizophrenia	female	1	NA	1	1	NA	NA	NA	NA
Hip circumference (adjBMI):Schizophrenia	male	5	3	2	1	1	NA	NA	NA
Hip circumference (adjBMI):Snoring	female	10	7	3	2	1	NA	NA	NA
Hip circumference (adjBMI):Snoring	male	4	3	1	1	NA	NA	NA	NA
Hip circumference (adjBMI):Spelling	female	1	NA	1	1	NA	1	1	NA
Hip circumference (adjBMI):Spelling	male	1	1	NA	NA	NA	NA	NA	NA
Hip circumference (adjBMI):TC	female	50	33	17	4	13	10	7	3
Hip circumference (adjBMI):TC	male	37	26	11	3	8	8	5	3
Hip circumference (adjBMI):Thyroid-stimulating hormone	female	6	5	1	1	NA	NA	NA	NA
Hip circumference (adjBMI):Thyroid-stimulating hormone	male	9	7	2	NA	2	NA	NA	NA
Hip circumference (adjBMI):Type 2 diabetes	female	23	17	6	5	1	10	8	2
Hip circumference (adjBMI):Type 2 diabetes	male	28	17	11	7	4	6	6	NA
Hip circumference (adjBMI):Waist circumference	female	12	4	8	7	1	4	4	NA
Hip circumference (adjBMI):Waist circumference	male	8	1	7	4	3	2	2	NA
Hip circumference (adjBMI):Waist circumference (adjBMI)	female	48	26	22	11	11	22	20	2
Hip circumference (adjBMI):Waist circumference (adjBMI)	male	27	3	24	12	12	24	24	NA
Hip circumference (adjBMI):Waist-hip ratio	female	28	20	8	7	1	17	17	NA
Hip circumference (adjBMI):Waist-hip ratio	male	15	7	8	3	5	5	5	NA
Hip circumference (adjBMI):Waist-hip ratio (<= 50 yrs, adjBMI)	female	21	17	4	2	2	12	12	NA
Hip circumference (adjBMI):Waist-hip ratio (<= 50 yrs, adjBMI)	male	7	3	4	NA	4	NA	NA	NA
Hip circumference (adjBMI):Waist-hip ratio (> 50 yrs, adjBMI)	female	29	20	9	4	5	16	16	NA
Hip circumference (adjBMI):Waist-hip ratio (> 50 yrs, adjBMI)	male	9	5	4	2	2	2	2	NA
Hip circumference (adjBMI):Waist-hip ratio (adjBMI)	female	38	26	12	6	6	23	22	1
Hip circumference (adjBMI):Waist-hip ratio (adjBMI)	male	22	8	14	6	8	6	6	NA
Hip circumference (adjBMI):Weight	female	15	NA	15	7	8	4	4	NA
Hip circumference (adjBMI):Weight	male	19	NA	19	10	9	14	13	1
Hip circumference (adjBMI):Word reading	female	1	1	NA	NA	NA	NA	NA	NA
Hip circumference (adjBMI):Word reading	male	2	1	1	1	NA	NA	NA	NA
Hip circumference (adjBMI):logTG	female	53	45	8	5	3	18	14	4
Hip circumference (adjBMI):logTG	male	45	34	11	5	6	15	10	5
Hip circumference (adjBMI):nonHDL	female	55	46	9	4	5	11	9	2
Hip circumference (adjBMI):nonHDL	male	39	29	10	3	7	6	4	2
Hip circumference:Hip circumference (adjBMI)	female	23	5	18	12	6	17	17	NA
Hip circumference:Hip circumference (adjBMI)	male	16	3	13	4	9	13	13	NA
Hip circumference:Insomnia	female	5	4	1	NA	1	NA	NA	NA
Hip circumference:Insomnia	male	3	1	2	2	NA	NA	NA	NA
Hip circumference:LDL	female	44	28	16	10	6	7	5	2
Hip circumference:LDL	male	29	20	9	4	5	6	4	2
Hip circumference:Left 5m area	female	2	1	1	NA	1	NA	NA	NA
Hip circumference:Left 5m area	male	1	1	NA	NA	NA	NA	NA	NA
Hip circumference:Left Caudate	female	4	2	2	1	1	NA	NA	NA
Hip circumference:Left Caudate	male	2	1	1	NA	1	NA	NA	NA
Hip circumference:Left MST area	male	1	1	NA	NA	NA	NA	NA	NA
Hip circumference:Left PoI GM thikness	female	1	NA	1	1	NA	NA	NA	NA
Hip circumference:Left Putamen	female	2	1	1	1	NA	NA	NA	NA
Hip circumference:Left Putamen	male	2	1	1	1	NA	NA	NA	NA
Hip circumference:Major Depression	female	2	1	1	1	NA	NA	NA	NA
Hip circumference:Major Depression	male	2	NA	2	2	NA	NA	NA	NA
Hip circumference:Multisite chronic pain	female	5	1	4	2	2	1	1	NA
Hip circumference:Multisite chronic pain	male	6	NA	6	3	3	NA	NA	NA
Hip circumference:Nonword reading	female	3	3	NA	NA	NA	NA	NA	NA
Hip circumference:Nonword reading	male	1	1	NA	NA	NA	NA	NA	NA
Hip circumference:Number of children ever born	female	5	3	2	2	NA	1	1	NA
Hip circumference:Number of children ever born	male	2	1	1	1	NA	NA	NA	NA
Hip circumference:PTSD	female	1	NA	1	1	NA	NA	NA	NA
Hip circumference:PTSD	male	2	1	1	NA	1	NA	NA	NA
Hip circumference:Parkinson's disease	female	3	2	1	NA	1	NA	NA	NA
Hip circumference:Parkinson's disease	male	4	2	2	NA	2	1	1	NA
Hip circumference:Performance IQ	female	1	NA	1	1	NA	NA	NA	NA
Hip circumference:Pubertal growth	female	4	4	NA	NA	NA	2	2	NA
Hip circumference:Pubertal growth	male	4	1	3	NA	3	NA	NA	NA
Hip circumference:Right Putamen	female	3	1	2	2	NA	NA	NA	NA
Hip circumference:Right Putamen	male	2	1	1	1	NA	NA	NA	NA
Hip circumference:Risk-taking behaviour	female	4	1	3	2	1	1	NA	1
Hip circumference:Risk-taking behaviour	male	3	NA	3	NA	3	NA	NA	NA
Hip circumference:Schizophrenia	female	5	1	4	4	NA	2	2	NA
Hip circumference:Schizophrenia	male	5	1	4	3	1	NA	NA	NA
Hip circumference:Snoring	female	6	3	3	1	2	1	1	NA
Hip circumference:Snoring	male	6	2	4	3	1	2	2	NA
Hip circumference:Spelling	female	3	1	2	2	NA	NA	NA	NA
Hip circumference:TC	female	52	32	20	10	10	8	6	2
Hip circumference:TC	male	31	21	10	3	7	6	3	3
Hip circumference:Thyroid-stimulating hormone	female	5	3	2	2	NA	NA	NA	NA
Hip circumference:Thyroid-stimulating hormone	male	8	5	3	2	1	NA	NA	NA
Hip circumference:Type 2 diabetes	female	38	24	14	11	3	11	11	NA
Hip circumference:Type 2 diabetes	male	32	18	14	13	1	14	14	NA
Hip circumference:Waist circumference	female	28	15	13	10	3	13	13	NA
Hip circumference:Waist circumference	male	13	2	11	8	3	11	11	NA
Hip circumference:Waist circumference (adjBMI)	female	26	21	5	5	NA	4	3	1
Hip circumference:Waist circumference (adjBMI)	male	16	4	12	4	8	9	8	1
Hip circumference:Waist-hip ratio	female	38	29	9	6	3	10	10	NA
Hip circumference:Waist-hip ratio	male	16	7	9	6	3	9	8	1
Hip circumference:Waist-hip ratio (<= 50 yrs, adjBMI)	female	12	12	NA	NA	NA	3	3	NA
Hip circumference:Waist-hip ratio (<= 50 yrs, adjBMI)	male	2	2	NA	NA	NA	NA	NA	NA
Hip circumference:Waist-hip ratio (> 50 yrs, adjBMI)	female	21	18	3	3	NA	7	7	NA
Hip circumference:Waist-hip ratio (> 50 yrs, adjBMI)	male	8	6	2	1	1	1	1	NA
Hip circumference:Waist-hip ratio (adjBMI)	female	24	23	1	1	NA	11	11	NA
Hip circumference:Waist-hip ratio (adjBMI)	male	9	7	2	1	1	4	4	NA
Hip circumference:Weight	female	14	NA	14	12	2	14	14	NA
Hip circumference:Weight	male	15	NA	15	9	6	15	15	NA
Hip circumference:Word reading	female	1	1	NA	NA	NA	NA	NA	NA
Hip circumference:Word reading	male	1	1	NA	NA	NA	NA	NA	NA
Hip circumference:logTG	female	64	53	11	8	3	17	15	2
Hip circumference:logTG	male	46	32	14	9	5	18	16	2
Hip circumference:nonHDL	female	54	35	19	9	10	9	5	4
Hip circumference:nonHDL	male	34	24	10	4	6	6	4	2
Insomnia:LDL	female	21	12	9	2	7	NA	NA	NA
Insomnia:LDL	male	32	13	19	11	8	NA	NA	NA
Insomnia:Left 5m area	female	1	NA	1	1	NA	NA	NA	NA
Insomnia:Left 5m area	male	1	NA	1	1	NA	NA	NA	NA
Insomnia:Left Caudate	male	2	NA	2	1	1	NA	NA	NA
Insomnia:Left MST area	male	1	NA	1	1	NA	NA	NA	NA
Insomnia:Left PoI GM thikness	female	1	1	NA	NA	NA	NA	NA	NA
Insomnia:Left Putamen	female	3	2	1	1	NA	NA	NA	NA
Insomnia:Left Putamen	male	1	NA	1	1	NA	NA	NA	NA
Insomnia:Multisite chronic pain	female	4	NA	4	3	1	1	1	NA
Insomnia:Multisite chronic pain	male	2	NA	2	1	1	1	1	NA
Insomnia:Nonword reading	male	1	1	NA	NA	NA	NA	NA	NA
Insomnia:PTSD	female	1	NA	1	1	NA	NA	NA	NA
Insomnia:Parkinson's disease	female	2	NA	2	1	1	NA	NA	NA
Insomnia:Parkinson's disease	male	2	1	1	NA	1	NA	NA	NA
Insomnia:Performance IQ	female	1	NA	1	NA	1	NA	NA	NA
Insomnia:Performance IQ	male	1	NA	1	1	NA	NA	NA	NA
Insomnia:Pubertal growth	female	1	1	NA	NA	NA	NA	NA	NA
Insomnia:Right Putamen	female	3	2	1	1	NA	NA	NA	NA
Insomnia:Right Putamen	male	1	NA	1	1	NA	NA	NA	NA
Insomnia:Risk-taking behaviour	male	1	NA	1	NA	1	NA	NA	NA
Insomnia:Schizophrenia	female	6	3	3	2	1	3	2	1
Insomnia:Schizophrenia	male	1	NA	1	1	NA	1	1	NA
Insomnia:Snoring	female	2	2	NA	NA	NA	NA	NA	NA
Insomnia:Snoring	male	1	NA	1	NA	1	NA	NA	NA
Insomnia:Spelling	female	1	NA	1	1	NA	NA	NA	NA
Insomnia:Spelling	male	1	1	NA	NA	NA	NA	NA	NA
Insomnia:TC	female	29	11	18	6	12	1	1	NA
Insomnia:TC	male	27	7	20	11	9	1	1	NA
Insomnia:Thyroid-stimulating hormone	female	4	1	3	1	2	NA	NA	NA
Insomnia:Thyroid-stimulating hormone	male	3	2	1	NA	1	NA	NA	NA
Insomnia:Type 2 diabetes	female	5	3	2	NA	2	NA	NA	NA
Insomnia:Type 2 diabetes	male	7	1	6	3	3	1	1	NA
Insomnia:Waist circumference	female	2	2	NA	NA	NA	NA	NA	NA
Insomnia:Waist circumference	male	6	3	3	NA	3	NA	NA	NA
Insomnia:Waist circumference (adjBMI)	female	4	3	1	1	NA	NA	NA	NA
Insomnia:Waist circumference (adjBMI)	male	3	2	1	NA	1	1	1	NA
Insomnia:Waist-hip ratio	female	4	2	2	NA	2	NA	NA	NA
Insomnia:Waist-hip ratio (<= 50 yrs, adjBMI)	female	2	2	NA	NA	NA	1	NA	1
Insomnia:Waist-hip ratio (> 50 yrs, adjBMI)	female	4	3	1	NA	1	NA	NA	NA
Insomnia:Waist-hip ratio (adjBMI)	female	5	2	3	1	2	NA	NA	NA
Insomnia:Weight	female	2	1	1	1	NA	1	1	NA
Insomnia:Weight	male	3	1	2	1	1	NA	NA	NA
Insomnia:Word reading	male	1	1	NA	NA	NA	NA	NA	NA
Insomnia:logTG	female	26	8	18	9	9	2	1	1
Insomnia:logTG	male	20	13	7	4	3	NA	NA	NA
Insomnia:nonHDL	female	24	11	13	4	9	NA	NA	NA
Insomnia:nonHDL	male	18	8	10	5	5	NA	NA	NA
LDL:Left 5m area	female	26	12	14	7	7	1	NA	1
LDL:Left 5m area	male	17	10	7	2	5	1	1	NA
LDL:Left Caudate	female	27	14	13	7	6	3	2	1
LDL:Left Caudate	male	30	14	16	5	11	2	2	NA
LDL:Left MST area	female	16	10	6	4	2	NA	NA	NA
LDL:Left MST area	male	14	8	6	3	3	NA	NA	NA
LDL:Left PoI GM thikness	female	17	9	8	5	3	NA	NA	NA
LDL:Left PoI GM thikness	male	26	13	13	7	6	NA	NA	NA
LDL:Left Putamen	female	29	16	13	7	6	2	2	NA
LDL:Left Putamen	male	28	14	14	5	9	2	1	1
LDL:Major Depression	female	10	5	5	4	1	NA	NA	NA
LDL:Major Depression	male	11	7	4	4	NA	NA	NA	NA
LDL:Multisite chronic pain	female	44	20	24	12	12	1	1	NA
LDL:Multisite chronic pain	male	31	18	13	8	5	4	4	NA
LDL:Nonword reading	female	17	9	8	4	4	NA	NA	NA
LDL:Nonword reading	male	22	13	9	4	5	1	1	NA
LDL:Number of children ever born	female	15	5	10	6	4	NA	NA	NA
LDL:Number of children ever born	male	7	3	4	3	1	NA	NA	NA
LDL:PTSD	female	29	11	18	13	5	NA	NA	NA
LDL:PTSD	male	21	15	6	3	3	NA	NA	NA
LDL:Parkinson's disease	female	24	13	11	9	2	5	1	4
LDL:Parkinson's disease	male	23	10	13	5	8	2	NA	2
LDL:Performance IQ	female	21	11	10	4	6	NA	NA	NA
LDL:Performance IQ	male	13	5	8	5	3	NA	NA	NA
LDL:Pubertal growth	female	14	10	4	2	2	NA	NA	NA
LDL:Pubertal growth	male	11	4	7	3	4	NA	NA	NA
LDL:Right Putamen	female	27	15	12	6	6	3	2	1
LDL:Right Putamen	male	28	11	17	6	11	3	2	1
LDL:Risk-taking behaviour	female	34	17	17	9	8	2	2	NA
LDL:Risk-taking behaviour	male	31	12	19	11	8	NA	NA	NA
LDL:Schizophrenia	female	30	21	9	5	4	6	2	4
LDL:Schizophrenia	male	47	24	23	13	10	11	6	5
LDL:Snoring	female	44	17	27	14	13	4	1	3
LDL:Snoring	male	34	14	20	7	13	1	NA	1
LDL:Spelling	female	14	9	5	2	3	1	1	NA
LDL:Spelling	male	18	9	9	5	4	NA	NA	NA
LDL:TC	female	244	51	193	101	92	210	202	8
LDL:TC	male	219	44	175	89	86	191	184	7
LDL:Thyroid-stimulating hormone	female	29	10	19	13	6	3	2	1
LDL:Thyroid-stimulating hormone	male	31	14	17	7	10	5	NA	5
LDL:Type 2 diabetes	female	91	34	57	28	29	32	18	14
LDL:Type 2 diabetes	male	94	58	36	18	18	25	11	14
LDL:Waist circumference	female	35	14	21	15	6	5	4	1
LDL:Waist circumference	male	24	19	5	3	2	2	1	1
LDL:Waist circumference (adjBMI)	female	44	18	26	14	12	12	9	3
LDL:Waist circumference (adjBMI)	male	26	15	11	3	8	1	1	NA
LDL:Waist-hip ratio	female	49	8	41	23	18	13	11	2
LDL:Waist-hip ratio	male	17	11	6	4	2	2	NA	2
LDL:Waist-hip ratio (<= 50 yrs, adjBMI)	female	25	5	20	7	13	6	6	NA
LDL:Waist-hip ratio (<= 50 yrs, adjBMI)	male	11	5	6	4	2	NA	NA	NA
LDL:Waist-hip ratio (> 50 yrs, adjBMI)	female	33	1	32	15	17	13	13	NA
LDL:Waist-hip ratio (> 50 yrs, adjBMI)	male	12	7	5	2	3	1	NA	1
LDL:Waist-hip ratio (adjBMI)	female	57	12	45	24	21	15	13	2
LDL:Waist-hip ratio (adjBMI)	male	21	9	12	7	5	1	NA	1
LDL:Weight	female	21	10	11	3	8	NA	NA	NA
LDL:Weight	male	28	21	7	3	4	6	5	1
LDL:Word reading	female	20	11	9	2	7	NA	NA	NA
LDL:Word reading	male	20	7	13	7	6	NA	NA	NA
LDL:logTG	female	215	79	136	70	66	145	110	35
LDL:logTG	male	208	101	107	54	53	125	84	41
LDL:nonHDL	female	216	10	206	110	96	209	207	2
LDL:nonHDL	male	189	13	176	86	90	180	174	6
Left 5m area:Left Putamen	female	1	NA	1	NA	1	NA	NA	NA
Left 5m area:Number of children ever born	female	1	1	NA	NA	NA	NA	NA	NA
Left 5m area:Parkinson's disease	male	1	1	NA	NA	NA	NA	NA	NA
Left 5m area:Right Putamen	female	2	1	1	NA	1	NA	NA	NA
Left 5m area:Snoring	female	1	1	NA	NA	NA	1	1	NA
Left 5m area:Snoring	male	1	1	NA	NA	NA	1	1	NA
Left 5m area:TC	female	21	12	9	5	4	2	1	1
Left 5m area:TC	male	19	6	13	4	9	1	1	NA
Left 5m area:Thyroid-stimulating hormone	female	4	2	2	1	1	NA	NA	NA
Left 5m area:Thyroid-stimulating hormone	male	3	2	1	NA	1	NA	NA	NA
Left 5m area:Type 2 diabetes	female	3	1	2	2	NA	NA	NA	NA
Left 5m area:Type 2 diabetes	male	13	10	3	2	1	NA	NA	NA
Left 5m area:Waist circumference	female	1	1	NA	NA	NA	NA	NA	NA
Left 5m area:Waist circumference	male	2	1	1	NA	1	NA	NA	NA
Left 5m area:Waist circumference (adjBMI)	female	1	NA	1	1	NA	NA	NA	NA
Left 5m area:Waist circumference (adjBMI)	male	2	1	1	1	NA	NA	NA	NA
Left 5m area:Waist-hip ratio	female	1	NA	1	1	NA	NA	NA	NA
Left 5m area:Waist-hip ratio (> 50 yrs, adjBMI)	female	2	1	1	NA	1	NA	NA	NA
Left 5m area:Waist-hip ratio (adjBMI)	female	2	1	1	1	NA	NA	NA	NA
Left 5m area:Weight	female	2	1	1	1	NA	NA	NA	NA
Left 5m area:Weight	male	1	NA	1	1	NA	NA	NA	NA
Left 5m area:logTG	female	15	8	7	3	4	1	1	NA
Left 5m area:logTG	male	13	6	7	3	4	NA	NA	NA
Left 5m area:nonHDL	female	22	11	11	5	6	1	NA	1
Left 5m area:nonHDL	male	14	8	6	NA	6	NA	NA	NA
Left Caudate:Left MST area	female	2	1	1	1	NA	NA	NA	NA
Left Caudate:Left MST area	male	1	NA	1	NA	1	NA	NA	NA
Left Caudate:Left PoI GM thikness	female	2	1	1	1	NA	NA	NA	NA
Left Caudate:Left Putamen	female	10	8	2	NA	2	3	3	NA
Left Caudate:Left Putamen	male	10	7	3	1	2	5	5	NA
Left Caudate:Multisite chronic pain	female	2	NA	2	2	NA	NA	NA	NA
Left Caudate:Multisite chronic pain	male	3	3	NA	NA	NA	1	NA	1
Left Caudate:Nonword reading	male	1	NA	1	NA	1	NA	NA	NA
Left Caudate:Number of children ever born	female	1	1	NA	NA	NA	NA	NA	NA
Left Caudate:PTSD	female	1	NA	1	1	NA	NA	NA	NA
Left Caudate:Parkinson's disease	female	3	1	2	NA	2	NA	NA	NA
Left Caudate:Parkinson's disease	male	2	2	NA	NA	NA	NA	NA	NA
Left Caudate:Right Putamen	female	11	9	2	NA	2	3	3	NA
Left Caudate:Right Putamen	male	11	7	4	1	3	6	6	NA
Left Caudate:Risk-taking behaviour	male	2	1	1	1	NA	NA	NA	NA
Left Caudate:Schizophrenia	male	3	2	1	NA	1	NA	NA	NA
Left Caudate:Snoring	female	3	2	1	NA	1	NA	NA	NA
Left Caudate:Spelling	male	1	1	NA	NA	NA	NA	NA	NA
Left Caudate:TC	female	29	13	16	11	5	3	2	1
Left Caudate:TC	male	29	17	12	5	7	1	1	NA
Left Caudate:Thyroid-stimulating hormone	female	2	1	1	NA	1	NA	NA	NA
Left Caudate:Thyroid-stimulating hormone	male	2	1	1	1	NA	NA	NA	NA
Left Caudate:Type 2 diabetes	female	8	4	4	2	2	NA	NA	NA
Left Caudate:Type 2 diabetes	male	5	3	2	2	NA	NA	NA	NA
Left Caudate:Waist circumference	female	4	2	2	NA	2	NA	NA	NA
Left Caudate:Waist circumference	male	2	1	1	NA	1	NA	NA	NA
Left Caudate:Waist circumference (adjBMI)	female	6	4	2	2	NA	1	1	NA
Left Caudate:Waist-hip ratio	female	4	2	2	1	1	2	2	NA
Left Caudate:Waist-hip ratio	male	1	1	NA	NA	NA	NA	NA	NA
Left Caudate:Waist-hip ratio (<= 50 yrs, adjBMI)	female	2	1	1	1	NA	NA	NA	NA
Left Caudate:Waist-hip ratio (> 50 yrs, adjBMI)	female	2	1	1	1	NA	1	1	NA
Left Caudate:Waist-hip ratio (adjBMI)	female	5	3	2	1	1	1	1	NA
Left Caudate:Waist-hip ratio (adjBMI)	male	1	NA	1	NA	1	NA	NA	NA
Left Caudate:Weight	female	2	1	1	1	NA	NA	NA	NA
Left Caudate:Weight	male	1	1	NA	NA	NA	NA	NA	NA
Left Caudate:logTG	female	27	14	13	4	9	2	NA	2
Left Caudate:logTG	male	20	13	7	2	5	3	1	2
Left Caudate:nonHDL	female	27	13	14	9	5	3	2	1
Left Caudate:nonHDL	male	27	11	16	8	8	2	2	NA
Left MST area:Left PoI GM thikness	male	1	1	NA	NA	NA	NA	NA	NA
Left MST area:Parkinson's disease	female	2	1	1	NA	1	NA	NA	NA
Left MST area:Schizophrenia	male	2	1	1	NA	1	1	NA	1
Left MST area:Snoring	male	1	NA	1	NA	1	NA	NA	NA
Left MST area:Spelling	female	1	NA	1	1	NA	NA	NA	NA
Left MST area:TC	female	18	7	11	7	4	NA	NA	NA
Left MST area:TC	male	8	5	3	NA	3	NA	NA	NA
Left MST area:Thyroid-stimulating hormone	female	2	2	NA	NA	NA	NA	NA	NA
Left MST area:Thyroid-stimulating hormone	male	4	2	2	1	1	NA	NA	NA
Left MST area:Type 2 diabetes	female	6	5	1	NA	1	NA	NA	NA
Left MST area:Type 2 diabetes	male	4	2	2	1	1	NA	NA	NA
Left MST area:Waist circumference	male	1	NA	1	NA	1	NA	NA	NA
Left MST area:Waist circumference (adjBMI)	female	1	1	NA	NA	NA	NA	NA	NA
Left MST area:Waist circumference (adjBMI)	male	4	3	1	NA	1	NA	NA	NA
Left MST area:Waist-hip ratio	female	2	2	NA	NA	NA	NA	NA	NA
Left MST area:Waist-hip ratio (<= 50 yrs, adjBMI)	female	1	NA	1	NA	1	NA	NA	NA
Left MST area:Waist-hip ratio (> 50 yrs, adjBMI)	female	3	2	1	NA	1	NA	NA	NA
Left MST area:Waist-hip ratio (> 50 yrs, adjBMI)	male	1	1	NA	NA	NA	NA	NA	NA
Left MST area:Waist-hip ratio (adjBMI)	female	2	2	NA	NA	NA	NA	NA	NA
Left MST area:Weight	female	1	1	NA	NA	NA	NA	NA	NA
Left MST area:logTG	female	12	7	5	3	2	NA	NA	NA
Left MST area:logTG	male	10	3	7	3	4	NA	NA	NA
Left MST area:nonHDL	female	20	11	9	2	7	NA	NA	NA
Left MST area:nonHDL	male	9	4	5	1	4	NA	NA	NA
Left PoI GM thikness:Multisite chronic pain	female	1	1	NA	NA	NA	NA	NA	NA
Left PoI GM thikness:Parkinson's disease	female	2	1	1	1	NA	NA	NA	NA
Left PoI GM thikness:Right Putamen	female	3	3	NA	NA	NA	NA	NA	NA
Left PoI GM thikness:Schizophrenia	female	1	1	NA	NA	NA	NA	NA	NA
Left PoI GM thikness:Schizophrenia	male	1	NA	1	NA	1	NA	NA	NA
Left PoI GM thikness:Snoring	female	2	NA	2	2	NA	2	2	NA
Left PoI GM thikness:TC	female	22	10	12	7	5	NA	NA	NA
Left PoI GM thikness:TC	male	22	11	11	5	6	1	1	NA
Left PoI GM thikness:Thyroid-stimulating hormone	male	5	NA	5	4	1	NA	NA	NA
Left PoI GM thikness:Type 2 diabetes	female	4	1	3	2	1	NA	NA	NA
Left PoI GM thikness:Type 2 diabetes	male	10	4	6	4	2	NA	NA	NA
Left PoI GM thikness:Waist circumference	female	1	NA	1	1	NA	NA	NA	NA
Left PoI GM thikness:Waist circumference (adjBMI)	female	4	1	3	3	NA	1	1	NA
Left PoI GM thikness:Waist-hip ratio	male	1	NA	1	1	NA	NA	NA	NA
Left PoI GM thikness:Waist-hip ratio (<= 50 yrs, adjBMI)	female	1	1	NA	NA	NA	NA	NA	NA
Left PoI GM thikness:Waist-hip ratio (> 50 yrs, adjBMI)	female	1	1	NA	NA	NA	NA	NA	NA
Left PoI GM thikness:Waist-hip ratio (> 50 yrs, adjBMI)	male	1	NA	1	1	NA	NA	NA	NA
Left PoI GM thikness:Waist-hip ratio (adjBMI)	female	5	2	3	1	2	1	1	NA
Left PoI GM thikness:Waist-hip ratio (adjBMI)	male	1	NA	1	1	NA	NA	NA	NA
Left PoI GM thikness:Weight	female	1	NA	1	1	NA	NA	NA	NA
Left PoI GM thikness:logTG	female	13	6	7	6	1	NA	NA	NA
Left PoI GM thikness:logTG	male	12	8	4	2	2	1	1	NA
Left PoI GM thikness:nonHDL	female	18	9	9	6	3	NA	NA	NA
Left PoI GM thikness:nonHDL	male	17	11	6	3	3	NA	NA	NA
Left Putamen:Major Depression	female	1	NA	1	1	NA	NA	NA	NA
Left Putamen:Major Depression	male	1	1	NA	NA	NA	NA	NA	NA
Left Putamen:Multisite chronic pain	female	4	NA	4	2	2	2	2	NA
Left Putamen:Multisite chronic pain	male	1	NA	1	1	NA	1	NA	1
Left Putamen:Nonword reading	female	1	NA	1	NA	1	NA	NA	NA
Left Putamen:Nonword reading	male	1	1	NA	NA	NA	NA	NA	NA
Left Putamen:Number of children ever born	female	1	NA	1	1	NA	NA	NA	NA
Left Putamen:PTSD	female	4	2	2	2	NA	NA	NA	NA
Left Putamen:PTSD	male	1	1	NA	NA	NA	1	1	NA
Left Putamen:Parkinson's disease	female	4	2	2	NA	2	1	NA	1
Left Putamen:Parkinson's disease	male	4	3	1	1	NA	1	NA	1
Left Putamen:Performance IQ	female	1	1	NA	NA	NA	NA	NA	NA
Left Putamen:Right Putamen	female	8	NA	8	4	4	8	8	NA
Left Putamen:Right Putamen	male	3	NA	3	NA	3	3	3	NA
Left Putamen:Risk-taking behaviour	female	3	2	1	1	NA	NA	NA	NA
Left Putamen:Risk-taking behaviour	male	2	NA	2	2	NA	NA	NA	NA
Left Putamen:Schizophrenia	female	4	1	3	3	NA	1	1	NA
Left Putamen:Schizophrenia	male	4	2	2	2	NA	3	2	1
Left Putamen:Snoring	female	4	1	3	NA	3	1	NA	1
Left Putamen:Snoring	male	2	1	1	1	NA	NA	NA	NA
Left Putamen:Spelling	female	2	1	1	NA	1	1	1	NA
Left Putamen:Spelling	male	1	1	NA	NA	NA	NA	NA	NA
Left Putamen:TC	female	28	20	8	6	2	2	2	NA
Left Putamen:TC	male	29	12	17	9	8	2	1	1
Left Putamen:Thyroid-stimulating hormone	female	4	1	3	2	1	NA	NA	NA
Left Putamen:Thyroid-stimulating hormone	male	10	5	5	5	NA	NA	NA	NA
Left Putamen:Type 2 diabetes	female	5	4	1	1	NA	2	1	1
Left Putamen:Type 2 diabetes	male	5	4	1	1	NA	1	1	NA
Left Putamen:Waist circumference	female	3	1	2	2	NA	NA	NA	NA
Left Putamen:Waist circumference	male	3	3	NA	NA	NA	NA	NA	NA
Left Putamen:Waist circumference (adjBMI)	female	3	1	2	1	1	1	1	NA
Left Putamen:Waist circumference (adjBMI)	male	1	NA	1	1	NA	NA	NA	NA
Left Putamen:Waist-hip ratio	female	2	NA	2	1	1	1	1	NA
Left Putamen:Waist-hip ratio	male	3	1	2	NA	2	NA	NA	NA
Left Putamen:Waist-hip ratio (<= 50 yrs, adjBMI)	female	2	NA	2	1	1	NA	NA	NA
