CODE NOM_NUM_PLEIO_SUBSETS NOM_NUM_PLEIO_SUBSETS_EMP_P NOM_VERBOSE MARG_NUM_PLEIO_SUBSETS MARG_NUM_PLEIO_SUBSETS_EMP_P MARG_VERBOSE SMALLEST_PLEIO_P_EMP_P
100m:126m 40 0.000999 MORE 48 0.000999 MORE 0.000999
100m:136m 9 0.003 MORE 16 0.002 MORE 0.00599
100m:144m 19 0.000999 MORE 22 0.000999 MORE 0.000999
100m:151m 1 0.193 NOT 1 0.388 NOT 0.171
100m:152m 0 1 NOT 0 1 NOT 0.786
100m:157m 7 0.00899 MORE 12 0.004 MORE 0.00599
100m:163m 24 0.000999 MORE 27 0.000999 MORE 0.000999
100m:169m 1 0.225 NOT 5 0.0589 NOT 0.219
100m:175m 17 0.000999 MORE 23 0.000999 MORE 0.003
100m:181m 3 0.046 MORE 5 0.0569 NOT 0.0809
100m:187m 2 0.0939 NOT 5 0.0629 NOT 0.022
100m:4370m 0 1 NOT 1 0.405 NOT 0.39
100m:4373m 0 1 NOT 0 1 NOT 0.577
100m:49m 5 0.017 MORE 8 0.018 MORE 0.032
100m:52m 1 0.193 NOT 1 0.383 NOT 0.134
100m:97m 3 0.037 MORE 6 0.036 MORE 0.04
100m:a13m 0 1 NOT 2 0.235 NOT 0.286
100m:a1m 0 1 NOT 1 0.385 NOT 0.37
100m:a21m 3 0.0669 NOT 4 0.0949 NOT 0.101
100m:a22m 1 0.219 NOT 4 0.113 NOT 0.101
100m:a27m 2 0.937 NOT 2 0.951 NOT 0.934
100m:a28m 6 0.977 NOT 16 0.975 NOT 0.976
100m:a29m 0 1 NOT 2 0.227 NOT 0.253
100m:a30m 11 0.004 MORE 13 0.00599 MORE 0.000999
100m:a7m 0 1 NOT 1 0.375 NOT 0.235
100m:a8m 12 0.002 MORE 20 0.002 MORE 0.003
100m:a9m 1 0.23 NOT 3 0.16 NOT 0.0949
100m:ADr1um 0 1 NOT 1 0.366 NOT 0.269
100m:bm1m 0 1 NOT 0 1 NOT 0.45
100m:bm2m 0 1 NOT 0 1 NOT 0.642
100m:bm4m 0 1 NOT 0 1 NOT 0.913
100m:bm5m 3 0.041 MORE 3 0.127 NOT 0.112
100m:bm7m 3 0.0569 NOT 3 0.161 NOT 0.05
100m:bm8m 0 1 NOT 0 1 NOT 0.514
100m:ch1m 0 1 NOT 0 1 NOT 0.719
100m:ch4m 0 1 NOT 0 1 NOT 0.733
100m:ch5m 0 1 NOT 1 0.4 NOT 0.334
100m:ch6m 2 0.0949 NOT 6 0.046 MORE 0.00899
100m:l1m 17 0.000999 MORE 22 0.000999 MORE 0.000999
100m:l2m 6 0.005 MORE 10 0.00699 MORE 0.002
100m:l3m 12 0.002 MORE 24 0.000999 MORE 0.003
100m:l4m 13 0.000999 MORE 23 0.000999 MORE 0.004
100m:l5m 3 0.0689 NOT 10 0.013 MORE 0.151
100m:r10m 0 1 NOT 0 1 NOT 0.886
