CODE NOM_CON_SNPS NOM_CON_SNPS_EMP_P NOM_VERBOSE MARG_CON_SNPS MARG_CON_SNPS_EMP_P MARG_VERBOSE SMALLEST_CON_P_EMP_P
100m:126m 144 0.000999 MORE 144 0.000999 MORE 0.000999
100m:136m 144 0.000999 MORE 144 0.000999 MORE 0.000999
100m:144m 0 1 NOT 0 1 NOT 0.998
100m:151m 0 1 NOT 0 1 NOT 0.763
100m:152m 94 0.000999 MORE 120 0.000999 MORE 0.015
100m:157m 143 0.000999 MORE 144 0.000999 MORE 0.000999
100m:163m 144 0.000999 MORE 144 0.000999 MORE 0.000999
100m:169m 70 0.003 MORE 88 0.002 MORE 0.000999
100m:175m 144 0.000999 MORE 144 0.000999 MORE 0.000999
100m:181m 0 1 NOT 0 1 NOT 0.997
100m:187m 0 1 NOT 0 1 NOT 0.629
100m:4370m 0 1 NOT 2 0.421 NOT 0.372
100m:4373m 0 1 NOT 0 1 NOT 0.577
100m:49m 35 0.016 MORE 45 0.026 MORE 0.0519
100m:52m 73 0.004 MORE 87 0.00599 MORE 0.018
100m:97m 0 1 NOT 0 1 NOT 0.825
100m:a13m 0 1 NOT 0 1 NOT 0.863
100m:a1m 4 0.203 NOT 8 0.244 NOT 0.155
100m:a21m 0 1 NOT 0 1 NOT 0.985
100m:a22m 1 0.35 NOT 12 0.186 NOT 0.328
100m:a27m 1 0.956 NOT 11 0.941 NOT 0.953
100m:a28m 0 1 NOT 0 1 NOT 1
100m:a29m 2 0.26 NOT 13 0.144 NOT 0.262
100m:a30m 0 1 NOT 1 0.498 NOT 0.498
100m:a7m 0 1 NOT 0 1 NOT 0.924
100m:a8m 0 1 NOT 0 1 NOT 0.995
100m:a9m 0 1 NOT 2 0.41 NOT 0.426
100m:ADr1um 0 1 NOT 0 1 NOT 0.595
100m:bm1m 0 1 NOT 0 1 NOT 0.868
100m:bm2m 0 1 NOT 0 1 NOT 0.858
100m:bm4m 0 1 NOT 0 1 NOT 0.902
100m:bm5m 0 1 NOT 1 0.515 NOT 0.499
100m:bm7m 1 0.318 NOT 4 0.311 NOT 0.04
100m:bm8m 3 0.208 NOT 4 0.308 NOT 0.154
100m:ch1m 0 1 NOT 0 1 NOT 0.839
100m:ch4m 6 0.153 NOT 9 0.204 NOT 0.218
100m:ch5m 0 1 NOT 1 0.501 NOT 0.491
100m:ch6m 0 1 NOT 0 1 NOT 0.91
100m:l1m 88 0.002 MORE 105 0.002 MORE 0.000999
100m:l2m 0 1 NOT 2 0.442 NOT 0.408
100m:l3m 7 0.144 NOT 10 0.212 NOT 0.147
100m:l4m 0 1 NOT 0 1 NOT 0.974
100m:l5m 0 1 NOT 0 1 NOT 0.562
100m:r10m 0 1 NOT 0 1 NOT 0.618
100m:r4m 2 0.275 NOT 13 0.15 NOT 0.305
100m:r5m 0 1 NOT 0 1 NOT 0.635
100m:r8m 2 0.255 NOT 6 0.264 NOT 0.296
100m:r9m 1 0.335 NOT 9 0.185 NOT 0.171
126m:136m 144 0.000999 MORE 144 0.000999 MORE 0.000999
126m:144m 0 1 NOT 0 1 NOT 0.995
126m:151m 89 0.002 MORE 105 0.002 MORE 0.00699
126m:152m 0 1 NOT 0 1 NOT 0.871
126m:157m 144 0.000999 MORE 144 0.000999 MORE 0.000999
126m:163m 144 0.000999 MORE 144 0.000999 MORE 0.000999
126m:169m 144 0.000999 MORE 144 0.000999 MORE 0.000999
126m:175m 144 0.000999 MORE 144 0.000999 MORE 0.000999
126m:181m 0 1 NOT 0 1 NOT 0.995
126m:187m 0 1 NOT 0 1 NOT 0.995
126m:4370m 4 0.176 NOT 13 0.134 NOT 0.246
126m:4373m 81 0.002 MORE 108 0.002 MORE 0.002
126m:49m 130 0.000999 MORE 133 0.000999 MORE 0.000999
126m:52m 0 1 NOT 0 1 NOT 0.761
126m:97m 144 0.000999 MORE 144 0.000999 MORE 0.000999
126m:a13m 0 1 NOT 0 1 NOT 0.998
126m:a1m 0 1 NOT 1 0.489 NOT 0.42
126m:a21m 0 1 NOT 0 1 NOT 0.991
126m:a22m 0 1 NOT 0 1 NOT 0.995
126m:a27m 0 1 NOT 0 1 NOT 0.581
126m:a28m 0 1 NOT 0 1 NOT 0.899
126m:a29m 0 1 NOT 0 1 NOT 0.988
126m:a30m 144 0.000999 MORE 144 0.000999 MORE 0.000999
126m:a7m 28 0.037 MORE 51 0.027 MORE 0.00599
126m:a8m 0 1 NOT 0 1 NOT 0.953
126m:a9m 0 1 NOT 0 1 NOT 0.982
126m:ADr1um 0 1 NOT 0 1 NOT 0.952
126m:bm1m 12 0.0819 NOT 20 0.115 NOT 0.0929
126m:bm2m 0 1 NOT 0 1 NOT 0.961
126m:bm4m 0 1 NOT 0 1 NOT 0.682
126m:bm5m 0 1 NOT 0 1 NOT 0.517
126m:bm6m 0 1 NOT 0 1 NOT 0.951
126m:bm7m 0 1 NOT 0 1 NOT 0.9
126m:bm8m 0 1 NOT 0 1 NOT 0.762
126m:ch1m 1 0.342 NOT 8 0.222 NOT 0.303
126m:ch4m 2 0.283 NOT 2 0.423 NOT 0.11
126m:ch5m 14 0.0789 NOT 41 0.047 MORE 0.159
126m:ch6m 13 0.0839 NOT 33 0.0599 NOT 0.129
126m:l1m 0 1 NOT 0 1 NOT 0.985
126m:l2m 0 1 NOT 0 1 NOT 0.991
126m:l3m 0 1 NOT 0 1 NOT 0.994
126m:l4m 0 1 NOT 0 1 NOT 0.993
126m:l5m 0 1 NOT 0 1 NOT 0.995
126m:r10m 0 1 NOT 0 1 NOT 0.911
126m:r5m 0 1 NOT 0 1 NOT 0.739
126m:r8m 0 1 NOT 0 1 NOT 0.64
126m:r9m 82 0.000999 MORE 95 0.003 MORE 0.000999
127f:137f 144 0.000999 MORE 144 0.000999 MORE 0.000999
127f:145f 0 1 NOT 0 1 NOT 0.997
127f:153f 58 0.00699 MORE 73 0.00999 MORE 0.002
127f:154f 107 0.000999 MORE 117 0.000999 MORE 0.003
127f:159f 144 0.000999 MORE 144 0.000999 MORE 0.000999
127f:165f 144 0.000999 MORE 144 0.000999 MORE 0.000999
127f:171f 144 0.000999 MORE 144 0.000999 MORE 0.000999
127f:177f 144 0.000999 MORE 144 0.000999 MORE 0.000999
