gene	count	crossd
PRKAG3	1	Metabolic
CRYBA2	1	Metabolic
HDLBP	1	Metabolic
SYN2	1	Metabolic
TIMP4	1	Metabolic
PPARG	1	Metabolic
NBEAL2	1	Metabolic
SETD2	1	Metabolic
KIF9	1	Metabolic
SMARCC1	1	Metabolic
DHX30	1	Metabolic
MAP4	1	Metabolic
CDC25A	1	Metabolic
NME6	1	Metabolic
SPINK8	1	Metabolic
FBXW12	1	Metabolic
CCDC51	1	Metabolic
TMA7	1	Metabolic
PFKFB4	1	Metabolic
UCN2	1	Metabolic
COL7A1	1	Metabolic
UQCRC1	1	Metabolic
TMEM89	1	Metabolic
SLC26A6	1	Metabolic
BSN	1	Metabolic
APEH	1	Metabolic
RNF123	1	Metabolic
AMIGO3	1	Metabolic
GMPPB	1	Metabolic
IP6K1	1	Metabolic
CDHR4	1	Metabolic
FAM212A	1	Metabolic
UBA7	1	Metabolic
TRAIP	1	Metabolic
CAMKV	1	Metabolic
MST1R	1	Metabolic
MON1A	1	Metabolic
RBM6	1	Metabolic
RBM5	1	Metabolic
SEMA3F	1	Metabolic
GNAT1	1	Metabolic
SLC38A3	1	Metabolic
SEMA3B	1	Metabolic
LSMEM2	1	Metabolic
IFRD2	1	Metabolic
HYAL3	1	Metabolic
NAT6	1	Metabolic
HYAL2	1	Metabolic
TUSC2	1	Metabolic
CACNA2D2	1	Metabolic
HEMK1	1	Metabolic
TLR9	1	Metabolic
TWF2	1	Metabolic
PPM1M	1	Metabolic
WDR82	1	Metabolic
GLYCTK	1	Metabolic
DNAH1	1	Metabolic
BAP1	1	Metabolic
PHF7	1	Metabolic
SEMA3G	1	Metabolic
TNNC1	1	Metabolic
NISCH	1	Metabolic
STAB1	1	Metabolic
NT5DC2	1	Metabolic
SMIM4	1	Metabolic
PBRM1	1	Metabolic
GNL3	1	Metabolic
GLT8D1	1	Metabolic
SPCS1	1	Metabolic
NEK4	1	Metabolic
ITIH1	1	Metabolic
ITIH3	1	Metabolic
ITIH4	1	Metabolic
MUSTN1	1	Metabolic
TMEM110-MUSTN1	1	Metabolic
TMEM110	1	Metabolic
SFMBT1	1	Metabolic
RFT1	1	Metabolic
NR1I2	1	Metabolic
GSK3B	1	Metabolic
PPP2R3A	1	Metabolic
MSL2	1	Metabolic
PCCB	1	Metabolic
STAG1	1	Metabolic
ETV5	1	Metabolic
DGKG	1	Metabolic
AFF1	1	Metabolic
FAM13A	1	Metabolic
BANK1	1	Metabolic
SLC39A8	1	Metabolic
COL25A1	1	Metabolic
CCDC109B	1	Metabolic
PLA2G12A	1	Metabolic
PDGFC	1	Metabolic
ARL15	1	Metabolic
C5orf67	1	Metabolic
POC5	1	Metabolic
TNFAIP8	1	Metabolic
HSPA4	1	Metabolic
HLA-C	1	Metabolic
HLA-B	1	Metabolic
HLA-DRB1	1	Metabolic
HLA-DQB1	1	Metabolic
HMGA1	1	Metabolic
C6orf1	1	Metabolic
NUDT3	1	Metabolic
RPS10-NUDT3	1	Metabolic
RPS10	1	Metabolic
PACSIN1	1	Metabolic
SPDEF	1	Metabolic
C6orf106	1	Metabolic
SNRPC	1	Metabolic
UHRF1BP1	1	Metabolic
ANKS1A	1	Metabolic
TCP11	1	Metabolic
ZNF76	1	Metabolic
PPARD	1	Metabolic
CCND3	1	Metabolic
CNPY3	1	Metabolic
GNMT	1	Metabolic
PEX6	1	Metabolic
MEA1	1	Metabolic
ARMC2	1	Metabolic
C6orf183	1	Metabolic
LOC100996634	1	Metabolic
FRK	1	Metabolic
NT5DC1	1	Metabolic
RSPO3	1	Metabolic
RGS17	1	Metabolic
SLC22A2	1	Metabolic
MLLT4	1	Metabolic
HGC6.3	1	Metabolic
ADAP1	1	Metabolic
CYP2W1	1	Metabolic
C7orf50	1	Metabolic
GPR146	1	Metabolic
GPER1	1	Metabolic
ZFAND2A	1	Metabolic
FAM220A	1	Metabolic
RAC1	1	Metabolic
DAGLB	1	Metabolic
KDELR2	1	Metabolic
SNX13	1	Metabolic
SNX10	1	Metabolic
FZD9	1	Metabolic
BAZ1B	1	Metabolic
BCL7B	1	Metabolic
TBL2	1	Metabolic
MLXIPL	1	Metabolic
KLF14	1	Metabolic
GIMAP7	1	Metabolic
GIMAP4	1	Metabolic
GIMAP6	1	Metabolic
TMEM176A	1	Metabolic
AOC1	1	Metabolic
CSGALNACT1	1	Metabolic
INTS10	1	Metabolic
LPL	1	Metabolic
SLC18A1	1	Metabolic
ATP6V1B2	1	Metabolic
NCOA2	1	Metabolic
TRPS1	1	Metabolic
TRIB1	1	Metabolic
GPIHBP1	1	Metabolic
ZFP41	1	Metabolic
GLI4	1	Metabolic
ZNF696	1	Metabolic
RHPN1	1	Metabolic
TTC39B	1	Metabolic
HNRNPK	1	Metabolic
NIPSNAP3B	1	Metabolic
ABCA1	1	Metabolic
ABO	1	Metabolic
SURF4	1	Metabolic
REXO4	1	Metabolic
VIM	1	Metabolic
ALOX5	1	Metabolic
MARCH8	1	Metabolic
ZFAND4	1	Metabolic
NRBF2	1	Metabolic
JMJD1C	1	Metabolic
REEP3	1	Metabolic
EXOC6	1	Metabolic
CYP26C1	1	Metabolic
CYP26A1	1	Metabolic
CEP55	1	Metabolic
ERLIN1	1	Metabolic
CHUK	1	Metabolic
CWF19L1	1	Metabolic
BLOC1S2	1	Metabolic
GPAM	1	Metabolic
TECTB	1	Metabolic
ADRB1	1	Metabolic
SLC22A18	1	Metabolic
SPON1	1	Metabolic
RRAS2	1	Metabolic
PSMA1	1	Metabolic
