gene	count	crossd
TMEM167B	1	Metabolic
C1orf194	1	Metabolic
KIAA1324	1	Metabolic
MYBPHL	1	Metabolic
SORT1	1	Metabolic
PSMA5	1	Metabolic
SYPL2	1	Metabolic
ATXN7L2	1	Metabolic
CYB561D1	1	Metabolic
AMIGO1	1	Metabolic
GPR61	1	Metabolic
GNAI3	1	Metabolic
GNAT2	1	Metabolic
AMPD2	1	Metabolic
GSTM5	1	Metabolic
GSTM3	1	Metabolic
EPS8L3	1	Metabolic
IRF2BP2	1	Metabolic
PUM2	1	Metabolic
HS1BP3	1	Metabolic
GDF7	1	Metabolic
LDAH	1	Metabolic
EIF2B4	1	Metabolic
SNX17	1	Metabolic
ZNF513	1	Metabolic
PPM1G	1	Metabolic
IFT172	1	Metabolic
GCKR	1	Metabolic
C2orf16	1	Metabolic
ZNF512	1	Metabolic
CCDC121	1	Metabolic
GPN1	1	Metabolic
SUPT7L	1	Metabolic
MRPL33	1	Metabolic
PLEKHH2	1	Metabolic
DYNC2LI1	1	Metabolic
ABCG5	1	Metabolic
ABCG8	1	Metabolic
LRPPRC	1	Metabolic
PPM1B	1	Metabolic
CAMKMT	1	Metabolic
EHBP1	1	Metabolic
OTX1	1	Metabolic
WDPCP	1	Metabolic
IL1RN	1	Metabolic
DDX18	1	Metabolic
CCDC93	1	Metabolic
INSIG2	1	Metabolic
ACVR1C	1	Metabolic
ABCB11	1	Metabolic
KIAA2012	1	Metabolic
SUMO1	1	Metabolic
NOP58	1	Metabolic
BMPR2	1	Metabolic
ICA1L	1	Metabolic
WDR12	1	Metabolic
CARF	1	Metabolic
NBEAL1	1	Metabolic
CYP20A1	1	Metabolic
ABI2	1	Metabolic
TSEN2	1	Metabolic
MKRN2	1	Metabolic
RAF1	1	Metabolic
CMTM6	1	Metabolic
DYNC1LI1	1	Metabolic
ABHD6	1	Metabolic
RPP14	1	Metabolic
PXK	1	Metabolic
PDHB	1	Metabolic
CSTA	1	Metabolic
CCDC58	1	Metabolic
FAM162A	1	Metabolic
WDR5B	1	Metabolic
KPNA1	1	Metabolic
PARP9	1	Metabolic
DTX3L	1	Metabolic
DNAJC13	1	Metabolic
ACAD11	1	Metabolic
ACKR4	1	Metabolic
UBA5	1	Metabolic
NPHP3	1	Metabolic
RGS12	1	Metabolic
HGFAC	1	Metabolic
DOK7	1	Metabolic
TMPRSS11E	1	Metabolic
UGT2B15	1	Metabolic
ADH1B	1	Metabolic
PELO	1	Metabolic
ITGA1	1	Metabolic
GCNT4	1	Metabolic
ANKRD31	1	Metabolic
HMGCR	1	Metabolic
COL4A3BP	1	Metabolic
POLK	1	Metabolic
ANKDD1B	1	Metabolic
CSNK1G3	1	Metabolic
TIMD4	1	Metabolic
HAVCR1	1	Metabolic
MYLIP	1	Metabolic
LRRC16A	1	Metabolic
SCGN	1	Metabolic
SLC17A4	1	Metabolic
SLC17A1	1	Metabolic
SLC17A3	1	Metabolic
SLC17A2	1	Metabolic
TRIM38	1	Metabolic
HIST1H1A	1	Metabolic
HIST1H3A	1	Metabolic
HIST1H4A	1	Metabolic
HIST1H4B	1	Metabolic
HIST1H3B	1	Metabolic
HIST1H1C	1	Metabolic
HFE	1	Metabolic
HIST1H4C	1	Metabolic
HIST1H2BC	1	Metabolic
HIST1H2AC	1	Metabolic
GPX5	1	Metabolic
PSORS1C1	1	Metabolic
PSORS1C2	1	Metabolic
CCHCR1	1	Metabolic
TCF19	1	Metabolic
POU5F1	1	Metabolic
MICA	1	Metabolic
HLA-DRA	1	Metabolic
HLA-DOB	1	Metabolic
TAP2	1	Metabolic
PSMB9	1	Metabolic
ACAT2	1	Metabolic
MAS1	1	Metabolic
IGF2R	1	Metabolic
SLC22A1	1	Metabolic
MAP3K4	1	Metabolic
AGPAT4	1	Metabolic
COX19	1	Metabolic
SP4	1	Metabolic
DNAH11	1	Metabolic
NPC1L1	1	Metabolic
DDX56	1	Metabolic
TMED4	1	Metabolic
OGDH	1	Metabolic
GNB2	1	Metabolic
GIGYF1	1	Metabolic
POP7	1	Metabolic
EPO	1	Metabolic
NAT2	1	Metabolic
UBXN2B	1	Metabolic
CYP7A1	1	Metabolic
SDCBP	1	Metabolic
NSMAF	1	Metabolic
PLEC	1	Metabolic
PARP10	1	Metabolic
GRINA	1	Metabolic
SPATC1	1	Metabolic
VLDLR	1	Metabolic
DENND4C	1	Metabolic
RPS6	1	Metabolic
PKN3	1	Metabolic
ZER1	1	Metabolic
TBC1D13	1	Metabolic
LRRC8A	1	Metabolic
GBGT1	1	Metabolic
LOC101928193	1	Metabolic
OBP2B	1	Metabolic
SURF6	1	Metabolic
MED22	1	Metabolic
RPL7A	1	Metabolic
SURF1	1	Metabolic
STKLD1	1	Metabolic
ADAMTS13	1	Metabolic
CACFD1	1	Metabolic
SLC2A6	1	Metabolic
PNLIPRP2	1	Metabolic
CUZD1	1	Metabolic
FAM24B	1	Metabolic
FAM24A	1	Metabolic
C10orf88	1	Metabolic
SPTY2D1	1	Metabolic
RPUSD4	1	Metabolic
FAM118B	1	Metabolic
TIRAP	1	Metabolic
KRAS	1	Metabolic
SELPLG	1	Metabolic
CORO1C	1	Metabolic
SSH1	1	Metabolic
CUX2	1	Metabolic
FAM109A	1	Metabolic
ERP29	1	Metabolic
C12orf43	1	Metabolic
OASL	1	Metabolic
BRCA2	1	Metabolic
N4BP2L1	1	Metabolic
GAS6	1	Metabolic
NYNRIN	1	Metabolic
COX16	1	Metabolic
SYNJ2BP-COX16	1	Metabolic
SYNJ2BP	1	Metabolic
MED6	1	Metabolic
PPP4R4	1	Metabolic
SERPINA6	1	Metabolic
SERPINA2	1	Metabolic
SERPINA1	1	Metabolic
ZNF19	1	Metabolic
TAT	1	Metabolic
MARVELD3	1	Metabolic
PHLPP2	1	Metabolic
AP1G1	1	Metabolic
ATXN1L	1	Metabolic
ZNF821	1	Metabolic
IST1	1	Metabolic
PKD1L3	1	Metabolic
DHODH	1	Metabolic
HP	1	Metabolic
HPR	1	Metabolic
TXNL4B	1	Metabolic
DHX38	1	Metabolic
PMFBP1	1	Metabolic
OSGIN1	1	Metabolic
ASGR2	1	Metabolic
ASGR1	1	Metabolic
DLG4	1	Metabolic
ACADVL	1	Metabolic
DVL2	1	Metabolic
SLC2A4	1	Metabolic
YBX2	1	Metabolic
TMEM97	1	Metabolic
TNFAIP1	1	Metabolic
POLDIP2	1	Metabolic
TMEM199	1	Metabolic
SEBOX	1	Metabolic
VTN	1	Metabolic
SARM1	1	Metabolic
SLC46A1	1	Metabolic
PIGS	1	Metabolic
SPAG5	1	Metabolic
SGK494	1	Metabolic
SDF2	1	Metabolic
SUPT6H	1	Metabolic
PROCA1	1	Metabolic
RAB34	1	Metabolic
NARR	1	Metabolic
RPL23A	1	Metabolic
TLCD1	1	Metabolic
NEK8	1	Metabolic
OMG	1	Metabolic
EVI2B	1	Metabolic
EVI2A	1	Metabolic
ITGB3	1	Metabolic
EFCAB13	1	Metabolic
TBKBP1	1	Metabolic
TBX21	1	Metabolic
PRAC2	1	Metabolic
PRKCA	1	Metabolic
ABCA9	1	Metabolic
ABCA6	1	Metabolic
ABCA10	1	Metabolic
ABCA5	1	Metabolic
MAP2K6	1	Metabolic
H3F3B	1	Metabolic
RHBDF2	1	Metabolic
ZGLP1	1	Metabolic
FDX1L	1	Metabolic
RAVER1	1	Metabolic
CDC37	1	Metabolic
ATG4D	1	Metabolic
KRI1	1	Metabolic
CDKN2D	1	Metabolic
AP1M2	1	Metabolic
SLC44A2	1	Metabolic
ILF3	1	Metabolic
QTRT1	1	Metabolic
DNM2	1	Metabolic
TMED1	1	Metabolic
C19orf38	1	Metabolic
CARM1	1	Metabolic
YIPF2	1	Metabolic
C19orf52	1	Metabolic
SMARCA4	1	Metabolic
LDLR	1	Metabolic
SWSAP1	1	Metabolic
EPOR	1	Metabolic
IFI30	1	Metabolic
MPV17L2	1	Metabolic
RAB3A	1	Metabolic
PDE4C	1	Metabolic
HOMER3	1	Metabolic
SUGP2	1	Metabolic
ARMC6	1	Metabolic
SLC25A42	1	Metabolic
TMEM161A	1	Metabolic
MEF2B	1	Metabolic
MEF2BNB-MEF2B	1	Metabolic
MEF2BNB	1	Metabolic
RFXANK	1	Metabolic
NR2C2AP	1	Metabolic
NCAN	1	Metabolic
HAPLN4	1	Metabolic
TM6SF2	1	Metabolic
SUGP1	1	Metabolic
MAU2	1	Metabolic
GATAD2A	1	Metabolic
TSSK6	1	Metabolic
NDUFA13	1	Metabolic
YJEFN3	1	Metabolic
CILP2	1	Metabolic
PBX4	1	Metabolic
LPAR2	1	Metabolic
GMIP	1	Metabolic
ATP13A1	1	Metabolic
ZNF101	1	Metabolic
ZNF14	1	Metabolic
ZNF253	1	Metabolic
ZNF90	1	Metabolic
ZNF486	1	Metabolic
CYP2A6	1	Metabolic
LYPD5	1	Metabolic
ZNF221	1	Metabolic
ZNF155	1	Metabolic
ZNF222	1	Metabolic
ZNF223	1	Metabolic
ZNF234	1	Metabolic
ZNF226	1	Metabolic
ZNF227	1	Metabolic
ZNF233	1	Metabolic
ZNF235	1	Metabolic
ZNF112	1	Metabolic
ZNF285	1	Metabolic
ZNF229	1	Metabolic
ZNF180	1	Metabolic
CEACAM20	1	Metabolic
IGSF23	1	Metabolic
PVR	1	Metabolic
CEACAM16	1	Metabolic
CLASRP	1	Metabolic
ZNF296	1	Metabolic
GEMIN7	1	Metabolic
PPP1R37	1	Metabolic
NKPD1	1	Metabolic
TRAPPC6A	1	Metabolic
EXOC3L2	1	Metabolic
MARK4	1	Metabolic
CKM	1	Metabolic
PPP1R13L	1	Metabolic
CD3EAP	1	Metabolic
ERCC1	1	Metabolic
VASP	1	Metabolic
OPA3	1	Metabolic
GPR4	1	Metabolic
EML2	1	Metabolic
DMPK	1	Metabolic
DMWD	1	Metabolic
SULT2B1	1	Metabolic
FAM83E	1	Metabolic
SPACA4	1	Metabolic
RPL18	1	Metabolic
SPHK2	1	Metabolic
DBP	1	Metabolic
CA11	1	Metabolic
NTN5	1	Metabolic
FUT2	1	Metabolic
MAMSTR	1	Metabolic
RASIP1	1	Metabolic
IZUMO1	1	Metabolic
FUT1	1	Metabolic
FGF21	1	Metabolic
ZNF587B	1	Metabolic
ZSCAN18	1	Metabolic
ZNF329	1	Metabolic
CEP250	1	Metabolic
C20orf173	1	Metabolic
ERGIC3	1	Metabolic
SPAG4	1	Metabolic
CPNE1	1	Metabolic
RBM12	1	Metabolic
NFS1	1	Metabolic
ROMO1	1	Metabolic
RBM39	1	Metabolic
PHF20	1	Metabolic
SCAND1	1	Metabolic
CNBD2	1	Metabolic
TOP1	1	Metabolic
PLCG1	1	Metabolic
ZHX3	1	Metabolic
LPIN3	1	Metabolic
SOD1	1	Metabolic
SCAF4	1	Metabolic
HMGN1	1	Metabolic
CELA3A	1	Metabolic
TCEA3	1	Metabolic
ASAP3	1	Metabolic
SYF2	1	Metabolic
RSRP1	1	Metabolic
RPL5	1	Metabolic
SDC1	1	Metabolic
DPYSL5	1	Metabolic
MAPRE3	1	Metabolic
EMILIN1	1	Metabolic
KHK	1	Metabolic
CGREF1	1	Metabolic
ABHD1	1	Metabolic
PREB	1	Metabolic
TCF23	1	Metabolic
SLC5A6	1	Metabolic
ATRAID	1	Metabolic
CAD	1	Metabolic
SLC30A3	1	Metabolic
DNAJC5G	1	Metabolic
TRIM54	1	Metabolic
UCN	1	Metabolic
MPV17	1	Metabolic
GTF3C2	1	Metabolic
NRBP1	1	Metabolic
KRTCAP3	1	Metabolic
FNDC4	1	Metabolic
SLC4A1AP	1	Metabolic
RBKS	1	Metabolic
BRE	1	Metabolic
THADA	1	Metabolic
IL1F10	1	Metabolic
ACMSD	1	Metabolic
CCNT2	1	Metabolic
MAP3K19	1	Metabolic
RAB3GAP1	1	Metabolic
UGT1A8	1	Metabolic
UGT1A10	1	Metabolic
UGT1A9	1	Metabolic
UGT1A7	1	Metabolic
UGT1A6	1	Metabolic
UGT1A5	1	Metabolic
UGT1A4	1	Metabolic
UGT1A3	1	Metabolic
DNAJB3	1	Metabolic
UGT1A1	1	Metabolic
MROH2A	1	Metabolic
MKRN2OS	1	Metabolic
KCTD6	1	Metabolic
IFT80	1	Metabolic
SMC4	1	Metabolic
TRIM59	1	Metabolic
ADH4	1	Metabolic
TRMT10A	1	Metabolic
MTTP	1	Metabolic
SGCD	1	Metabolic
HAVCR2	1	Metabolic
ITK	1	Metabolic
RGS14	1	Metabolic
RREB1	1	Metabolic
MUC22	1	Metabolic
CDSN	1	Metabolic
MICB	1	Metabolic
MCCD1	1	Metabolic
DDX39B	1	Metabolic
ATP6V1G2	1	Metabolic
NFKBIL1	1	Metabolic
LST1	1	Metabolic
NCR3	1	Metabolic
AIF1	1	Metabolic
LY6G6D	1	Metabolic
LY6G6C	1	Metabolic
C6orf25	1	Metabolic
DDAH2	1	Metabolic
C4A	1	Metabolic
PRRT1	1	Metabolic
PPT2	1	Metabolic
EGFL8	1	Metabolic
HLA-DQA2	1	Metabolic
HLA-DQB2	1	Metabolic
SCUBE3	1	Metabolic
DEF6	1	Metabolic
SLC12A9	1	Metabolic
TRIP6	1	Metabolic
SRRT	1	Metabolic
UFSP1	1	Metabolic
ACHE	1	Metabolic
AGPAT5	1	Metabolic
RAB2A	1	Metabolic
HK1	1	Metabolic
PLCE1	1	Metabolic
ZDHHC6	1	Metabolic
PSTK	1	Metabolic
BEST1	1	Metabolic
B4GALNT3	1	Metabolic
LIMA1	1	Metabolic
DIP2B	1	Metabolic
ATF1	1	Metabolic
SPPL3	1	Metabolic
RGS6	1	Metabolic
TCF12	1	Metabolic
USP3	1	Metabolic
CALB2	1	Metabolic
ZNF23	1	Metabolic
CHST4	1	Metabolic
TM4SF5	1	Metabolic
VMO1	1	Metabolic
GLTPD2	1	Metabolic
ARHGEF15	1	Metabolic
KIAA0100	1	Metabolic
ATAD5	1	Metabolic
TEFM	1	Metabolic
ADAP2	1	Metabolic
NF1	1	Metabolic
HOXB13	1	Metabolic
SGTA	1	Metabolic
THOP1	1	Metabolic
ZNF554	1	Metabolic
S1PR5	1	Metabolic
SSBP4	1	Metabolic
C19orf60	1	Metabolic
CRLF1	1	Metabolic
TMEM59L	1	Metabolic
UPF1	1	Metabolic
COPE	1	Metabolic
SNRPD2	1	Metabolic
FCGRT	1	Metabolic
RCN3	1	Metabolic
ZNF552	1	Metabolic
ZNF587	1	Metabolic
ZNF814	1	Metabolic
CHD6	1	Metabolic
PKIG	1	Metabolic
PSMG1	1	Metabolic
BRWD1	1	Metabolic
TOM1	1	Metabolic
PNPLA3	1	Metabolic
SAMM50	1	Metabolic
CDKN2C	1	Metabolic
WNT2B	1	Metabolic
ST7L	1	Metabolic
CAPZA1	1	Metabolic
MOV10	1	Metabolic
RHOC	1	Metabolic
HAX1	1	Metabolic
KCNK3	1	Metabolic
SLC35F6	1	Metabolic
CENPA	1	Metabolic
TMEM214	1	Metabolic
AGBL5	1	Metabolic
OST4	1	Metabolic
PRR30	1	Metabolic
FOSL2	1	Metabolic
RAB1A	1	Metabolic
SLC38A11	1	Metabolic
ZAK	1	Metabolic
CTDSP1	1	Metabolic
RQCD1	1	Metabolic
PLCD4	1	Metabolic
ZNF142	1	Metabolic
BCS1L	1	Metabolic
RNF25	1	Metabolic
STK36	1	Metabolic
CYP27A1	1	Metabolic
SLC2A2	1	Metabolic
TNFSF10	1	Metabolic
MSANTD1	1	Metabolic
LRPAP1	1	Metabolic
DCAF16	1	Metabolic
LCORL	1	Metabolic
MAPK10	1	Metabolic
PTPN13	1	Metabolic
SLC10A6	1	Metabolic
C4orf36	1	Metabolic
KLHL8	1	Metabolic
HSD17B13	1	Metabolic
ADH5	1	Metabolic
ZCCHC10	1	Metabolic
LY6G5C	1	Metabolic
C4B	1	Metabolic
CYP21A2	1	Metabolic
AGPAT1	1	Metabolic
TAP1	1	Metabolic
SLC39A7	1	Metabolic
HSD17B8	1	Metabolic
VPS52	1	Metabolic
GSTA2	1	Metabolic
GSTA1	1	Metabolic
GSTA5	1	Metabolic
MYL7	1	Metabolic
GCK	1	Metabolic
YKT6	1	Metabolic
CALN1	1	Metabolic
TYW1B	1	Metabolic
POM121	1	Metabolic
NSUN5	1	Metabolic
TRIM50	1	Metabolic
FKBP6	1	Metabolic
VPS37D	1	Metabolic
DNAJC30	1	Metabolic
WBSCR22	1	Metabolic
STX1A	1	Metabolic
ABHD11	1	Metabolic
CPA1	1	Metabolic
CEP41	1	Metabolic
C8orf74	1	Metabolic
SOX7	1	Metabolic
PINX1	1	Metabolic
XKR6	1	Metabolic
MTMR9	1	Metabolic
BLK	1	Metabolic
GATA4	1	Metabolic
LOC101929490	1	Metabolic
NEIL2	1	Metabolic
FDFT1	1	Metabolic
CTSB	1	Metabolic
DEFB136	1	Metabolic
DEFB135	1	Metabolic
DEFB134	1	Metabolic
EYA1	1	Metabolic
AKR1C4	1	Metabolic
A1CF	1	Metabolic
SRGN	1	Metabolic
HKDC1	1	Metabolic
PLA2G12B	1	Metabolic
ARNTL	1	Metabolic
CHRM4	1	Metabolic
EEF1G	1	Metabolic
TUT1	1	Metabolic
MTA2	1	Metabolic
EML3	1	Metabolic
ROM1	1	Metabolic
B3GAT3	1	Metabolic
GPR137	1	Metabolic
KCNK4	1	Metabolic
TEX40	1	Metabolic
PPP2R1B	1	Metabolic
ALG9	1	Metabolic
FDXACB1	1	Metabolic
C11orf1	1	Metabolic
CRYAB	1	Metabolic
HSPB2	1	Metabolic
SLCO1B1	1	Metabolic
SLCO1A2	1	Metabolic
RFX4	1	Metabolic
RIC8B	1	Metabolic
TGDS	1	Metabolic
GPR180	1	Metabolic
LINC00452	1	Metabolic
RASA3	1	Metabolic
PLA2G4D	1	Metabolic
TGM5	1	Metabolic
ZSCAN29	1	Metabolic
CKMT1A	1	Metabolic
ELL3	1	Metabolic
SERF2	1	Metabolic
SERINC4	1	Metabolic
HYPK	1	Metabolic
MFAP1	1	Metabolic
WDR76	1	Metabolic
LACTB	1	Metabolic
FBXL22	1	Metabolic
PDXDC1	1	Metabolic
C16orf45	1	Metabolic
ORAI3	1	Metabolic
PRSS36	1	Metabolic
NFAT5	1	Metabolic
NQO1	1	Metabolic
NOB1	1	Metabolic
WWP2	1	Metabolic
TLCD2	1	Metabolic
PELP1	1	Metabolic
ARRB2	1	Metabolic
MINK1	1	Metabolic
CHRNE	1	Metabolic
C17orf107	1	Metabolic
SPAG7	1	Metabolic
CAMTA2	1	Metabolic
INCA1	1	Metabolic
RABEP1	1	Metabolic
NUP88	1	Metabolic
RPAIN	1	Metabolic
PEMT	1	Metabolic
ABHD15	1	Metabolic
TP53I13	1	Metabolic
NAGLU	1	Metabolic
HSD17B1	1	Metabolic
COASY	1	Metabolic
MLX	1	Metabolic
PSMC3IP	1	Metabolic
FAM134C	1	Metabolic
TUBG1	1	Metabolic
PLEKHH3	1	Metabolic
C17orf105	1	Metabolic
SNX11	1	Metabolic
ZNF652	1	Metabolic
RPS6KB1	1	Metabolic
RNFT1	1	Metabolic
BPTF	1	Metabolic
C17orf58	1	Metabolic
KPNA2	1	Metabolic
C18orf8	1	Metabolic
NPC1	1	Metabolic
INSR	1	Metabolic
LRRC8E	1	Metabolic
MAP2K7	1	Metabolic
TGFBR3L	1	Metabolic
CEBPG	1	Metabolic
HPN	1	Metabolic
NOSIP	1	Metabolic
PRRG2	1	Metabolic
PRR12	1	Metabolic
ZNF579	1	Metabolic
FIZ1	1	Metabolic
ZNF524	1	Metabolic
ZNF865	1	Metabolic
WFDC11	1	Metabolic
RGS19	1	Metabolic
OPRL1	1	Metabolic
LKAAEAR1	1	Metabolic
BAIAP2L2	1	Metabolic
KDELR3	1	Metabolic
DDX17	1	Metabolic
DMC1	1	Metabolic
FAM227A	1	Metabolic
CBY1	1	Metabolic
TOMM22	1	Metabolic
JOSD1	1	Metabolic
GTPBP1	1	Metabolic
SUN2	1	Metabolic
CDPF1	1	Metabolic
PKDREJ	1	Metabolic
TSACC	1	Metabolic
C9orf163	1	Metabolic
NKIRAS2	1	Disease
ZNF385C	1	Disease
HIST1H1E	1	Disease
HIST1H2BD	1	Disease
HIST1H3D	1	Disease
HIST1H2AD	1	Disease
HIST1H2BF	1	Disease
HIST1H4E	1	Disease
HIST1H2BH	1	Disease
HIST1H3G	1	Disease
BTN3A2	1	Disease
BTN2A2	1	Disease
BTN3A1	1	Disease
BTN3A3	1	Disease
BTN2A1	1	Disease
BTN1A1	1	Disease
HMGN4	1	Disease
ABT1	1	Disease
ZNF322	1	Disease
HIST1H2BJ	1	Disease
HIST1H4I	1	Disease
PRSS16	1	Disease
POM121L2	1	Disease
ZNF391	1	Disease
ZNF184	1	Disease
HIST1H2BL	1	Disease
HIST1H2AI	1	Disease
HIST1H3H	1	Disease
HIST1H2AJ	1	Disease
HIST1H2BM	1	Disease
HIST1H4J	1	Disease
HIST1H4K	1	Disease
HIST1H2BN	1	Disease
HIST1H2AK	1	Disease
HIST1H2AL	1	Disease
HIST1H1B	1	Disease
HIST1H3I	1	Disease
HIST1H4L	1	Disease
HIST1H3J	1	Disease
HIST1H2AM	1	Disease
HIST1H2BO	1	Disease
OR2B2	1	Disease
ZNF165	1	Disease
ZSCAN16	1	Disease
ZKSCAN8	1	Disease
ZSCAN9	1	Disease
ZKSCAN4	1	Disease
ZSCAN26	1	Disease
PGBD1	1	Disease
ZSCAN12	1	Disease
ZSCAN23	1	Disease
TRIM27	1	Disease
ZNF311	1	Disease
OR2W1	1	Disease
OR2B3	1	Disease
OR2J2	1	Disease
OR14J1	1	Disease
OR12D3	1	Disease
OR11A1	1	Disease
OR10C1	1	Disease
OR2H1	1	Disease
MAS1L	1	Disease
UBD	1	Disease
OR2H2	1	Disease
ABCF1	1	Disease
PPP1R10	1	Disease
FAM63B	1	Disease
FURIN	1	Disease
FES	1	Disease
SYNE4	1	Condition
ALKBH6	1	Condition
LOC101927572	1	Condition
CLIP3	1	Condition
JAM2	1	Condition
