sid	PMID	Year	File	Website	Consortium	Domain	ChapterLevel	SubchapterLevel	Trait	uniqTrait	Population	Ncase	Ncontrol	N	Genome	Nsnps	sex	Info	Notes
a5m	29077507	2018	https://personal.broadinstitute.org/ryank/chen_and_cade_et_al_2018_ahi_3_percent_combined_males.zip						Sleep apnea		Mix						male		
a6m	34122051	2021	https://www.niagads.org/system/tdf/public_docs/ADGC.phase12.sex1_.grm_.assoc_.logistic_p-value.gz?file=1&type=field_collection_item&id=183&force=		ADGC				Alzheimer		EUR	4010	4672	8682	GRCh38	38043163	male		
a7m	33901317	2021	https://drive.google.com/u/0/uc?id=1C9Tn-glwSOsJRGv8WCXMoMbQ6DQ8EiJE&export=download						Parkinson		EUR	13020	89660	102680			male		
a8m	30297969	2018	SHA1:b7638707f0c5302442a7faeff4bf88a81610fe21, MD5:a1999595056edf6971ede4ea7473951b	http://diagram-consortium.org/downloads.html 					T2D		EUR	41846	383767				male		
a9m	29325848	2018	https://figshare.com/ndownloader/files/35310532		PGC, iPSYCH				AHDH		EUR	14154	17948	32102			male		
a10m			http://134.160.84.25:8080/download/Gastric_cancer_stratified_meta						Gastric Cancer								male		not stratified
a11m			http://134.160.84.25:8080/download/Glaucoma_stratified_meta						Glaucoma								male		not stratified
a12m			http://134.160.84.25:8080/download/Ischemic_stroke_stratified_meta						Ischemic stroke								male		not stratified
a13m	36474045	2022	https://personal.broadinstitute.org/ryank/Aragam_2022_CARDIoGRAM_CAD_GWAS.zip						CAD		EUR	83210	437690	559628			male		
a14m	23754948	2013	https://portals.broadinstitute.org/collaboration/giant/images/3/30/GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_BMI_MEN_N.txt						BMI								male		
a15m	23754948	2013	https://portals.broadinstitute.org/collaboration/giant/images/5/5c/GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_HEIGHT_MEN_N.txt						height								male		
a16m	23754948	2013	https://portals.broadinstitute.org/collaboration/giant/images/a/a9/GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_HIP_MEN_N.txt						HIP								male		
a17m	23754948	2013	https://portals.broadinstitute.org/collaboration/giant/images/2/2f/GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_HIPadjBMI_MEN_N.txt						HIPadjBMI								male		
a18m	23754948	2013	https://portals.broadinstitute.org/collaboration/giant/images/0/08/GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_WCadjBMI_MEN_N.txt						WCadjBMI								male		
a19m	23754948	2013	https://portals.broadinstitute.org/collaboration/giant/images/f/f8/GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_WEIGHT_MEN_N.txt						Weight								male		
a20m	23754948	2013	https://portals.broadinstitute.org/collaboration/giant/images/f/f7/GIANT_Randall2013PlosGenet_stage1_publicrelease_HapMapCeuFreq_WHRadjBMI_MEN_N.txt						WHRadjBMI								male		
a21m	33510174	2021	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90007001-GCST90008000/GCST90007528/GCST90007528_buildGRCh37.tsv.gz						Grip strength measurement/ Muscle weakness		EUR	14007	107048	121055			male		
a22m	32060260	2020	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST009001-GCST010000/GCST009762/Campos_prePMID_Snoring-malesOnly.gz						Snoring			90806	99165	189971			male		
a23m	30239722	2019	https://zenodo.org/record/1251813/files/bmi.giant-ukbb.meta-analysis.males.23May2018.txt.gz?download=1						BMI					374756			male		we can use GWAS Atlas (GIANT only)
a24m	30239722	2019	https://zenodo.org/record/1251813/files/whr.giant-ukbb.meta-analysis.males.23May2018.txt.gz?download=1						WHR					316772			male		
a25m	30239722	2019	https://zenodo.org/record/1251813/files/whradjbmi.giant-ukbb.meta-analysis.males.23May2018.txt.gz?download=1						WHRadjBMI					315284			male		
a26m	34446064	2021	https://personal.broadinstitute.org/ryank/cade_et_al_2021.zip						Sleep apnea		EUR			1546			male		
a27m	33402679	2021	https://magicinvestigators.org/downloads/FG_male_1000G_density_formatted_21-03-29.txt.gz						Fasting glucose					67506			male		
a28m	33402679	2021	https://magicinvestigators.org/downloads/FI_male_1000G_density_formatted_21-03-29.txt.gz		MAGIC				Fasting insuline					47806			male		
a29m	33830993	2021	https://researchdata.gla.ac.uk/1050/2/male_chronic_pain-bgen.stats.gz		UKBB				Multisite chronic pain		EUR			178556			male		
