id	PMID	Year	File	Website	Consortium	Domain	ChapterLevel	SubchapterLevel	Trait	uniqTrait	Population	Ncase	Ncontrol	N	Genome	Nsnps	Nhits	SNPh2	SNPh2_se	SNPh2_z	SNPh2_l	SNPh2_l_se	LambdaGC	Chi2	Intercept	Note	DateAdded	DateLastModified	sex
169	25673412	2015	http://portals.broadinstitute.org/collaboration/giant/images/5/5a/GIANT_2015_WC_MALES_EUR.txt.gz	http://www.broadinstitute.org/collaboration/giant	GIANT	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Waist circumference (male)	Waist circumference	EUR	NA	NA	104406	rsID	2300916	15	0.1628	0.0101	16.11881188	NA	NA	0.9986	1.0653	0.8716	European ancestry male only, joint GWAS and metabochip analysis.	7/4/2017	7/4/2017	male
175	25673412	2015	http://portals.broadinstitute.org/collaboration/giant/images/9/93/GIANT_2015_WCadjBMI_MALES_EUR.txt.gz	http://www.broadinstitute.org/collaboration/giant	GIANT	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Waist circumference (male, adjusted for BMI)	Waist circumference	EUR	NA	NA	104079	hg18	2294763	30	0.1702	0.0113	15.0619469	NA	NA	1.0466	1.0883	0.8823	European ancestry male only, joint GWAS and metabochip analysis.	7/4/2017	7/4/2017	male
52	27798627	2016	http://sociogenome.com/material/GWASresults/NumberChildrenEverBorn_Male.txt.gz	http://www.thessgac.org/data	SSGAC	Reproduction	Genitourinary and Reproductive Functions	Procreation Functions	Number of children ever born (male)	Number of children ever born	EUR	NA	NA	103909	hg19	2470443	1	0.0346	0.0049	7.06122449	NA	NA	1.0405	1.041	0.9713	GWAS summry statistics (only male) excluding 23andMe cohort. The number of risk loci reported in the original study is 12 (from two phenotype, Age at first birth and Number of children ever borm).	7/4/2017	7/4/2017	male
157	25673412	2015	http://portals.broadinstitute.org/collaboration/giant/images/2/20/GIANT_2015_HIP_MALES_EUR.txt.gz	http://www.broadinstitute.org/collaboration/giant	GIANT	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Hip circumference (male)	Hip circumference	EUR	NA	NA	94790	rsID	2213019	16	0.1739	0.0127	13.69291339	NA	NA	1.0466	1.0831	0.8846	European ancestry male only, joint GWAS and metabochip analysis.	7/4/2017	7/4/2017	male
181	25673412	2015	http://portals.broadinstitute.org/collaboration/giant/images/f/fd/GIANT_2015_WHR_MALES_EUR.txt.gz	http://www.broadinstitute.org/collaboration/giant	GIANT	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Waist-hip ratio (male)	Waist-hip ratio	EUR	NA	NA	94434	hg18	2207374	6	0.134	0.0099	13.53535354	NA	NA	1.0466	1.0476	0.896	European ancestry male only, joint GWAS and metabochip analysis.	7/4/2017	7/4/2017	male
163	25673412	2015	http://portals.broadinstitute.org/collaboration/giant/images/5/5f/GIANT_2015_HIPadjBMI_MALES_EUR.txt.gz	http://www.broadinstitute.org/collaboration/giant	GIANT	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Hip circumference (male, adjusted for BMI)	Hip circumference	EUR	NA	NA	93965	hg18	2188700	36	0.1932	0.0138	14	NA	NA	1.0466	1.1064	0.8783	European ancestry male only, joint GWAS and metabochip analysis.	7/4/2017	7/4/2017	male
187	25673412	2015	http://portals.broadinstitute.org/collaboration/giant/images/1/14/GIANT_2015_WHRadjBMI_MALES_EUR.txt.gz	http://www.broadinstitute.org/collaboration/giant	GIANT	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Waist-hip ratio (male, adjusted for BMI)	Waist-hip ratio	EUR	NA	NA	93480	rsID	2145386	6	0.124	0.0099	12.52525253	NA	NA	1.0466	1.05	0.9084	European ancestry male only, joint GWAS and metabochip analysis.	7/4/2017	7/4/2017	male
149	26426971	2015	http://portals.broadinstitute.org/collaboration/giant/images/7/77/BMI.WOMEN.GT50.publicrelease.txt.gz	http://www.broadinstitute.org/collaboration/giant	GIANT	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Body Mass Index (female > 50 yrs)	Body Mass Index	EUR	NA	NA	88625		2406288	19	0.1695	0.0086	19.70930233	NA	NA	1.1459	1.2267	0.9397	Discover phase.	7/4/2017	7/4/2017	female
153	26426971	2015	http://portals.broadinstitute.org/collaboration/giant/images/6/62/WHRADJ.WOMEN.GT50.publicrelease.txt.gz	http://www.broadinstitute.org/collaboration/giant	GIANT	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Waist-hip ratio (female > 50 yrs, adjusted for BMI)	Waist-hip ratio	EUR	NA	NA	88625		2365263	16	0.1132	0.012	9.433333333	NA	NA	1.0466	1.0607	0.9389	Discover phase.	7/4/2017	7/4/2017	female
147	26426971	2015	http://portals.broadinstitute.org/collaboration/giant/images/7/7d/BMI.MEN.GT50.publicrelease.txt.gz	http://www.broadinstitute.org/collaboration/giant	GIANT	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Body Mass Index (male > 50 yrs)	Body Mass Index	EUR	NA	NA	74324		2406283	19	0.1638	0.0104	15.75	NA	NA	1.1459	1.2149	0.9823	Discover phase.	7/4/2017	7/4/2017	male
