sid	id	Trait	uniqTrait	N	Ncontrol	Ncase	sex	source	uniqTrait_	sTrait	PMID	uniqValue	pair	pair_m_f	TYPE	trait_name_clean	type
183f	183	Waist-hip ratio  (atlas)	Waist-hip ratio	118004	NA	NA	female	atlas	Waist-hip ratio	Waist-hip ratio  (atlas) [female]	25673412	Waist-hip ratio  (atlas) 25673412	181m 183f	181m 183f	Antropometric	Waist-hip ratio	BIN
187m	187	Waist-hip ratio (adjusted for BMI) (atlas)	Waist-hip ratio	93480	NA	NA	male	atlas	Waist-hip ratio	Waist-hip ratio (adjusted for BMI) (atlas) [male]	25673412	Waist-hip ratio (adjusted for BMI) (atlas) 25673412	187m 189f	187m 189f	Antropometric	Waist-hip ratio (adjBMI)	BIN
189f	189	Waist-hip ratio (adjusted for BMI) (atlas)	Waist-hip ratio	116742	NA	NA	female	atlas	Waist-hip ratio	Waist-hip ratio (adjusted for BMI) (atlas) [female]	25673412	Waist-hip ratio (adjusted for BMI) (atlas) 25673412	187m 189f	187m 189f	Antropometric	Waist-hip ratio (adjBMI)	BIN
4370m	4370	Thyroid-stimulating hormone  (atlas)	Thyroid stimulating hormone	24618	NA	NA	male	atlas	Thyroid stimulating hormone	Thyroid-stimulating hormone  (atlas) [male]	30367059	Thyroid-stimulating hormone  (atlas) 30367059	4370m 4371f	4370m 4371f	Metabolic	Thyroid-stimulating hormone	BIN
4371f	4371	Thyroid-stimulating hormone  (atlas)	Thyroid stimulating hormone	30236	NA	NA	female	atlas	Thyroid stimulating hormone	Thyroid-stimulating hormone  (atlas) [female]	30367059	Thyroid-stimulating hormone  (atlas) 30367059	4370m 4371f	4370m 4371f	Metabolic	Thyroid-stimulating hormone	BIN
4373m	4373	Free thyroxine (FT4) (atlas)	Free thyroxine	22455	NA	NA	male	atlas	Free thyroxine	Free thyroxine (FT4) (atlas) [male]	30367059	Free thyroxine (FT4) (atlas) 30367059	4373m 4374f	4373m 4374f	Metabolic	Free thyroxine (FT4)	BIN
4374f	4374	Free thyroxine (FT4) (atlas)	Free thyroxine	27380	NA	NA	female	atlas	Free thyroxine	Free thyroxine (FT4) (atlas) [female]	30367059	Free thyroxine (FT4) (atlas) 30367059	4373m 4374f	4373m 4374f	Metabolic	Free thyroxine (FT4)	BIN
48f	48	Age at first birth  (atlas)	Age at first birth	225230	NA	NA	female	atlas	Age at first birth	Age at first birth  (atlas) [female]	27798627	Age at first birth  (atlas) 27798627	48f 49m	49m 48f	Fertility	Age at first birth	BIN
49m	49	Age at first birth  (atlas)	Age at first birth	48408	NA	NA	male	atlas	Age at first birth	Age at first birth  (atlas) [male]	27798627	Age at first birth  (atlas) 27798627	48f 49m	49m 48f	Fertility	Age at first birth	BIN
51f	51	Number of children ever born  (atlas)	Number of children ever born	225230	NA	NA	female	atlas	Number of children ever born	Number of children ever born  (atlas) [female]	27798627	Number of children ever born  (atlas) 27798627	51f 52m	52m 51f	Fertility	Number of children ever born	BIN
