CODE NOM_CON_SNPS NOM_CON_SNPS_EMP_P NOM_VERBOSE MARG_CON_SNPS MARG_CON_SNPS_EMP_P MARG_VERBOSE SMALLEST_CON_P_EMP_P
127f:4371f 0 1 NOT 0 1 NOT 0.635
127f:4374f 0 1 NOT 0 1 NOT 0.628
127f:48f 144 0.000999 MORE 144 0.000999 MORE 0.000999
127f:51f 0 1 NOT 0 1 NOT 0.963
127f:96f 144 0.000999 MORE 144 0.000999 MORE 0.000999
127f:99f 144 0.000999 MORE 144 0.000999 MORE 0.000999
127f:a13f 0 1 NOT 0 1 NOT 0.989
127f:a1f 0 1 NOT 0 1 NOT 0.981
127f:a21f 0 1 NOT 0 1 NOT 0.994
127f:a22f 0 1 NOT 0 1 NOT 0.998
127f:a27f 0 1 NOT 0 1 NOT 0.998
127f:a28f 0 1 NOT 0 1 NOT 0.921
127f:a29f 0 1 NOT 0 1 NOT 0.92
127f:a30f 144 0.000999 MORE 144 0.000999 MORE 0.000999
127f:a7f 116 0.000999 MORE 123 0.000999 MORE 0.000999
127f:a8f 0 1 NOT 0 1 NOT 0.974
127f:a9f 0 1 NOT 0 1 NOT 0.941
127f:ADr1uf 0 1 NOT 0 1 NOT 0.526
127f:bm1f 10 0.108 NOT 21 0.105 NOT 0.173
127f:bm2f 1 0.338 NOT 10 0.168 NOT 0.243
127f:bm4f 0 1 NOT 0 1 NOT 0.933
127f:bm5f 0 1 NOT 0 1 NOT 0.968
127f:bm6f 0 1 NOT 0 1 NOT 0.599
127f:bm7f 0 1 NOT 0 1 NOT 0.949
127f:bm8f 0 1 NOT 0 1 NOT 0.57
127f:ch1f 0 1 NOT 1 0.497 NOT 0.364
127f:ch4f 86 0.002 MORE 99 0.004 MORE 0.00599
127f:ch5f 0 1 NOT 0 1 NOT 0.536
127f:ch6f 0 1 NOT 0 1 NOT 0.668
127f:l1f 110 0.000999 MORE 112 0.002 MORE 0.000999
127f:l2f 0 1 NOT 0 1 NOT 0.996
127f:l3f 0 1 NOT 0 1 NOT 0.991
127f:l4f 0 1 NOT 0 1 NOT 0.985
127f:l5f 0 1 NOT 0 1 NOT 0.989
127f:r10f 0 1 NOT 1 0.488 NOT 0.421
127f:r4f 0 1 NOT 0 1 NOT 0.979
127f:r5f 0 1 NOT 0 1 NOT 0.957
127f:r8f 62 0.00699 MORE 82 0.00699 MORE 0.0829
127f:r9f 114 0.000999 MORE 119 0.000999 MORE 0.000999
136m:144m 144 0.000999 MORE 144 0.000999 MORE 0.000999
136m:151m 0 1 NOT 3 0.39 NOT 0.418
136m:152m 0 1 NOT 0 1 NOT 0.77
136m:157m 144 0.000999 MORE 144 0.000999 MORE 0.000999
136m:163m 144 0.000999 MORE 144 0.000999 MORE 0.000999
136m:169m 144 0.000999 MORE 144 0.000999 MORE 0.000999
136m:175m 144 0.000999 MORE 144 0.000999 MORE 0.000999
136m:181m 144 0.000999 MORE 144 0.000999 MORE 0.000999
136m:187m 0 1 NOT 0 1 NOT 0.955
136m:4370m 113 0.000999 MORE 126 0.000999 MORE 0.000999
136m:4373m 0 1 NOT 0 1 NOT 0.997
136m:49m 0 1 NOT 0 1 NOT 0.996
136m:52m 8 0.137 NOT 22 0.108 NOT 0.173
136m:97m 144 0.000999 MORE 144 0.000999 MORE 0.000999
136m:a13m 132 0.000999 MORE 139 0.000999 MORE 0.000999
136m:a1m 20 0.0519 NOT 44 0.041 MORE 0.038
136m:a21m 0 1 NOT 0 1 NOT 0.996
136m:a22m 144 0.000999 MORE 144 0.000999 MORE 0.000999
136m:a27m 144 0.000999 MORE 144 0.000999 MORE 0.000999
136m:a28m 144 0.918 NOT 144 0.918 NOT 0.918
136m:a29m 144 0.000999 MORE 144 0.000999 MORE 0.000999
136m:a30m 0 1 NOT 0 1 NOT 0.933
136m:a7m 0 1 NOT 0 1 NOT 0.7
136m:a8m 144 0.000999 MORE 144 0.000999 MORE 0.000999
136m:a9m 133 0.000999 MORE 135 0.000999 MORE 0.000999
136m:ADr1um 0 1 NOT 0 1 NOT 0.999
136m:bm1m 60 0.005 MORE 97 0.002 MORE 0.0609
136m:bm2m 0 1 NOT 0 1 NOT 0.898
136m:bm4m 6 0.132 NOT 8 0.21 NOT 0.143
136m:bm5m 0 1 NOT 0 1 NOT 0.57
136m:bm6m 1 0.36 NOT 13 0.155 NOT 0.276
136m:bm7m 11 0.0939 NOT 36 0.0529 NOT 0.27
136m:bm8m 3 0.208 NOT 19 0.11 NOT 0.222
136m:ch1m 0 1 NOT 0 1 NOT 0.782
136m:ch4m 0 1 NOT 0 1 NOT 0.991
136m:ch5m 0 1 NOT 0 1 NOT 0.87
136m:ch6m 0 1 NOT 0 1 NOT 0.63
136m:l1m 0 1 NOT 0 1 NOT 0.991
136m:l2m 0 1 NOT 0 1 NOT 0.997
136m:l3m 0 1 NOT 0 1 NOT 0.995
136m:l4m 144 0.000999 MORE 144 0.000999 MORE 0.000999
136m:l5m 74 0.005 MORE 78 0.00699 MORE 0.002
136m:r10m 0 1 NOT 0 1 NOT 0.469
136m:r4m 50 0.014 MORE 79 0.00999 MORE 0.0659
136m:r5m 0 1 NOT 0 1 NOT 0.995
136m:r8m 23 0.0529 NOT 64 0.024 MORE 0.178
136m:r9m 132 0.000999 MORE 132 0.000999 MORE 0.000999
137f:145f 144 0.000999 MORE 144 0.000999 MORE 0.000999
137f:153f 19 0.043 MORE 35 0.047 MORE 0.147
137f:154f 9 0.0999 NOT 25 0.0869 NOT 0.172
137f:159f 144 0.000999 MORE 144 0.000999 MORE 0.000999
137f:165f 144 0.000999 MORE 144 0.000999 MORE 0.000999
137f:171f 144 0.000999 MORE 144 0.000999 MORE 0.000999
137f:177f 144 0.000999 MORE 144 0.000999 MORE 0.000999
137f:183f 144 0.000999 MORE 144 0.000999 MORE 0.000999
137f:189f 0 1 NOT 0 1 NOT 0.968
137f:4371f 125 0.000999 MORE 135 0.000999 MORE 0.000999
137f:4374f 0 1 NOT 0 1 NOT 0.863
137f:48f 0 1 NOT 0 1 NOT 0.996
137f:51f 110 0.000999 MORE 118 0.002 MORE 0.000999
137f:96f 144 0.000999 MORE 144 0.000999 MORE 0.000999
137f:99f 0 1 NOT 0 1 NOT 0.869
137f:a13f 142 0.000999 MORE 144 0.000999 MORE 0.000999
137f:a1f 123 0.000999 MORE 127 0.000999 MORE 0.000999
137f:a21f 0 1 NOT 0 1 NOT 0.993
137f:a22f 144 0.000999 MORE 144 0.000999 MORE 0.000999
137f:a27f 144 0.000999 MORE 144 0.000999 MORE 0.000999
137f:a28f 144 0.000999 MORE 144 0.000999 MORE 0.000999
137f:a29f 144 0.000999 MORE 144 0.000999 MORE 0.000999
137f:a30f 0 1 NOT 0 1 NOT 0.996
137f:a7f 0 1 NOT 0 1 NOT 0.995
137f:a8f 144 0.000999 MORE 144 0.000999 MORE 0.000999
137f:a9f 104 0.000999 MORE 113 0.000999 MORE 0.000999
137f:ADr1uf 0 1 NOT 0 1 NOT 0.886
137f:bm1f 78 0.002 MORE 97 0.000999 MORE 0.0589
137f:bm2f 7 0.126 NOT 13 0.149 NOT 0.127
137f:bm4f 0 1 NOT 0 1 NOT 0.656
137f:bm5f 3 0.248 NOT 14 0.166 NOT 0.29
137f:bm6f 0 1 NOT 0 1 NOT 0.669
137f:bm7f 0 1 NOT 0 1 NOT 0.872
137f:bm8f 8 0.116 NOT 20 0.103 NOT 0.047
137f:ch1f 0 1 NOT 0 1 NOT 0.998
137f:ch4f 30 0.029 MORE 45 0.034 MORE 0.047
137f:ch5f 0 1 NOT 0 1 NOT 0.999
137f:ch6f 0 1 NOT 0 1 NOT 0.998
137f:l1f 0 1 NOT 0 1 NOT 0.989
137f:l2f 127 0.000999 MORE 130 0.000999 MORE 0.000999
137f:l3f 0 1 NOT 0 1 NOT 0.843
