CODE NOM_CON_SNPS NOM_CON_SNPS_EMP_P NOM_VERBOSE MARG_CON_SNPS MARG_CON_SNPS_EMP_P MARG_VERBOSE SMALLEST_CON_P_EMP_P
153f:a7f 0 1 NOT 0 1 NOT 0.759
153f:a8f 144 0.000999 MORE 144 0.000999 MORE 0.000999
153f:a9f 111 0.000999 MORE 120 0.000999 MORE 0.000999
153f:ADr1uf 0 1 NOT 0 1 NOT 0.683
153f:bm1f 0 1 NOT 0 1 NOT 0.782
153f:bm2f 0 1 NOT 0 1 NOT 0.533
153f:bm4f 0 1 NOT 6 0.279 NOT 0.407
153f:bm5f 0 1 NOT 4 0.31 NOT 0.357
153f:bm6f 0 1 NOT 5 0.34 NOT 0.445
153f:bm7f 0 1 NOT 2 0.437 NOT 0.504
153f:bm8f 1 0.335 NOT 3 0.381 NOT 0.293
153f:ch1f 0 1 NOT 0 1 NOT 0.674
153f:ch4f 0 1 NOT 0 1 NOT 0.565
153f:ch5f 1 0.343 NOT 6 0.278 NOT 0.327
153f:ch6f 0 1 NOT 0 1 NOT 0.617
153f:l1f 0 1 NOT 0 1 NOT 0.991
153f:l2f 144 0.000999 MORE 144 0.000999 MORE 0.000999
153f:l3f 144 0.000999 MORE 144 0.000999 MORE 0.000999
153f:l4f 144 0.000999 MORE 144 0.000999 MORE 0.000999
153f:l5f 144 0.000999 MORE 144 0.000999 MORE 0.000999
153f:r10f 23 0.04 MORE 47 0.031 MORE 0.018
153f:r4f 32 0.034 MORE 59 0.024 MORE 0.002
153f:r5f 0 1 NOT 0 1 NOT 0.864
153f:r8f 0 1 NOT 0 1 NOT 0.588
153f:r9f 23 0.036 MORE 46 0.029 MORE 0.0779
154f:159f 0 1 NOT 0 1 NOT 0.995
154f:165f 0 1 NOT 0 1 NOT 0.996
154f:171f 144 0.000999 MORE 144 0.000999 MORE 0.000999
154f:177f 144 0.000999 MORE 144 0.000999 MORE 0.000999
154f:183f 144 0.000999 MORE 144 0.000999 MORE 0.000999
154f:189f 144 0.000999 MORE 144 0.000999 MORE 0.000999
154f:4371f 0 1 NOT 0 1 NOT 0.746
154f:4374f 0 1 NOT 0 1 NOT 0.979
154f:48f 0 1 NOT 0 1 NOT 0.996
154f:51f 13 0.0789 NOT 22 0.0959 NOT 0.04
154f:96f 0 1 NOT 0 1 NOT 0.999
154f:99f 0 1 NOT 0 1 NOT 0.98
154f:a13f 141 0.000999 MORE 143 0.000999 MORE 0.000999
154f:a1f 91 0.002 MORE 96 0.005 MORE 0.000999
154f:a21f 62 0.00599 MORE 90 0.003 MORE 0.002
154f:a22f 136 0.000999 MORE 141 0.000999 MORE 0.000999
154f:a27f 122 0.706 NOT 130 0.706 NOT 0.706
154f:a28f 144 0.000999 MORE 144 0.000999 MORE 0.000999
154f:a29f 95 0.000999 MORE 112 0.002 MORE 0.003
154f:a30f 0 1 NOT 0 1 NOT 0.998
154f:a7f 7 0.132 NOT 23 0.0879 NOT 0.033
154f:a8f 144 0.000999 MORE 144 0.000999 MORE 0.000999
154f:a9f 80 0.002 MORE 94 0.002 MORE 0.012
154f:ADr1uf 0 1 NOT 1 0.528 NOT 0.508
154f:bm1f 0 1 NOT 0 1 NOT 1
154f:bm2f 2 0.256 NOT 3 0.357 NOT 0.246
154f:bm4f 0 1 NOT 2 0.435 NOT 0.466
154f:bm5f 43 0.02 MORE 61 0.027 MORE 0.03
154f:bm6f 55 0.015 MORE 74 0.021 MORE 0.0589
154f:bm7f 6 0.161 NOT 13 0.166 NOT 0.211
154f:bm8f 0 1 NOT 0 1 NOT 0.79
154f:ch1f 0 1 NOT 0 1 NOT 0.542
154f:ch4f 0 1 NOT 0 1 NOT 0.862
154f:ch5f 0 1 NOT 0 1 NOT 0.613
154f:ch6f 2 0.271 NOT 2 0.419 NOT 0.0639
154f:l1f 0 1 NOT 0 1 NOT 0.992
154f:l2f 144 0.000999 MORE 144 0.000999 MORE 0.000999
154f:l3f 144 0.000999 MORE 144 0.000999 MORE 0.000999
154f:l4f 144 0.000999 MORE 144 0.000999 MORE 0.000999
154f:l5f 144 0.000999 MORE 144 0.000999 MORE 0.000999
154f:r10f 0 1 NOT 3 0.4 NOT 0.475
154f:r4f 110 0.000999 MORE 119 0.000999 MORE 0.004
154f:r5f 37 0.025 MORE 56 0.026 MORE 0.0519
154f:r8f 1 0.356 NOT 1 0.514 NOT 0.299
154f:r9f 10 0.125 NOT 14 0.18 NOT 0.117
157m:163m 144 0.000999 MORE 144 0.000999 MORE 0.000999
157m:169m 144 0.000999 MORE 144 0.000999 MORE 0.000999
157m:175m 144 0.000999 MORE 144 0.000999 MORE 0.000999
157m:181m 144 0.000999 MORE 144 0.000999 MORE 0.000999
157m:187m 0 1 NOT 0 1 NOT 0.997
157m:4370m 24 0.028 MORE 54 0.023 MORE 0.112
157m:4373m 0 1 NOT 0 1 NOT 0.997
157m:49m 0 1 NOT 0 1 NOT 0.998
157m:52m 103 0.000999 MORE 114 0.000999 MORE 0.000999
157m:97m 144 0.000999 MORE 144 0.000999 MORE 0.000999
157m:a13m 60 0.011 MORE 72 0.017 MORE 0.017
157m:a1m 32 0.026 MORE 61 0.016 MORE 0.028
157m:a21m 0 1 NOT 0 1 NOT 0.996
157m:a22m 137 0.000999 MORE 140 0.000999 MORE 0.000999
157m:a27m 144 0.000999 MORE 144 0.000999 MORE 0.000999
157m:a28m 144 0.726 NOT 144 0.726 NOT 0.726
157m:a29m 128 0.000999 MORE 132 0.000999 MORE 0.000999
157m:a30m 0 1 NOT 0 1 NOT 0.992
157m:a7m 0 1 NOT 0 1 NOT 0.979
157m:a8m 144 0.000999 MORE 144 0.000999 MORE 0.000999
157m:a9m 139 0.000999 MORE 142 0.000999 MORE 0.000999
157m:ADr1um 0 1 NOT 0 1 NOT 0.715
157m:bm1m 0 1 NOT 1 0.531 NOT 0.481
157m:bm2m 0 1 NOT 1 0.536 NOT 0.453
157m:bm4m 0 1 NOT 0 1 NOT 0.614
157m:bm5m 0 1 NOT 0 1 NOT 0.963
157m:bm6m 1 0.323 NOT 4 0.301 NOT 0.304
157m:bm7m 35 0.031 MORE 68 0.021 MORE 0.0589
157m:bm8m 0 1 NOT 1 0.53 NOT 0.494
157m:ch1m 0 1 NOT 0 1 NOT 0.981
157m:ch4m 0 1 NOT 0 1 NOT 0.881
157m:ch5m 1 0.346 NOT 8 0.246 NOT 0.255
157m:ch6m 0 1 NOT 0 1 NOT 0.624
157m:l1m 0 1 NOT 0 1 NOT 0.992
157m:l2m 0 1 NOT 0 1 NOT 0.997
157m:l3m 0 1 NOT 0 1 NOT 0.997
157m:l4m 144 0.000999 MORE 144 0.000999 MORE 0.000999
157m:l5m 105 0.000999 MORE 106 0.000999 MORE 0.000999
157m:r10m 3 0.253 NOT 11 0.217 NOT 0.14
157m:r4m 9 0.13 NOT 33 0.0749 NOT 0.211
157m:r5m 0 1 NOT 0 1 NOT 0.993
157m:r8m 40 0.027 MORE 61 0.03 MORE 0.0979
157m:r9m 4 0.198 NOT 9 0.218 NOT 0.192
159f:165f 144 0.000999 MORE 144 0.000999 MORE 0.000999
159f:171f 144 0.000999 MORE 144 0.000999 MORE 0.000999
159f:177f 144 0.000999 MORE 144 0.000999 MORE 0.000999
159f:183f 144 0.000999 MORE 144 0.000999 MORE 0.000999
159f:189f 0 1 NOT 0 1 NOT 0.992
159f:4371f 97 0.000999 MORE 107 0.000999 MORE 0.000999
159f:4374f 0 1 NOT 0 1 NOT 0.807
159f:48f 0 1 NOT 0 1 NOT 0.995
159f:51f 122 0.000999 MORE 123 0.000999 MORE 0.000999
159f:96f 144 0.000999 MORE 144 0.000999 MORE 0.000999
159f:99f 0 1 NOT 0 1 NOT 0.997
159f:a13f 141 0.000999 MORE 143 0.000999 MORE 0.000999
159f:a1f 107 0.000999 MORE 115 0.000999 MORE 0.000999
159f:a21f 0 1 NOT 0 1 NOT 0.925
159f:a22f 144 0.000999 MORE 144 0.000999 MORE 0.000999
159f:a27f 144 0.000999 MORE 144 0.000999 MORE 0.000999
159f:a28f 144 0.000999 MORE 144 0.000999 MORE 0.000999
159f:a29f 144 0.000999 MORE 144 0.000999 MORE 0.000999
159f:a30f 0 1 NOT 0 1 NOT 0.998
159f:a7f 0 1 NOT 0 1 NOT 0.996
159f:a8f 144 0.000999 MORE 144 0.000999 MORE 0.000999
159f:a9f 129 0.000999 MORE 136 0.000999 MORE 0.000999
159f:ADr1uf 0 1 NOT 0 1 NOT 0.994
159f:bm1f 23 0.036 MORE 41 0.036 MORE 0.018
159f:bm2f 23 0.0589 NOT 48 0.044 MORE 0.128
159f:bm4f 0 1 NOT 0 1 NOT 0.647
159f:bm5f 0 1 NOT 0 1 NOT 0.726
159f:bm6f 0 1 NOT 0 1 NOT 0.869
159f:bm7f 0 1 NOT 0 1 NOT 0.903
159f:bm8f 0 1 NOT 0 1 NOT 0.528
159f:ch1f 0 1 NOT 0 1 NOT 0.933
159f:ch4f 8 0.111 NOT 12 0.159 NOT 0.101
159f:ch5f 0 1 NOT 0 1 NOT 0.998
159f:ch6f 0 1 NOT 0 1 NOT 0.998
159f:l1f 0 1 NOT 0 1 NOT 0.99
159f:l2f 121 0.000999 MORE 122 0.000999 MORE 0.000999
159f:l3f 0 1 NOT 0 1 NOT 0.663
159f:l4f 144 0.000999 MORE 144 0.000999 MORE 0.000999
159f:l5f 128 0.000999 MORE 130 0.000999 MORE 0.000999
159f:r10f 30 0.027 MORE 53 0.02 MORE 0.015
159f:r4f 110 0.000999 MORE 132 0.000999 MORE 0.005
159f:r5f 0 1 NOT 0 1 NOT 0.578
159f:r8f 0 1 NOT 0 1 NOT 0.814
159f:r9f 27 0.033 MORE 33 0.0609 NOT 0.011
163m:169m 144 0.000999 MORE 144 0.000999 MORE 0.000999
163m:175m 144 0.000999 MORE 144 0.000999 MORE 0.000999
163m:181m 0 1 NOT 0 1 NOT 0.995
163m:187m 0 1 NOT 0 1 NOT 0.995
163m:4370m 0 1 NOT 0 1 NOT 0.791
163m:4373m 99 0.002 MORE 117 0.000999 MORE 0.005
163m:49m 144 0.000999 MORE 144 0.000999 MORE 0.000999
163m:52m 0 1 NOT 0 1 NOT 0.965
163m:97m 144 0.000999 MORE 144 0.000999 MORE 0.000999
163m:a13m 0 1 NOT 0 1 NOT 0.998
163m:a1m 0 1 NOT 0 1 NOT 0.95
163m:a21m 0 1 NOT 0 1 NOT 0.991
163m:a22m 0 1 NOT 0 1 NOT 0.696
163m:a27m 0 1 NOT 0 1 NOT 0.747
163m:a28m 0 1 NOT 0 1 NOT 0.671
163m:a29m 0 1 NOT 0 1 NOT 0.991
163m:a30m 144 0.000999 MORE 144 0.000999 MORE 0.000999
163m:a7m 0 1 NOT 1 0.508 NOT 0.391
163m:a8m 0 1 NOT 0 1 NOT 0.988
163m:a9m 0 1 NOT 0 1 NOT 0.939
163m:ADr1um 0 1 NOT 0 1 NOT 0.776
163m:bm1m 0 1 NOT 0 1 NOT 0.84
163m:bm2m 0 1 NOT 2 0.409 NOT 0.445
163m:bm4m 0 1 NOT 2 0.42 NOT 0.397
163m:bm5m 0 1 NOT 0 1 NOT 0.803
163m:bm6m 0 1 NOT 0 1 NOT 0.748
163m:bm7m 0 1 NOT 0 1 NOT 0.533
163m:bm8m 14 0.0589 NOT 20 0.0939 NOT 0.131
163m:ch1m 4 0.182 NOT 15 0.145 NOT 0.205
163m:ch4m 28 0.026 MORE 56 0.021 MORE 0.029
163m:ch5m 48 0.00999 MORE 66 0.012 MORE 0.00999
163m:ch6m 12 0.0779 NOT 27 0.0719 NOT 0.011
163m:l1m 107 0.002 MORE 113 0.002 MORE 0.000999
163m:l2m 0 1 NOT 0 1 NOT 0.991
163m:l3m 0 1 NOT 0 1 NOT 0.991
163m:l4m 0 1 NOT 0 1 NOT 0.995
163m:l5m 0 1 NOT 0 1 NOT 0.994
163m:r10m 0 1 NOT 0 1 NOT 0.899
163m:r4m 0 1 NOT 0 1 NOT 0.969
163m:r5m 0 1 NOT 0 1 NOT 0.997
163m:r8m 0 1 NOT 0 1 NOT 0.997
163m:r9m 0 1 NOT 0 1 NOT 0.877
165f:171f 144 0.000999 MORE 144 0.000999 MORE 0.000999
165f:177f 144 0.000999 MORE 144 0.000999 MORE 0.000999
165f:183f 0 1 NOT 0 1 NOT 0.994
165f:189f 0 1 NOT 0 1 NOT 0.99
165f:4371f 0 1 NOT 0 1 NOT 0.997
165f:4374f 32 0.033 MORE 51 0.037 MORE 0.0779
165f:48f 143 0.000999 MORE 144 0.000999 MORE 0.000999
165f:51f 0 1 NOT 0 1 NOT 0.912
165f:96f 144 0.000999 MORE 144 0.000999 MORE 0.000999
165f:99f 144 0.000999 MORE 144 0.000999 MORE 0.000999
165f:a13f 0 1 NOT 0 1 NOT 0.994
165f:a1f 0 1 NOT 0 1 NOT 0.994
165f:a21f 0 1 NOT 0 1 NOT 0.996
165f:a22f 0 1 NOT 0 1 NOT 0.968
165f:a27f 0 1 NOT 0 1 NOT 0.997
165f:a28f 0 1 NOT 0 1 NOT 0.994
165f:a29f 0 1 NOT 0 1 NOT 0.965
165f:a30f 144 0.000999 MORE 144 0.000999 MORE 0.000999
165f:a7f 17 0.043 MORE 23 0.0879 NOT 0.011
165f:a8f 0 1 NOT 0 1 NOT 0.98
165f:a9f 0 1 NOT 0 1 NOT 0.988
165f:ADr1uf 0 1 NOT 0 1 NOT 0.823
165f:bm1f 89 0.002 MORE 99 0.005 MORE 0.00999
165f:bm2f 64 0.00699 MORE 95 0.003 MORE 0.028
165f:bm4f 0 1 NOT 0 1 NOT 0.585
165f:bm5f 0 1 NOT 0 1 NOT 0.802
165f:bm6f 2 0.249 NOT 2 0.401 NOT 0.157
165f:bm7f 0 1 NOT 0 1 NOT 0.807
165f:bm8f 0 1 NOT 0 1 NOT 0.5
165f:ch1f 0 1 NOT 6 0.272 NOT 0.39
165f:ch4f 3 0.239 NOT 8 0.242 NOT 0.276
165f:ch5f 0 1 NOT 0 1 NOT 0.858
165f:ch6f 14 0.0699 NOT 43 0.043 MORE 0.0989
165f:l1f 144 0.000999 MORE 144 0.000999 MORE 0.000999
165f:l2f 0 1 NOT 0 1 NOT 0.992
165f:l3f 0 1 NOT 0 1 NOT 0.992
165f:l4f 0 1 NOT 0 1 NOT 0.991
165f:l5f 0 1 NOT 0 1 NOT 0.997
165f:r10f 0 1 NOT 1 0.514 NOT 0.485
165f:r4f 0 1 NOT 0 1 NOT 0.996
165f:r5f 0 1 NOT 0 1 NOT 0.368
165f:r8f 0 1 NOT 0 1 NOT 0.678
165f:r9f 0 1 NOT 4 0.322 NOT 0.398
169m:181m 144 0.000999 MORE 144 0.000999 MORE 0.000999
169m:187m 144 0.000999 MORE 144 0.000999 MORE 0.000999
169m:4370m 51 0.00999 MORE 70 0.011 MORE 0.012
169m:4373m 0 1 NOT 0 1 NOT 1
169m:49m 0 1 NOT 0 1 NOT 0.993
169m:52m 101 0.002 MORE 113 0.002 MORE 0.003
169m:97m 144 0.000999 MORE 144 0.000999 MORE 0.000999
169m:a13m 144 0.000999 MORE 144 0.000999 MORE 0.000999
169m:a1m 58 0.00899 MORE 83 0.00899 MORE 0.003
169m:a21m 0 1 NOT 0 1 NOT 0.993
169m:a22m 144 0.000999 MORE 144 0.000999 MORE 0.000999
169m:a27m 143 0.000999 MORE 143 0.000999 MORE 0.000999
169m:a28m 144 0.000999 MORE 144 0.000999 MORE 0.000999
169m:a29m 144 0.000999 MORE 144 0.000999 MORE 0.000999
169m:a30m 0 1 NOT 0 1 NOT 0.998
169m:a7m 0 1 NOT 0 1 NOT 0.781
169m:a8m 144 0.000999 MORE 144 0.000999 MORE 0.000999
169m:a9m 144 0.000999 MORE 144 0.000999 MORE 0.000999
169m:ADr1um 0 1 NOT 0 1 NOT 0.891
169m:bm1m 0 1 NOT 0 1 NOT 0.735
169m:bm2m 0 1 NOT 0 1 NOT 0.8
169m:bm4m 1 0.346 NOT 8 0.248 NOT 0.331
169m:bm5m 0 1 NOT 0 1 NOT 0.69
169m:bm6m 0 1 NOT 9 0.215 NOT 0.352
169m:bm7m 4 0.184 NOT 14 0.134 NOT 0.295
169m:bm8m 5 0.176 NOT 16 0.136 NOT 0.142
169m:ch1m 0 1 NOT 0 1 NOT 0.954
169m:ch4m 0 1 NOT 0 1 NOT 0.96
169m:ch5m 0 1 NOT 0 1 NOT 0.995
169m:ch6m 0 1 NOT 0 1 NOT 0.817
169m:l1m 0 1 NOT 0 1 NOT 0.989
169m:l2m 0 1 NOT 0 1 NOT 0.992
169m:l3m 0 1 NOT 0 1 NOT 0.994
169m:l4m 144 0.000999 MORE 144 0.000999 MORE 0.000999
169m:l5m 143 0.000999 MORE 143 0.000999 MORE 0.000999
169m:r10m 19 0.0659 NOT 35 0.0679 NOT 0.108
169m:r4m 122 0.000999 MORE 134 0.000999 MORE 0.002
169m:r5m 0 1 NOT 0 1 NOT 0.95
169m:r8m 132 0.000999 MORE 135 0.000999 MORE 0.000999
169m:r9m 47 0.00999 MORE 64 0.012 MORE 0.00799
171f:177f 144 0.000999 MORE 144 0.000999 MORE 0.000999
171f:183f 144 0.000999 MORE 144 0.000999 MORE 0.000999
171f:189f 144 0.000999 MORE 144 0.000999 MORE 0.000999
171f:4371f 121 0.000999 MORE 130 0.000999 MORE 0.000999
171f:4374f 0 1 NOT 0 1 NOT 0.97
171f:48f 0 1 NOT 0 1 NOT 0.996
171f:51f 141 0.000999 MORE 143 0.000999 MORE 0.000999
171f:96f 144 0.000999 MORE 144 0.000999 MORE 0.000999
171f:99f 0 1 NOT 0 1 NOT 0.992
171f:a13f 144 0.000999 MORE 144 0.000999 MORE 0.000999
171f:a1f 140 0.000999 MORE 143 0.000999 MORE 0.000999
171f:a21f 0 1 NOT 4 0.311 NOT 0.437
171f:a22f 144 0.000999 MORE 144 0.000999 MORE 0.000999
171f:a27f 144 0.000999 MORE 144 0.000999 MORE 0.000999
171f:a28f 144 0.000999 MORE 144 0.000999 MORE 0.000999
171f:a29f 144 0.000999 MORE 144 0.000999 MORE 0.000999
171f:a30f 0 1 NOT 0 1 NOT 0.997
171f:a7f 0 1 NOT 0 1 NOT 0.958
171f:a8f 144 0.000999 MORE 144 0.000999 MORE 0.000999
171f:a9f 144 0.000999 MORE 144 0.000999 MORE 0.000999
171f:ADr1uf 0 1 NOT 0 1 NOT 0.999
171f:bm1f 6 0.151 NOT 7 0.243 NOT 0.000999
171f:bm2f 40 0.016 MORE 51 0.034 MORE 0.002
171f:bm4f 0 1 NOT 0 1 NOT 0.653
171f:bm5f 3 0.235 NOT 10 0.211 NOT 0.304
171f:bm6f 0 1 NOT 0 1 NOT 0.851
171f:bm7f 0 1 NOT 0 1 NOT 0.632
171f:bm8f 0 1 NOT 0 1 NOT 0.863
171f:ch1f 0 1 NOT 0 1 NOT 0.99
171f:ch4f 3 0.214 NOT 22 0.0899 NOT 0.169
171f:ch5f 0 1 NOT 0 1 NOT 0.975
171f:ch6f 0 1 NOT 0 1 NOT 0.953
171f:l1f 0 1 NOT 0 1 NOT 0.993
171f:l2f 144 0.000999 MORE 144 0.000999 MORE 0.000999
171f:l3f 134 0.000999 MORE 141 0.000999 MORE 0.000999
171f:l4f 144 0.000999 MORE 144 0.000999 MORE 0.000999
171f:l5f 144 0.000999 MORE 144 0.000999 MORE 0.000999
171f:r10f 129 0.000999 MORE 132 0.000999 MORE 0.002
171f:r4f 140 0.000999 MORE 142 0.000999 MORE 0.000999
171f:r5f 0 1 NOT 0 1 NOT 0.994
171f:r8f 1 0.342 NOT 1 0.5 NOT 0.335
171f:r9f 38 0.014 MORE 79 0.00599 MORE 0.013
175m:181m 144 0.000999 MORE 144 0.000999 MORE 0.000999
175m:187m 144 0.000999 MORE 144 0.000999 MORE 0.000999
175m:4370m 0 1 NOT 0 1 NOT 0.999
175m:4373m 35 0.021 MORE 63 0.014 MORE 0.004
175m:49m 0 1 NOT 0 1 NOT 0.534
175m:52m 0 1 NOT 0 1 NOT 0.864
175m:97m 144 0.000999 MORE 144 0.000999 MORE 0.000999
175m:a13m 0 1 NOT 2 0.419 NOT 0.479
175m:a1m 27 0.032 MORE 60 0.019 MORE 0.113
175m:a21m 0 1 NOT 0 1 NOT 0.99
175m:a22m 3 0.213 NOT 4 0.325 NOT 0.251
175m:a27m 102 0.000999 MORE 107 0.000999 MORE 0.000999
175m:a28m 144 0.000999 MORE 144 0.000999 MORE 0.000999
175m:a29m 25 0.043 MORE 41 0.047 MORE 0.042
175m:a30m 0 1 NOT 0 1 NOT 0.966
175m:a7m 0 1 NOT 0 1 NOT 0.704
175m:a8m 129 0.000999 MORE 130 0.000999 MORE 0.000999
175m:a9m 42 0.011 MORE 87 0.002 MORE 0.126
175m:ADr1um 0 1 NOT 0 1 NOT 0.98
175m:bm1m 0 1 NOT 0 1 NOT 0.992
175m:bm2m 0 1 NOT 14 0.131 NOT 0.344
175m:bm4m 6 0.141 NOT 7 0.233 NOT 0.0649
175m:bm5m 0 1 NOT 0 1 NOT 0.972
175m:bm6m 0 1 NOT 0 1 NOT 0.972
175m:bm7m 0 1 NOT 0 1 NOT 0.982
175m:bm8m 6 0.174 NOT 15 0.149 NOT 0.0549
175m:ch1m 0 1 NOT 0 1 NOT 0.535
175m:ch4m 1 0.38 NOT 6 0.31 NOT 0.376
175m:ch5m 0 1 NOT 3 0.354 NOT 0.386
175m:ch6m 6 0.152 NOT 13 0.161 NOT 0.137
175m:l1m 0 1 NOT 0 1 NOT 0.994
175m:l2m 0 1 NOT 0 1 NOT 0.987
175m:l3m 0 1 NOT 0 1 NOT 0.993
175m:l4m 144 0.000999 MORE 144 0.000999 MORE 0.000999
175m:l5m 0 1 NOT 0 1 NOT 0.648
175m:r10m 0 1 NOT 1 0.432 NOT 0.414
175m:r4m 0 1 NOT 0 1 NOT 0.797
175m:r5m 0 1 NOT 0 1 NOT 0.802
175m:r8m 0 1 NOT 0 1 NOT 0.682
175m:r9m 0 1 NOT 0 1 NOT 0.5
177f:183f 144 0.000999 MORE 144 0.000999 MORE 0.000999
177f:189f 144 0.000999 MORE 144 0.000999 MORE 0.000999
177f:4371f 0 1 NOT 0 1 NOT 0.967
177f:4374f 0 1 NOT 0 1 NOT 0.863
177f:48f 10 0.101 NOT 18 0.121 NOT 0.044
177f:51f 0 1 NOT 2 0.451 NOT 0.485
177f:96f 144 0.000999 MORE 144 0.000999 MORE 0.000999
177f:99f 144 0.000999 MORE 144 0.000999 MORE 0.000999
177f:a13f 141 0.000999 MORE 144 0.000999 MORE 0.000999
177f:a1f 76 0.005 MORE 93 0.005 MORE 0.002
177f:a21f 0 1 NOT 0 1 NOT 0.978
177f:a22f 127 0.000999 MORE 130 0.000999 MORE 0.000999
177f:a28f 144 0.000999 MORE 144 0.000999 MORE 0.000999
177f:a29f 103 0.000999 MORE 123 0.000999 MORE 0.005
177f:a30f 0 1 NOT 1 0.498 NOT 0.483
177f:a7f 52 0.013 MORE 68 0.014 MORE 0.0699
177f:a8f 144 0.000999 MORE 144 0.000999 MORE 0.000999
177f:a9f 22 0.021 MORE 37 0.022 MORE 0.0539
177f:ADr1uf 0 1 NOT 0 1 NOT 0.974
177f:bm1f 0 1 NOT 0 1 NOT 0.738
177f:bm2f 17 0.0629 NOT 32 0.0629 NOT 0.117
177f:bm4f 3 0.197 NOT 7 0.221 NOT 0.182
177f:bm5f 3 0.225 NOT 9 0.217 NOT 0.2
177f:bm6f 0 1 NOT 3 0.354 NOT 0.394
177f:bm7f 0 1 NOT 0 1 NOT 0.735
177f:bm8f 1 0.332 NOT 7 0.245 NOT 0.321
177f:ch1f 0 1 NOT 0 1 NOT 0.57
177f:ch4f 0 1 NOT 0 1 NOT 0.61
177f:ch5f 5 0.163 NOT 6 0.283 NOT 0.103
177f:ch6f 0 1 NOT 0 1 NOT 0.877
177f:l1f 0 1 NOT 0 1 NOT 0.988
177f:l2f 144 0.000999 MORE 144 0.000999 MORE 0.000999
177f:l3f 141 0.000999 MORE 144 0.000999 MORE 0.000999
177f:l4f 144 0.000999 MORE 144 0.000999 MORE 0.000999
177f:l5f 144 0.000999 MORE 144 0.000999 MORE 0.000999
177f:r10f 59 0.00899 MORE 64 0.019 MORE 0.019
177f:r4f 6 0.142 NOT 19 0.107 NOT 0.217
177f:r5f 0 1 NOT 0 1 NOT 0.707
177f:r8f 0 1 NOT 0 1 NOT 0.789
177f:r9f 42 0.019 MORE 68 0.018 MORE 0.035
181m:187m 144 0.000999 MORE 144 0.000999 MORE 0.000999
181m:4370m 0 1 NOT 0 1 NOT 0.678
181m:4373m 0 1 NOT 0 1 NOT 0.998
181m:49m 0 1 NOT 0 1 NOT 0.997
181m:52m 111 0.000999 MORE 128 0.000999 MORE 0.004
181m:97m 120 0.002 MORE 127 0.002 MORE 0.000999
181m:a13m 143 0.000999 MORE 144 0.000999 MORE 0.000999
181m:a1m 90 0.004 MORE 95 0.00599 MORE 0.000999
181m:a21m 134 0.000999 MORE 134 0.000999 MORE 0.000999
181m:a22m 134 0.000999 MORE 141 0.000999 MORE 0.000999
181m:a27m 143 0.199 NOT 143 0.199 NOT 0.199
181m:a28m 144 0.783 NOT 144 0.783 NOT 0.783
181m:a29m 134 0.000999 MORE 135 0.000999 MORE 0.000999
181m:a30m 0 1 NOT 0 1 NOT 0.994
181m:a7m 0 1 NOT 0 1 NOT 0.609
181m:a8m 144 0.000999 MORE 144 0.000999 MORE 0.000999
181m:a9m 144 0.000999 MORE 144 0.000999 MORE 0.000999
181m:ADr1um 0 1 NOT 0 1 NOT 0.796
181m:bm1m 0 1 NOT 0 1 NOT 0.932
181m:bm2m 0 1 NOT 0 1 NOT 0.752
181m:bm4m 9 0.117 NOT 13 0.176 NOT 0.132
181m:bm5m 0 1 NOT 0 1 NOT 0.658
181m:bm6m 1 0.343 NOT 1 0.51 NOT 0.323
181m:bm7m 0 1 NOT 1 0.505 NOT 0.384
181m:bm8m 1 0.342 NOT 1 0.516 NOT 0.283
181m:ch1m 0 1 NOT 0 1 NOT 0.989
181m:ch4m 0 1 NOT 0 1 NOT 0.998
181m:ch5m 0 1 NOT 0 1 NOT 0.984
181m:ch6m 0 1 NOT 0 1 NOT 0.955
181m:l1m 0 1 NOT 0 1 NOT 0.99
181m:l2m 106 0.000999 MORE 119 0.000999 MORE 0.003
181m:l3m 119 0.000999 MORE 132 0.000999 MORE 0.000999
181m:l4m 144 0.000999 MORE 144 0.000999 MORE 0.000999
181m:l5m 144 0.000999 MORE 144 0.000999 MORE 0.000999
181m:r10m 96 0.000999 MORE 107 0.002 MORE 0.021
181m:r4m 79 0.000999 MORE 105 0.000999 MORE 0.00599
181m:r5m 53 0.00899 MORE 65 0.025 MORE 0.003
181m:r8m 115 0.000999 MORE 134 0.000999 MORE 0.000999
181m:r9m 18 0.0559 NOT 43 0.041 MORE 0.207
183f:189f 144 0.000999 MORE 144 0.000999 MORE 0.000999
183f:4371f 61 0.00799 MORE 79 0.00899 MORE 0.019
183f:4374f 0 1 NOT 0 1 NOT 0.996
183f:48f 0 1 NOT 0 1 NOT 0.989
183f:51f 130 0.000999 MORE 137 0.000999 MORE 0.000999
183f:96f 14 0.0679 NOT 18 0.115 NOT 0.0699
183f:99f 0 1 NOT 0 1 NOT 0.993
183f:a13f 144 0.000999 MORE 144 0.000999 MORE 0.000999
183f:a1f 131 0.000999 MORE 133 0.000999 MORE 0.000999
183f:a21f 119 0.000999 MORE 120 0.000999 MORE 0.000999
183f:a22f 144 0.000999 MORE 144 0.000999 MORE 0.000999
183f:a27f 144 0.000999 MORE 144 0.000999 MORE 0.000999
183f:a28f 144 0.000999 MORE 144 0.000999 MORE 0.000999
183f:a29f 144 0.000999 MORE 144 0.000999 MORE 0.000999
