CODE NOM_NUM_PLEIO_SUBSETS NOM_NUM_PLEIO_SUBSETS_EMP_P NOM_VERBOSE MARG_NUM_PLEIO_SUBSETS MARG_NUM_PLEIO_SUBSETS_EMP_P MARG_VERBOSE SMALLEST_PLEIO_P_EMP_P
127f:145f 32 0.000999 MORE 40 0.000999 MORE 0.000999
127f:153f 20 0.002 MORE 32 0.002 MORE 0.000999
127f:154f 13 0.000999 MORE 17 0.000999 MORE 0.000999
127f:159f 52 0.000999 MORE 59 0.000999 MORE 0.000999
127f:165f 92 0.000999 MORE 95 0.000999 MORE 0.000999
127f:171f 40 0.000999 MORE 48 0.000999 MORE 0.000999
127f:177f 76 0.000999 MORE 79 0.000999 MORE 0.000999
127f:183f 25 0.000999 MORE 30 0.000999 MORE 0.000999
127f:189f 28 0.000999 MORE 33 0.000999 MORE 0.000999
127f:4371f 0 1 NOT 0 1 NOT 0.525
127f:4374f 9 0.002 MORE 15 0.004 MORE 0.002
127f:48f 9 0.005 MORE 17 0.002 MORE 0.000999
127f:51f 0 1 NOT 0 1 NOT 0.551
127f:96f 43 0.000999 MORE 45 0.000999 MORE 0.000999
127f:99f 28 0.000999 MORE 32 0.000999 MORE 0.000999
127f:a13f 24 0.000999 MORE 33 0.000999 MORE 0.000999
127f:a1f 8 0.004 MORE 17 0.000999 MORE 0.026
127f:a21f 36 0.000999 MORE 47 0.000999 MORE 0.000999
127f:a22f 20 0.000999 MORE 27 0.000999 MORE 0.000999
127f:a27f 24 0.000999 MORE 33 0.000999 MORE 0.002
127f:a28f 13 0.002 MORE 16 0.004 MORE 0.003
127f:a29f 15 0.000999 MORE 20 0.000999 MORE 0.000999
127f:a30f 18 0.000999 MORE 20 0.000999 MORE 0.000999
127f:a7f 6 0.012 MORE 10 0.012 MORE 0.00599
127f:a8f 22 0.000999 MORE 24 0.000999 MORE 0.000999
127f:a9f 8 0.005 MORE 14 0.005 MORE 0.0729
127f:ADr1uf 0 1 NOT 0 1 NOT 0.437
127f:bm1f 5 0.021 MORE 5 0.0709 NOT 0.005
127f:bm2f 18 0.000999 MORE 30 0.000999 MORE 0.004
127f:bm4f 6 0.016 MORE 10 0.012 MORE 0.000999
127f:bm5f 22 0.000999 MORE 27 0.000999 MORE 0.002
127f:bm6f 3 0.045 MORE 12 0.00699 MORE 0.0619
127f:bm7f 10 0.003 MORE 14 0.004 MORE 0.000999
127f:bm8f 9 0.002 MORE 9 0.019 MORE 0.003
127f:ch1f 8 0.005 MORE 18 0.002 MORE 0.00899
127f:ch4f 9 0.004 MORE 16 0.002 MORE 0.02
127f:ch5f 1 0.182 NOT 5 0.0579 NOT 0.0869
127f:ch6f 10 0.002 MORE 13 0.003 MORE 0.003
127f:l1f 44 0.000999 MORE 49 0.000999 MORE 0.000999
127f:l2f 34 0.000999 MORE 37 0.000999 MORE 0.000999
127f:l3f 40 0.000999 MORE 45 0.000999 MORE 0.000999
127f:l4f 38 0.000999 MORE 43 0.000999 MORE 0.000999
127f:l5f 46 0.000999 MORE 53 0.000999 MORE 0.000999
127f:r10f 4 0.033 MORE 6 0.0549 NOT 0.044
127f:r4f 1 0.192 NOT 6 0.033 MORE 0.183
127f:r5f 11 0.000999 MORE 17 0.000999 MORE 0.003
127f:r8f 0 1 NOT 4 0.0879 NOT 0.206
127f:r9f 5 0.021 MORE 14 0.002 MORE 0.0589
