trait_pair	male	female	shared
Multisite chronic pain:Waist-hip ratio (<= 50 yrs, adjBMI)	1	0	0
logTG:Waist-hip ratio (<= 50 yrs, adjBMI)	1	0	0
Hip circumference (adjBMI):Waist-hip ratio (> 50 yrs, adjBMI)	0	1	0
Thyroid-stimulating hormone:Waist-hip ratio (> 50 yrs, adjBMI)	0	1	0
Educational attainment:Waist-hip ratio (> 50 yrs, adjBMI)	0	1	0
Schizophrenia:Waist-hip ratio (> 50 yrs, adjBMI)	0	1	0
Glycine level:Waist-hip ratio (<= 50 yrs, adjBMI)	0	1	0
Thyroid-stimulating hormone:Waist-hip ratio (<= 50 yrs, adjBMI)	0	1	0
Insomnia:Waist-hip ratio (<= 50 yrs, adjBMI)	0	1	0
Schizophrenia:Waist-hip ratio (<= 50 yrs, adjBMI)	0	1	0
Hip circumference:Snoring	1	0	0
Hip circumference:Waist-hip ratio	0	1	0
Height SDS:Hip circumference	0	1	0
Hip circumference:Pubertal growth	0	1	0
Cardiovascular disease:Hip circumference	0	1	0
Hip circumference:Multisite chronic pain	0	1	0
Hip circumference (adjBMI):Waist-hip ratio	1	0	0
Free thyroxine (FT4):Hip circumference (adjBMI)	1	0	0
Fasting insulin:Hip circumference (adjBMI)	1	0	0
Educational attainment:Hip circumference (adjBMI)	1	0	0
Grip strength measurement/ Muscle weakness:Hip circumference (adjBMI)	0	1	0
Hip circumference (adjBMI):Multisite chronic pain	0	1	0
Fasting insulin:Waist circumference	1	0	0
Type 2 diabetes:Waist circumference	1	0	0
Waist circumference:Waist circumference (adjBMI)	0	1	0
Pubertal growth:Waist circumference	0	1	0
Cardiovascular disease:Waist circumference	0	1	0
Fasting glucose:Waist circumference	0	1	0
Risk-taking behaviour:Waist circumference	0	1	0
Free thyroxine (FT4):Waist circumference (adjBMI)	1	0	0
Snoring:Waist circumference (adjBMI)	1	0	0
Thyroid-stimulating hormone:Waist circumference (adjBMI)	0	1	0
Insomnia:Waist circumference (adjBMI)	0	1	0
Fasting insulin:Waist-hip ratio	1	0	0
Multisite chronic pain:Waist-hip ratio	1	0	0
Thyroid-stimulating hormone:Waist-hip ratio	0	1	0
Insomnia:Waist-hip ratio	0	1	0
Educational attainment:Waist-hip ratio	0	1	0
Schizophrenia:Waist-hip ratio	0	1	0
Multisite chronic pain:Waist-hip ratio (adjBMI)	1	0	0
Glycine level:Waist-hip ratio (adjBMI)	0	1	0
Thyroid-stimulating hormone:Waist-hip ratio (adjBMI)	0	1	0
Insomnia:Waist-hip ratio (adjBMI)	0	1	0
Educational attainment:Waist-hip ratio (adjBMI)	0	1	0
CC Central:Waist-hip ratio (adjBMI)	0	1	0
Glycine level:Left 5m area	1	0	0
Glycine level:TC	1	0	0
Glycine level:nonHDL	0	1	0
Free thyroxine (FT4):Thyroid-stimulating hormone	1	0	0
Cardiovascular disease:Thyroid-stimulating hormone	1	0	0
Cardiovascular disease:Free thyroxine (FT4)	1	0	0
Free thyroxine (FT4):Snoring	0	1	0
Free thyroxine (FT4):Parkinson's disease	0	1	0
Age at first birth:TC	0	1	0
Age at first birth:logTG	0	1	0
Age at first birth:Risk-taking behaviour	0	1	0
Height SDS:Schizophrenia	1	0	0
Educational attainment:Pubertal growth	0	1	0
Pubertal growth:Risk-taking behaviour	0	1	0
Cardiovascular disease:Fasting glucose	0	1	0
ADHD:Cardiovascular disease	0	1	0
Cardiovascular disease:Fasting insulin	1	0	0
Cardiovascular disease:Educational attainment	1	0	0
Alzheimer's Disease:Cardiovascular disease	1	0	0
Cardiovascular disease:Carotid intima-media thickness	1	0	0
Insomnia:Snoring	0	1	0
Insomnia:Parkinson's disease	0	1	0
Insomnia:TC	0	1	0
Insomnia:logTG	0	1	0
Grip strength measurement/ Muscle weakness:Snoring	0	1	0
Educational attainment:Grip strength measurement/ Muscle weakness	0	1	0
Grip strength measurement/ Muscle weakness:Type 2 diabetes	0	1	0
Alzheimer's Disease:Grip strength measurement/ Muscle weakness	1	0	0
Carotid intima-media thickness:Grip strength measurement/ Muscle weakness	1	0	0
Risk-taking behaviour:Snoring	0	1	0
Snoring:Type 2 diabetes	1	0	0
Fasting glucose:Fasting insulin	1	0	0
Fasting insulin:HDL	1	0	0
HDL:Multisite chronic pain	0	1	0
LDL:Multisite chronic pain	0	1	0
Multisite chronic pain:TC	0	1	0
logTG:Multisite chronic pain	0	1	0
Multisite chronic pain:nonHDL	0	1	0
Educational attainment:Parkinson's disease	0	1	0
Educational attainment:Left 5m area	0	1	0
Educational attainment:Risk-taking behaviour	0	1	0
Alzheimer's Disease:HDL	0	1	0
Alzheimer's Disease:Carotid intima-media thickness	1	0	0
HDL:Risk-taking behaviour	1	0	0
Carotid intima-media thickness:HDL	1	0	0
Carotid intima-media thickness:logTG	1	0	0
LDL:nonHDL	6	78	3
Hip circumference (adjBMI):TC	11	15	1
Hip circumference (adjBMI):LDL	11	14	1
Hip circumference (adjBMI):nonHDL	7	15	1
LDL:Waist circumference (adjBMI)	9	13	1
HDL:Schizophrenia	41	10	3
Cardiovascular disease:nonHDL	14	3	1
logTG:Waist circumference (adjBMI)	12	5	1
Hip circumference (adjBMI):logTG	7	10	1
LDL:Thyroid-stimulating hormone	9	7	1
TC:Thyroid-stimulating hormone	7	9	1
Cardiovascular disease:LDL	24	5	2
HDL:Hip circumference (adjBMI)	16	12	2
Cardiovascular disease:Type 2 diabetes	12	1	1
Schizophrenia:Type 2 diabetes	10	3	1
HDL:Waist circumference (adjBMI)	8	4	1
Height:Schizophrenia	8	3	1
nonHDL:Schizophrenia	23	6	3
TC:Waist circumference (adjBMI)	9	10	2
logTG:Schizophrenia	36	10	5
Height:Waist-hip ratio (adjBMI)	2	7	1
Cardiovascular disease:Schizophrenia	7	2	1
logTG:Parkinson's disease	5	4	1
Educational attainment:logTG	2	15	2
Educational attainment:HDL	3	13	2
Body Mass Index:Schizophrenia	7	1	1
Educational attainment:Schizophrenia	1	7	1
Type 2 diabetes:Waist-hip ratio (adjBMI)	2	6	1
Left 5m area:Schizophrenia	106	26	17
Height:Waist-hip ratio (> 50 yrs, adjBMI)	1	6	1
Schizophrenia:TC	25	9	5
Cardiovascular disease:HDL	22	5	4
CC Central:Schizophrenia	105	33	21
nonHDL:Type 2 diabetes	51	41	15
Cardiovascular disease:logTG	19	5	4
HDL:Weight	4	2	1
Body Mass Index:Fasting glucose	2	4	1
Free thyroxine (FT4):TC	3	3	1
LDL:Schizophrenia	26	9	6
Height:Type 2 diabetes	11	12	4
Cardiovascular disease:TC	29	8	7
Educational attainment:nonHDL	3	7	2
Schizophrenia:Waist circumference	4	1	1
Free thyroxine (FT4):Type 2 diabetes	4	1	1
Free thyroxine (FT4):nonHDL	4	1	1
logTG:Weight	3	2	1
Free thyroxine (FT4):LDL	3	2	1
LDL:Type 2 diabetes	54	39	19
HDL:Type 2 diabetes	36	36	15
Height:LDL	14	19	7
Body Mass Index:HDL	8	6	3
nonHDL:Waist circumference (adjBMI)	7	7	3
Body Mass Index:logTG	9	9	4
Height:logTG	16	19	8
Body Mass Index:LDL	7	6	3
HDL:Height	20	23	10
TC:Type 2 diabetes	64	52	27
Height:TC	18	24	10
Height:nonHDL	10	23	8
Body Mass Index:TC	8	8	4
Educational attainment:LDL	4	8	3
Height:Waist-hip ratio (<= 50 yrs, adjBMI)	1	3	1
Type 2 diabetes:Waist-hip ratio (> 50 yrs, adjBMI)	1	3	1
Type 2 diabetes:Waist circumference (adjBMI)	3	1	1
Free thyroxine (FT4):logTG	2	2	1
logTG:Type 2 diabetes	35	32	17
HDL:LDL	117	134	67
nonHDL:Parkinson's disease	3	8	3
Body Mass Index:nonHDL	6	5	3
Educational attainment:TC	5	9	4
HDL:Waist circumference	3	4	2
logTG:Waist circumference	3	4	2
HDL:TC	131	128	76
HDL:nonHDL	105	118	66
Fasting glucose:TC	8	15	7
Left 5m area:logTG	227	363	181
HDL:logTG	151	129	86
CC Central:Type 2 diabetes	109	94	63
Fasting glucose:nonHDL	5	11	5
Fasting glucose:LDL	7	11	6
Fasting glucose:logTG	9	9	6
LDL:Parkinson's disease	4	8	4
Glycine level:logTG	3	3	2
Body Mass Index:Type 2 diabetes	2	1	1
Type 2 diabetes:Waist-hip ratio (<= 50 yrs, adjBMI)	1	2	1
Glycine level:HDL	1	2	1
Parkinson's disease:Type 2 diabetes	2	1	1
Left MST area:nonHDL	208	289	175
HDL:Left MST area	371	394	270
Left 5m area:nonHDL	211	283	175
HDL:Left 5m area	377	391	273
Fasting glucose:HDL	7	7	5
Left MST area:logTG	319	366	248
Left Putamen:logTG	264	302	205
logTG:Right Putamen	266	297	205
CC Central:logTG	325	364	251
LDL:Left MST area	274	294	214
Left 5m area:TC	328	339	259
Left MST area:TC	335	350	269
Parkinson's disease:TC	4	6	4
HDL:Parkinson's disease	4	3	3
Free thyroxine (FT4):Height	2	2	2
Fasting glucose:Parkinson's disease	2	2	2
Educational attainment:Free thyroxine (FT4)	1	1	1
Alzheimer's Disease:LDL	1	1	1
Alzheimer's Disease:TC	1	1	1
Alzheimer's Disease:logTG	1	1	1
Alzheimer's Disease:nonHDL	1	1	1
