pair shared single distinct
189f:a7f 2 0 2
189f:a8f 6 0 6
189f:bm8f 1 0 1
189f:l1f 8 0 8
189f:l2f 9 0 9
189f:l3f 9 0 9
189f:l4f 4 0 4
189f:l5f 7 0 7
189f:r5f 2 0 2
4212m:a8m 1 0 1
4212m:bm2m 1 0 1
4212m:l1m 1 0 1
4212m:l2m 1 0 1
4212m:l3m 1 0 1
4212m:l4m 3 0 3
4213f:a8f 1 0 1
4213f:l1f 2 0 2
4213f:l2f 1 0 1
4213f:l4f 3 0 3
4213f:l5f 1 0 1
4370m:4373m 1 0 1
4370m:a13m 1 0 1
4370m:a27m 2 0 2
4370m:a8m 2 0 2
4370m:l1m 4 0 4
4370m:l2m 9 0 9
4370m:l3m 7 0 7
4370m:l4m 6 0 6
4370m:l5m 6 0 6
4370m:r5m 3 0 3
4371f:a27f 1 0 1
4371f:a8f 2 0 2
4371f:l1f 6 0 6
4371f:l2f 7 0 7
4371f:l3f 9 0 9
4371f:l4f 4 0 4
4371f:l5f 8 0 8
4373m:a13m 1 0 1
4373m:a30m 1 0 1
4373m:a8m 4 0 4
4373m:l1m 2 0 2
4373m:l2m 3 0 3
4373m:l3m 3 0 3
4373m:l4m 2 0 2
4373m:l5m 4 0 4
4374f:a22f 1 0 1
4374f:a30f 1 0 1
4374f:a7f 1 0 1
4374f:a8f 1 0 1
4374f:l1f 2 0 2
4374f:l2f 2 0 2
4374f:l3f 3 0 3
4374f:l4f 2 0 2
4374f:l5f 1 0 1
48f:l3f 1 0 1
48f:l4f 1 0 1
48f:r5f 2 0 2
48f:r8f 1 0 1
97m:r5m 1 0 1
99f:a30f 1 0 1
99f:r8f 1 0 1
a13f:a27f 1 0 1
a13f:a8f 1 0 1
a13f:a9f 1 0 1
a13f:l1f 5 0 5
a13f:l2f 5 0 5
a13f:l3f 8 0 8
a13f:l4f 5 0 5
a13f:l5f 3 0 3
a13f:r5f 2 0 2
a13m:a28m 1 0 1
a13m:a30m 1 0 1
a13m:a8m 12 0 12
a13m:ADr1um 1 0 1
a13m:l1m 22 0 22
a13m:l2m 24 0 24
a13m:l3m 29 0 29
a13m:l4m 19 0 19
a13m:l5m 14 0 14
a13m:r5m 7 0 7
a13m:r9m 1 0 1
a1f:a22f 1 0 1
a1f:a7f 1 0 1
a1f:l1f 2 0 2
a1f:l2f 3 0 3
a1f:l3f 1 0 1
a1f:l4f 1 0 1
a1f:l5f 3 0 3
a21f:a22f 1 0 1
a21f:a30f 1 0 1
a21f:a8f 1 0 1
a21f:l1f 3 0 3
a21f:l2f 4 0 4
a21f:l3f 4 0 4
a21f:l4f 4 0 4
a21f:l5f 4 0 4
a21m:ADr1um 1 0 1
a21m:r9m 1 0 1
a22f:l1f 2 0 2
a22f:l2f 2 0 2
a22f:l3f 2 0 2
a22f:l4f 1 0 1
a22f:l5f 2 0 2
a22f:r8f 1 0 1
a22m:a8m 1 0 1
a22m:l4m 1 0 1
a27f:a7f 2 0 2
a27f:a8f 2 0 2
a27f:l1f 7 0 7
a27f:l2f 11 0 11
a27f:l3f 15 0 15
a27f:l4f 9 0 9
a27f:l5f 11 0 11
a27m:a28m 1 0 1
a27m:a7m 2 0 2
a27m:l1m 7 0 7
a27m:l2m 7 0 7
a27m:l3m 8 0 8
a27m:l4m 9 0 9
a27m:l5m 5 0 5
a27m:r5m 4 0 4
a28f:l2f 2 0 2
a28f:l3f 2 0 2
a28f:l4f 1 0 1
a28f:l5f 3 0 3
a28m:l1m 1 0 1
a28m:l4m 2 0 2
a29f:l1f 1 0 1
a29f:l2f 1 0 1
a29f:l3f 1 0 1
a29f:l4f 1 0 1
a29f:l5f 1 0 1
a30f:a7f 1 0 1
a30f:a8f 3 0 3
a30f:bm2f 1 0 1
a30f:bm4f 29 0 29
a30f:l1f 13 0 13
a30f:l2f 8 0 8
a30f:l3f 9 0 9
a30f:l4f 15 0 15
a30f:l5f 7 0 7
a30f:r5f 7 0 7
a30f:r8f 1 0 1
a30m:a8m 1 0 1
a30m:l1m 3 0 3
a30m:l2m 4 0 4
a30m:l3m 5 0 5
a30m:l4m 2 0 2
a30m:l5m 3 0 3
a30m:r5m 1 0 1
a7f:a8f 1 0 1
a7f:l1f 3 0 3
a7f:l2f 8 0 8
a7f:l3f 6 0 6
a7f:l4f 4 0 4
a7f:l5f 8 0 8
a7f:r5f 3 0 3
a7m:a8m 2 0 2
a7m:l1m 4 0 4
a7m:l2m 4 0 4
a7m:l3m 4 0 4
a7m:l4m 5 0 5
a7m:l5m 3 0 3
a7m:r5m 1 0 1
a8f:bm2f 94 0 94
a8f:bm8f 94 0 94
a8f:l1f 36 0 36
a8f:l2f 39 0 39
a8f:l3f 52 0 52
a8f:l4f 32 0 32
a8f:l5f 41 0 41
a8f:r5f 3 0 3
a8m:bm4m 111 0 111
a8m:bm8m 109 0 109
a8m:l1m 36 0 36
a8m:l2m 54 0 54
a8m:l3m 64 0 64
a8m:l4m 35 0 35
a8m:l5m 51 0 51
a8m:r5m 10 0 10
ADr1uf:l1f 1 0 1
ADr1uf:l2f 1 0 1
ADr1uf:l3f 1 0 1
ADr1uf:l4f 1 0 1
ADr1uf:l5f 1 0 1
ADr1um:l2m 1 0 1
